item_id,element_name,en,es,de,fr,nl
parent_survey_child_011,RespondentRelationship,Foster Parent,Padre de acogida,Pflegeeltern,,
parent_survey_child_012,RespondentRelationship,Other Relative,Otro familiar,Andere Verwandte,,
parent_survey_child_013,RespondentRelationship,Other Non-Relative,Otro no familiar,Andere Nicht-Verwandte,,
parent_survey_child_014,RespondentRelationshipOtherSpecify,Please specify your relationship to the child.,Especifique su relación con el niño.,Bitte geben Sie Ihre Beziehung zu dem Kind an.,,
parent_survey_child_015,RespondentTimeCaring,Please indicate for how long you have been caring for this child.,Indique durante cuánto tiempo ha cuidado de este niño(a).,"Bitte geben Sie an, wie lange Sie dieses Kind bereits betreuen.",,
parent_survey_child_016,RespondentTimeCaring,years,años,Jahre,,
parent_survey_child_017,RespondentTimeCaring,years,años,Jahre,,
parent_survey_child_018,RespondentTimeCaringYears,months,meses,Monate,,
parent_survey_child_019,RespondentTimeCaringYears,months,meses,Monate,,
parent_survey_child_020,ChildAgeYears,What is your child's current age in years?,¿Cuál es la edad ACTUAL de su hijo(a) en años?,Wie alt ist Ihr Kind derzeit in Jahren?,,
parent_survey_child_021,ChildAgeYears,years of age,años,Lebensjahre,,
parent_survey_child_022,ChildHeightCurrent,What is your child's CURRENT height? (please estimate to the best of your knowledge),"¿Cuál es la estatura ACTUAL de su niño(a)? (por favor, calcule lo más preciso posible)",Wie groß ist Ihr Kind AKTUELL?,,
parent_survey_child_023,ChildHeightCurrentFeet,meters,metros,Meter,,
parent_survey_child_024,ChildHeightCurrentFeet,meters,metros,Meter,,
parent_survey_child_025,ChildHeightCurrentInches,centimeters,centímetros,Zentimeter,,
parent_survey_child_026,ChildHeightCurrentInches,centimeters,centímetros,Zentimeter,,
parent_survey_child_027,ChildWeightCurrent,What is your child's CURRENT weight? (please estimate to the best of your knowledge),"¿Cuál es el peso ACTUAL de su niño(a)? (por favor, calcule lo más preciso posible)",Was ist das AKTUELLE Gewicht Ihres Kindes?,,
parent_survey_child_028,ChildWeightCurrentPounds,pounds,kilos,kilo,,
parent_survey_child_029,ChildWeightCurrentPounds,pounds,kilos,kilo,,
parent_survey_child_030,ChildBornEarly,Was your child born early (more than three weeks before due date)?,¿Su niño(a) nació prematuramente (más de tres semanas antes de la fecha prevista de parto)?,Wurde Ihr Kind zu früh geboren (mehr als drei Wochen vor dem errechneten Geburtstermin)?,,
parent_survey_child_031,ChildBornEarly,,No,Nein,,
parent_survey_child_032,ChildBornEarly,,Sí,Ja,,
parent_survey_child_033,ChildBornEarly,Don't know,No sé,weiß nicht,,
parent_survey_child_034,ChildWeightBirth,"How much did your child weigh at birth? (if you do not know, leave blank)","¿Cuánto pesó su niño(a) al nacer? (si no lo sabe, déjelo en blanco)","Wie viel hat ihr Kind bei der Geburt gewogen? (wenn Sie es nicht wissen, bitte leer lass)",,
parent_survey_child_035,ChildWeightBirth,Grams,Gramos,Gramm,,
parent_survey_child_036,ChildHealth,"In general, how would you describe your child's health?","En general, ¿cómo describiría la salud de su niño(a)?",Wie würden Sie den Gesundheitszustand Ihres Kindes im Allgemeinen beschreiben?,,
parent_survey_child_037,ChildHealth,Excellent,Excelente,Hervorragend,,
parent_survey_child_038,ChildHealth,Very Good,Muy buena,Sehr gut,,
parent_survey_child_039,ChildHealth,Good,Buena,Gut,,
parent_survey_child_040,ChildHealth,Fair,Regular,Mittelmäßig,,
parent_survey_child_041,ChildHealth,Poor,Deficiente,Schlecht,,
parent_survey_child_042,ChildTeeth,How would you describe the condition of your child's teeth?,¿Cómo describiría la salud dental de su niño(a)?,Wie würden Sie den Zustand der Zähne Ihres Kindes beschreiben?,,
parent_survey_child_043,ChildTeeth,Excellent,Excelente,Hervorragend,,
parent_survey_child_044,ChildTeeth,Very Good,Muy buena,Sehr gut,,
parent_survey_child_045,ChildTeeth,Good,Buena,Gut,,
parent_survey_child_046,ChildTeeth,Fair,Regular,Mittelmäßig,,
parent_survey_child_047,ChildTeeth,Poor,Deficiente,Schlecht,,
parent_survey_child_048,ChildPhysicalActivity,"<b>DURING THE PAST WEEK</b>, on how many days did your child exercise, play a sport, or participate in physical activity (either in school or outside of school) for at least 60 minutes?","<b>DURANTE LA SEMANA PASADA</b>, ¿cuántos días hizo su niño(a) ejercicio, practicó un deporte o participó en una actividad física en el colegio o fuera del colegio durante al menos 60 minutos?",An wie vielen Tagen <b>WÄHREND DER LETZTEN WOCHE</b> hat Ihr Kind mindestens 60 Minuten lang Sport getrieben oder an körperlichen Aktivitäten teilgenommen (entweder in der Schule oder außerhalb der Schule)?,,
parent_survey_child_049,ChildPhysicalActivity,0 days,0 días,0 Tage,,
parent_survey_child_050,ChildPhysicalActivity,1 - 3 days,1 - 3 días,1 - 3 Tage,,
parent_survey_child_051,ChildPhysicalActivity,4 - 6 days,4 - 6 días,4 - 6 Tage,,
parent_survey_child_052,ChildPhysicalActivity,Every day,Todos los días,Jeden Tag,,
parent_survey_child_053,ChildChronicHealth,"<b>DURING THE PAST 12 MONTHS</b>, has your child had FREQUENT or CHRONIC difficulty with any of the following?","<b>DURANTE LOS ÚLTIMOS 12 MESES</b>, ¿ha tenido su niño(a) dificultades FRECUENTES o CRÓNICAS en alguno de los siguientes aspectos?",Hatte Ihr Kind <b>WÄHREND DER LETZTEN 12 MONATE</b> REGELMÄßIGE oder CHRONISCHE Schwierigkeiten in einem der folgenden Bereiche?,,
parent_survey_child_054,ChildBreathing,Breathing or other respiratory problems (such as wheezing or shortness of breath),Respiración u otros problemas respiratorios (tales como respiración sibilante o ruidosa y falta de aire),Atembeschwerden oder andere Atemprobleme (wie Keuchen oder Kurzatmigkeit),,
parent_survey_child_055,ChildBreathing,,No,Nein,,
parent_survey_child_056,ChildBreathing,,Sí,Ja,,
parent_survey_child_057,ChildBreathing,Don't know,No sé,weiß nicht,,
parent_survey_child_058,ChildEating,Eating or swallowing because of a health condition,Comer o tragar debido a una afección de salud,Essen oder Schlucken aufgrund eines Gesundheitszustands,,
parent_survey_child_059,ChildEating,,No,Nein,,
parent_survey_child_060,ChildEating,,Sí,Ja,,
parent_survey_child_061,ChildEating,Don't know,No sé,weiß nicht,,
parent_survey_child_062,ChildDigestion,"Digesting food, including stomach/intestinal problems, constipation, or diarrhea","Digestión de la comida, incluidos problemas estomacales o intestinales, el estreñimiento o la diarrea","Verdauung von Nahrungsmitteln, einschließlich Magen-/Darmproblemen, Verstopfung oder Durchfall",,
parent_survey_child_063,ChildDigestion,,No,Nein,,
parent_survey_child_064,ChildDigestion,,Sí,Ja,,
parent_survey_child_065,ChildDigestion,Don't know,No sé,weiß nicht,,
parent_survey_child_066,ChildPain,"Repeated or chronic physical pain, including headaches or other back or body pain","Dolor recurrente como dolor de cabeza, dolor de espalda o dolor generalizado, entre otros","Wiederholte oder chronische körperliche Schmerzen, einschließlich Kopfschmerzen oder andere Rücken- oder Körperschmerzen",,
parent_survey_child_067,ChildPain,,No,Nein,,
parent_survey_child_068,ChildPain,,Sí,Ja,,
parent_survey_child_069,ChildPain,Don't know,No sé,weiß nicht,,
parent_survey_child_070,ChildToothache,Toothaches,Dolor de dientes,Zahnschmerzen,,
parent_survey_child_071,ChildToothache,,No,Nein,,
parent_survey_child_072,ChildToothache,,Sí,Ja,,
parent_survey_child_073,ChildToothache,Don't know,No sé,weiß nicht,,
parent_survey_child_074,ChildGums,Bleeding gums,Sangrado en las encías,Zahnfleischbluten,,
parent_survey_child_075,ChildGums,,No,Nein,,
parent_survey_child_076,ChildGums,,Sí,Ja,,
parent_survey_child_077,ChildGums,Don't know,No sé,weiß nicht,,
parent_survey_child_078,ChildCavities,Decayed teeth or cavities,Dientes deteriorados o caries,Karies oder Zahnlöcher,,
parent_survey_child_079,ChildCavities,,No,Nein,,
parent_survey_child_080,ChildCavities,,Sí,Ja,,
parent_survey_child_081,ChildCavities,Don't know,No sé,weiß nicht,,
parent_survey_child_082,ChildHealthOther,Does your child have any of the following?,¿Tiene su niño(a) alguna de las siguientes?,Hat Ihr Kind eines der folgenden Probleme?,,
parent_survey_child_083,ChildConcentration,"Serious difficulty concentrating, remembering, or making decisions because of a physical, mental, or emotional condition","Dificultades serias para concentrarse, recordar o tomar decisiones debido a un trastorno físico, mental o emocional","Ernsthafte Schwierigkeiten, sich zu konzentrieren, sich zu erinnern oder Entscheidungen zu treffen, aufgrund eines körperlichen, geistigen oder emotionalen Zustands",,
parent_survey_child_084,ChildConcentration,,No,Nein,,
parent_survey_child_085,ChildConcentration,,Sí,Ja,,
parent_survey_child_086,ChildConcentration,Don't know,No sé,weiß nicht,,
parent_survey_child_087,ChildStairs,Serious difficulty walking or climbing stairs,Dificultad grave para caminar o subir escaleras,Ernsthafte Schwierigkeiten beim Gehen oder Treppensteigen,,
parent_survey_child_088,ChildStairs,Yes,Sí,Ja,,
parent_survey_child_089,ChildStairs,No,,Nein,,
parent_survey_child_090,ChildDressBathe,Difficulty dressing or bathing,Dificultad para vestirse o bañarse,Schwierigkeiten beim Anziehen oder Baden,,
parent_survey_child_091,ChildDressBathe,Yes,Sí,Ja,,
parent_survey_child_092,ChildDressBathe,No,,Nein,,
parent_survey_child_093,ChildHearing,Deafness or problems with hearing,Sordera o problemas de audición,Taubheit oder Hörprobleme,,
parent_survey_child_094,ChildHearing,Yes,Sí,Ja,,
parent_survey_child_095,ChildHearing,No,,Nein,,
parent_survey_child_096,ChildEyesight,"Blindness or problems with seeing, even when wearing glasses","Ceguera o problemas de la vista, incluso cuando utiliza anteojos o lentes","Blindheit oder Sehprobleme, auch beim Tragen einer Brille",,
parent_survey_child_097,ChildEyesight,Yes,Sí,Ja,,
parent_survey_child_098,ChildEyesight,No,,Nein,,
parent_survey_child_099,ChildVisionHearingOther,"Does your child have any other vision or hearing issues (e.g., frequent ear infections; nearsighted or farsighted)?","¿Tiene su niño(a) algún otro problema de visión o audición (por ejemplo, infecciones de oído frecuentes)?",Hat Ihr Kind andere Seh- oder Hörprobleme (z. B. häufige Ohrentzündung)?,,
parent_survey_child_100,ChildVisionHearingOther,Yes,Sí,Ja,,
parent_survey_child_101,ChildVisionHearingOther,No,,Nein,,
parent_survey_child_102,ChildVisionHearingExp,"If yes, please explain:","En caso afirmativo, explíquelo:","Wenn ja, beschreiben Sie diese bitte:",,
parent_survey_child_103,ChildGenetic,Has a doctor or other health care provider <b>EVER</b> told you that your child has a genetic or inherited condition?,¿<b>ALGUNA VEZ</b> su médico o algún otro profesional de la salud le ha dicho que su niño(a) tiene un trastorno genético o hereditario?,"Hat Ihnen ein Arzt oder ein anderer Gesundheitsdienstleister <b>JEMALS</b> gesagt, dass Ihr Kind eine genetische oder vererbte Erkrankung hat?",,
parent_survey_child_104,ChildGenetic,,No,Nein,,
parent_survey_child_105,ChildGenetic,,Sí,Ja,,
parent_survey_child_106,ChildGenetic,Don't know,No sé,weiß nicht,,
parent_survey_child_107,ChildGenetic,Prefer not to respond,Prefiero no responder,Ich möchte nicht antworten,,
parent_survey_child_108,ChildGeneticExp,"If yes, please note or explain the condition:","En caso afirmativo, indique el trastorno:","Wenn ja, benennen oder beschreiben Sie diese bitte:",,
parent_survey_child_109,ChildHealthConditions,"Has a doctor or other health care provider, or educator <b>EVER</b> told you that your child has any of the following:","¿<b>ALGUNA VEZ</b> su médico, otro profesional de la salud o un docente le ha dicho que su niño(a) padece alguna de las siguientes afecciones?","Hat Ihnen ein Arzt, ein anderer Gesundheitsdienstleister oder ein Pädagoge <b>JEMALS</b> gesagt, dass Ihr Kind eines der folgenden Probleme hat:",,
parent_survey_child_110,ChildConduct,Behavioral or Conduct Problems,Problemas de comportamiento o conducta,Verhaltens- oder Benehmensprobleme,,
parent_survey_child_111,ChildConduct,No,,Nein,,
parent_survey_child_112,ChildConduct,Yes,Sí,Ja,,
parent_survey_child_113,ChildConduct,Don't know,No sé,weiß nicht,,
parent_survey_child_114,ChildConduct,Prefer not to respond,Prefiero no responder,Ich möchte nicht antworten,,
parent_survey_child_115,ChildConductCurrent,Does your child <b>CURRENTLY</b > have Behavioral or Conduct Problems?,¿<b>ACTUALMENTE</b> su niño(a) tiene problemas de comportamiento o conducta?,Hat Ihr Kind <b>AKTUELL</b> Verhaltens- oder Benehmensprobleme?,,
parent_survey_child_116,ChildConductCurrent,Yes,Sí,Ja,,
parent_survey_child_117,ChildConductCurrent,No,,Nein,,
parent_survey_child_118,ChildConductLevel,"Are the current Behavioral or Conduct Problems, Mild, Moderate, or Severe?","¿Los problemas de comportamiento o conducta actuales son leves, moderados o severos?","Sind die aktuellen Verhaltens- oder Benehmensprobleme leicht, mäßig oder schwerwiegend?",,
parent_survey_child_119,ChildConductLevel,Mild,Leve,leicht,,
parent_survey_child_120,ChildConductLevel,Moderate,Moderado,mäßig,,
parent_survey_child_121,ChildConductLevel,Severe,Severo,schwerwiegend,,
parent_survey_child_122,ChildDevDelay,Developmental Delay,Atraso en el desarrollo,Entwicklungsverzögerung,,
parent_survey_child_123,ChildDevDelay,,No,Nein,,
parent_survey_child_124,ChildDevDelay,,Sí,Ja,,
parent_survey_child_125,ChildDevDelay,Don't know,No sé,weiß nicht,,
parent_survey_child_126,ChildDevDelay,Prefer not to respond,Prefiero no responder,Ich möchte nicht antworten,,
parent_survey_child_127,ChildDevDelayCurrent,Does your child <b>CURRENTLY</b > have Developmental Delay?,¿<b>ACTUALMENTE</b> su niño(a) tiene un atraso en su desarrollo?,Hat Ihr Kind <b>AKTUELL</b> eine Entwicklungsverzögerung?,,
parent_survey_child_128,ChildDevDelayCurrent,Yes,Sí,Ja,,
parent_survey_child_129,ChildDevDelayCurrent,No,,Nein,,
parent_survey_child_130,ChildDevDelayLevel,"Are the current Developmental Delays, Mild, Moderate, or Severe?","¿Los atrasos actuales del desarrollo son leves, moderados o severos?","Sind die aktuellen Entwicklungsverzögerungen leicht, mäßig oder schwerwiegend?",,
parent_survey_child_131,ChildDevDelayLevel,Mild,Leve,leicht,,
parent_survey_child_132,ChildDevDelayLevel,Moderate,Moderado,mäßig,,
parent_survey_child_133,ChildDevDelayLevel,Severe,Severo,schwerwiegend,,
parent_survey_child_134,ChildIntellDis,Intellectual Disability,Discapacidad intelectual,Geistige Behinderung,,
parent_survey_child_135,ChildIntellDis,,No,Nein,,
parent_survey_child_136,ChildIntellDis,,Sí,Ja,,
parent_survey_child_137,ChildIntellDis,Don't know,No sé,weiß nicht,,
parent_survey_child_138,ChildIntellDis,Prefer not to respond,Prefiero no responder,Ich möchte nicht antworten,,
parent_survey_child_139,ChildIntellDisCurrent,Does your child <b>CURRENTLY</b > have an Intellectual Disability?,¿<b>ACTUALMENTE</b> su niño(a) tiene de discapacidad intelectual?,Hat Ihr Kind <b>AKTUELL</b> eine geistige Behinderung?,,
parent_survey_child_140,ChildIntellDisCurrent,Yes,Sí,Ja,,
parent_survey_child_141,ChildIntellDisCurrent,No,,Nein,,
parent_survey_child_142,ChildIntellDisLevel,"Is the current Intellectual Disability, Mild, Moderate, or Severe?","¿La discapacidad intelectual actual es leve, moderada o severa?","Ist die aktuelle geistige Behinderung leicht, mäßig oder schwerwiegend?",,
parent_survey_child_143,ChildIntellDisLevel,Mild,Leve,leicht,,
parent_survey_child_144,ChildIntellDisLevel,Moderate,Moderada,mäßig,,
parent_survey_child_145,ChildIntellDisLevel,Severe,Severa,schwerwiegend,,
parent_survey_child_146,ChildSpeechLang,Speech or other language disorder,Trastorno del habla u otro trastorno del lenguaje,Sprech- oder andere Sprachstörung,,
parent_survey_child_147,ChildSpeechLang,,No,Nein,,
parent_survey_child_148,ChildSpeechLang,,Sí,Ja,,
parent_survey_child_149,ChildSpeechLang,Don't know,No sé,weiß nicht,,
parent_survey_child_150,ChildSpeechLang,Prefer not to respond,Prefiero no responder,Ich möchte nicht antworten,,
parent_survey_child_151,ChildSpeechLangCurrent,Does your child <b>CURRENTLY</b > have a Speech or other language disorder?,¿<b>ACTUALMENTE</b> su niño(a) tiene un trastorno del habla u otro trastorno del lenguaje?,Hat Ihr Kind <b>AKTUELL</b> eine Sprech- oder andere Sprachstörung?,,
parent_survey_child_152,ChildSpeechLangCurrent,Yes,Sí,Ja,,
parent_survey_child_153,ChildSpeechLangCurrent,No,,Nein,,
parent_survey_child_154,ChildSpeechLangLevel,"Is the current Speech or other language disorder, Mild, Moderate, or Severe?","¿El trastorno actual del habla u otro trastorno del lenguaje es leve, moderado o severo?","Ist die aktuelle Sprech- oder andere Sprachstörungen leicht, mäßig oder schwerwiegend?",,
parent_survey_child_155,ChildSpeechLangLevel,Mild,Leve,leicht,,
parent_survey_child_156,ChildSpeechLangLevel,Moderate,Moderado,mäßig,,
parent_survey_child_157,ChildSpeechLangLevel,Severe,Severo,schwerwiegend,,
parent_survey_child_158,ChildLearnDis,Learning Disability,Discapacidades del aprendizaje,Lernbehinderung,,
parent_survey_child_159,ChildLearnDis,,No,Nein,,
parent_survey_child_160,ChildLearnDis,,Sí,Ja,,
parent_survey_child_161,ChildLearnDis,Don't know,No sé,weiß nicht,,
parent_survey_child_162,ChildLearnDis,Prefer not to respond,Prefiero no responder,Ich möchte nicht antworten,,
parent_survey_child_163,ChildLearnDisCurrent,Does your child <b>CURRENTLY</b > have a Learning Disability?,¿<b>ACTUALMENTE</b> su niño(a) tiene discapacidades del aprendizaje?,Hat Ihr Kind <b>AKTUELL</b> eine Lernbehinderung?,,
parent_survey_child_164,ChildLearnDisCurrent,Yes,Sí,Ja,,
parent_survey_child_165,ChildLearnDisCurrent,No,,Nein,,
parent_survey_child_166,ChildLearnDisLevel,"Is the current Learning Disability, Mild, Moderate, or Severe?","¿La discapacidad de aprendizaje actual es leve, moderada o severo?","Ist die aktuelle Lernbehinderung leicht, mäßig oder schwerwiegend?",,
parent_survey_child_167,ChildLearnDisLevel,Mild,Leve,leicht,,
parent_survey_child_168,ChildLearnDisLevel,Moderate,Moderado,mäßig,,
parent_survey_child_169,ChildLearnDisLevel,Severe,Severo,schwerwiegend,,
parent_survey_child_170,ChildAutism,Autism Spectrum Disorder (ASD) <br>(includes Asperger's Disorder or Pervasive Developmental Disorder (PDD)),Trastorno del espectro autista (TEA) <br>(incluye el síndrome de Asperger o trastorno generalizado del desarrollo (TGD)),Autismus-Spektrum-Störung (ASS)<br>(einschließlich Asperger-Syndrom oder tiefgreifende Entwicklungsstörung),,
parent_survey_child_171,ChildAutism,,No,Nein,,
parent_survey_child_172,ChildAutism,,Sí,Ja,,
parent_survey_child_173,ChildAutism,Don't know,No sé,weiß nicht,,
parent_survey_child_174,ChildAutism,Prefer not to respond,Prefiero no responder,Ich möchte nicht antworten,,
parent_survey_child_175,ChildAutismCurrent,Does your child <b>CURRENTLY</b > have an Autism Spectrum Disorder (ASD) (includes Asperger's Disorder or Pervasive Developmental Disorder (PDD))?,¿<b>ACTUALMENTE</b> su niño(a) tiene Trastorno del espectro autista (incluye el síndrome de Asperger o Trastorno generalizado del desarrollo),Leidet Ihr Kind <b>AKTUELL</b> an einer Autismus-Spektrum-Störung (einschließlich Asperger-Syndrom oder tiefgreifender Entwicklungsstörung)?,,
parent_survey_child_176,ChildAutismCurrent,Yes,Sí,Ja,,
parent_survey_child_177,ChildAutismCurrent,No,,Nein,,
parent_survey_child_178,ChildAutismLevel,"Is the current Autism Spectrum Disorder (includes Asperger's Disorder or Pervasive Developmental Disorder), Mild, Moderate, or Severe?","¿El trastorno actual del espectro autista (incluye el trastorno de Asperger o trastorno generalizado del desarrollo) es leve, moderado o severo?","Handelt es sich bei der aktuellen Autismus-Spektrum-Störung (einschließlich Asperger-Syndrom oder tiefgreifende Entwicklungsstörung) um eine leicht, mäßige oder schwerwiegend?",,
parent_survey_child_179,ChildAutismLevel,Mild,Leve,leicht,,
parent_survey_child_180,ChildAutismLevel,Moderate,Moderado,mäßig,,
parent_survey_child_181,ChildAutismLevel,Severe,Severo,schwerwiegend,,
parent_survey_child_182,ChildADHD,Attention Deficit Disorder or Attention Deficit Hyperactivity Disorder (ADD or ADHD),Trastorno por déficit de atención (TDA) o trastorno por déficit de atención e hiperactividad (TDAH),Aufmerksamkeitsdefizit- oder Hyperaktivitätsstörung (ADHD oder ADHS),,
parent_survey_child_183,ChildADHD,,No,Nein,,
parent_survey_child_184,ChildADHD,,Sí,Ja,,
parent_survey_child_185,ChildADHD,Don't know,No sé,weiß nicht,,
parent_survey_child_186,ChildADHD,Prefer not to respond,Prefiero no responder,Ich möchte nicht antworten,,
parent_survey_child_187,ChildADHDCurrent,Does your child <b>CURRENTLY</b > have Attention Deficit Disorder or Attention Deficit Hyperactivity Disorder (ADD or ADHD)?,¿<b>ACTUALMENTE</b> su niño(a) tiene de trastorno por déficit de atención (TDA) o de trastorno por déficit de atención e hiperactividad (TDAH)?,Hat Ihr Kind <b>AKTUELL</b> eine Aufmerksamkeitsdefizit- oder Hyperaktivitätsstörung (ADHD oder ADHS)?,,
parent_survey_child_188,ChildADHDCurrent,Yes,Sí,Ja,,
parent_survey_child_189,ChildADHDCurrent,No,,Nein,,
parent_survey_child_190,ChildADHDLevel,"Is the current Attention Deficit Disorder or Attention Deficit Hyperactivity Disorder (ADD or ADHD), Mild, Moderate, or Severe?","¿El trastorno actual por déficit de atención (TDA) o trastorno por déficit de atención e hiperactividad (TDAH) es leve, moderado o severo?","Ist die aktuelle Aufmerksamkeitsdefizit- oder Hyperaktivitätsstörung (ADHD oder ADHS) leicht, mäßig oder schwerwiegend?",,
parent_survey_child_191,ChildADHDLevel,Mild,Leve,leicht,,
parent_survey_child_192,ChildADHDLevel,Moderate,Moderado,mäßig,,
parent_survey_child_193,ChildADHDLevel,Severe,Severo,schwerwiegend,,
parent_survey_child_194,ChildSexBirth,What was your child's sex at birth (i.e. on their birth certificate)?,"En el registro de nacimiento, ¿cuál sexo le asignaron a su niño(a) al nacer?",Welches biologische Geschlecht hatte Ihr Kind bei der Geburt (d. h. in der Geburtsurkunde)?,,
parent_survey_child_195,ChildSexBirth,,Mujer,Weiblich,,
parent_survey_child_196,ChildSexBirth,,Hombre,Männlich,,
parent_survey_child_197,ChildSexBirth,Other (describe),Otro (describir),Anderes (bitte beschreiben),,
parent_survey_child_198,ChildGenderIntro,The following set of questions asks about gender identity. <br><br>Would you like to answer these additional questions about gender? <br>(Note: your child will NOT be asked these questions),El siguiente grupo de preguntas indaga por la identidad de género.<br><br> ¿Aceptaría contestar estas preguntas? <br>(aclaración: a su niño(a) NO se le harán estas preguntas),Die folgenden Fragen beziehen sich auf die Geschlechtsidentität. <br><br>Möchten Sie diese zusätzlichen Fragen zum Geschlecht beantworten? <br>(Ihrem Kind werden diese Fragen nicht gestellt),,
parent_survey_child_199,ChildGenderCurrent,What is your child's current gender identification?,¿Cuál es el género con el que se identifica su niño(a)?,Welche ist die derzeitige Geschlechtsidentität Ihres Kindes?,,
parent_survey_child_200,ChildGenderCurrent,,Femenino,Weiblich,,
parent_survey_child_201,ChildGenderCurrent,,Masculino,Männlich,,
parent_survey_child_202,ChildGenderCurrent,,No binario,Nicht-binär,,
parent_survey_child_203,ChildBehGirls,"Over the last year, how frequently did your child engage in behaviors or express preferences that are more commonly associated with girls?","Durante el último año, ¿con qué frecuencia su niño(a) tuvo comportamientos o expresó preferencias que se asocian más comúnmente con las niñas?","Wie häufig hat Ihr Kind im letzten Jahr Verhaltensweisen gezeigt oder Vorlieben geäußert, die häufig eher mit Mädchen in Verbindung gebracht werden?",,
parent_survey_child_204,ChildBehGirls,Never,Nunca,Nie,,
parent_survey_child_205,ChildBehGirls,Rarely,Rara vez,Selten,,
parent_survey_child_206,ChildBehGirls,Sometimes,A veces,Manchmal,,
parent_survey_child_207,ChildBehGirls,Often,A menudo,Oft,,
