item_id,labels,en,es,de,fr,nl,it,pt
parent_survey_child_046,ChildTeeth,Fair,Regular,Mittelmäßig,Passable,Gematigd,,
parent_survey_child_047,ChildTeeth,Poor,Deficiente,Schlecht,Mauvaise,Slecht,,
parent_survey_child_048,ChildPhysicalActivity,"<b>DURING THE PAST WEEK</b>, on how many days did your child exercise, play a sport, or participate in physical activity (either in school or outside of school) for at least 60 minutes?","<b>DURANTE LA SEMANA PASADA</b>, ¿cuántos días hizo su niño(a) ejercicio, practicó un deporte o participó en una actividad física en el colegio o fuera del colegio durante al menos 60 minutos?",An wie vielen Tagen <b>WÄHREND DER LETZTEN WOCHE</b> hat Ihr Kind mindestens 60 Minuten lang Sport getrieben oder an körperlichen Aktivitäten teilgenommen (entweder in der Schule oder außerhalb der Schule)?,"<b>DURANT LA DERNIÈRE SEMAINE</b>, combien de jours votre enfant a-t-il fait de l'exercice, pratiqué un sport ou participé à une activité physique (en milieu scolaire ou non) pendant au moins 60 minutes ?","<b>In DE AFGELOPEN WEEK</b>, op hoeveel dagen heeft uw kind gesport, een sport beoefend of deelgenomen aan een fysieke activiteit (op school of daarbuiten) gedurende ten minste 60 minuten?",,
parent_survey_child_049,ChildPhysicalActivity,0 days,0 días,0 Tage,0 jour,0 dagen,,
parent_survey_child_050,ChildPhysicalActivity,1 - 3 days,1 - 3 días,1 - 3 Tage,1 - 3 jours,1 - 3 dagen,,
parent_survey_child_051,ChildPhysicalActivity,4 - 6 days,4 - 6 días,4 - 6 Tage,4 - 6 jours,4 - 6 dagen,,
parent_survey_child_052,ChildPhysicalActivity,Every day,Todos los días,Jeden Tag,Tous les jours,Elke dag,,
parent_survey_child_053,ChildChronicHealth,"<b>DURING THE PAST 12 MONTHS</b>, has your child had FREQUENT or CHRONIC difficulty with any of the following?","<b>DURANTE LOS ÚLTIMOS 12 MESES</b>, ¿ha tenido su niño(a) dificultades FRECUENTES o CRÓNICAS en alguno de los siguientes aspectos?",Hatte Ihr Kind <b>WÄHREND DER LETZTEN 12 MONATE</b> REGELMÄßIGE oder CHRONISCHE Schwierigkeiten in einem der folgenden Bereiche?,"<b>AU COURS DES 12 DERNIERS MOIS</b>, votre enfant a-t-il eu des difficultés FRÉQUENTES ou CHRONIQUES avec l'une des choses suivantes ?","<b>IN DE AFGELOPEN 12 MAANDEN</b>, heeft uw kind REGELMATIG of CHRONISCH moeite gehad met een van de volgende?",,
parent_survey_child_054,ChildBreathing,Breathing or other respiratory problems (such as wheezing or shortness of breath),Respiración u otros problemas respiratorios (tales como respiración sibilante o ruidosa y falta de aire),Atembeschwerden oder andere Atemprobleme (wie Keuchen oder Kurzatmigkeit),Problèmes respiratoires ou autres difficultés respiratoires (tels que la respiration sifflante ou un essoufflement),Ademhaling of andere ademhalingsproblemen (zoals piepen of kortademigheid),,
parent_survey_child_055,ChildBreathing,,No,Nein,,,,
parent_survey_child_056,ChildBreathing,,No,Nein,,,,
parent_survey_child_057,ChildBreathing,Don't know,No sé,weiß nicht,Je ne sais pas,Weet ik niet,,
parent_survey_child_058,ChildEating,Eating or swallowing because of a health condition,Comer o tragar debido a una afección de salud,Essen oder Schlucken aufgrund eines Gesundheitszustands,Manger ou avaler en raison d'une condition de santé,Eten of slikken vanwege een gezondheidsprobleem,,
parent_survey_child_059,ChildEating,,No,Nein,,,,
parent_survey_child_060,ChildEating,,No,Nein,,,,
parent_survey_child_061,ChildEating,Don't know,No sé,weiß nicht,Je ne sais pas,Weet ik niet,,
parent_survey_child_062,ChildDigestion,"Digesting food, including stomach/intestinal problems, constipation, or diarrhea","Digestión de la comida, incluidos problemas estomacales o intestinales, el estreñimiento o la diarrea","Verdauung von Nahrungsmitteln, einschließlich Magen-/Darmproblemen, Verstopfung oder Durchfall","Digestion des aliments, y compris les problèmes d'estomac/intestinaux, la constipation ou la diarrhée","Voedsel verteren, waaronder maag/darmproblemen, obstipatie of diarree",,
parent_survey_child_063,ChildDigestion,,No,Nein,,,,
parent_survey_child_064,ChildDigestion,,No,Nein,,,,
parent_survey_child_065,ChildDigestion,Don't know,No sé,weiß nicht,Je ne sais pas,Weet ik niet,,
parent_survey_child_066,ChildPain,"Repeated or chronic physical pain, including headaches or other back or body pain","Dolor recurrente como dolor de cabeza, dolor de espalda o dolor generalizado, entre otros","Wiederholte oder chronische körperliche Schmerzen, einschließlich Kopfschmerzen oder andere Rücken- oder Körperschmerzen","Douleurs physiques répétées ou chroniques, y compris les maux de tête ou autres douleurs au dos ou au corps","Herhaalde of chronische fysieke pijn, waaronder hoofdpijn of andere rug- of lichaamspijnen",,
parent_survey_child_067,ChildPain,,No,Nein,,,,
parent_survey_child_068,ChildPain,,No,Nein,,,,
parent_survey_child_069,ChildPain,Don't know,No sé,weiß nicht,Je ne sais pas,Weet ik niet,,
parent_survey_child_070,ChildToothache,Toothaches,Dolor de dientes,Zahnschmerzen,Maux de dents,Kiespijn,,
parent_survey_child_071,ChildToothache,,No,Nein,,,,
parent_survey_child_072,ChildToothache,,No,Nein,,,,
parent_survey_child_073,ChildToothache,Don't know,No sé,weiß nicht,Je ne sais pas,Weet ik niet,,
parent_survey_child_074,ChildGums,Bleeding gums,Sangrado en las encías,Zahnfleischbluten,Gencives qui saignent,Bloedend tandvlees,,
parent_survey_child_075,ChildGums,,No,Nein,,,,
parent_survey_child_076,ChildGums,,No,Nein,,,,
parent_survey_child_077,ChildGums,Don't know,No sé,weiß nicht,Je ne sais pas,Weet ik niet,,
parent_survey_child_078,ChildCavities,Decayed teeth or cavities,Dientes deteriorados o caries,Karies oder Zahnlöcher,Dents cariées ou caries,Verrotte tanden of gaatjes,,
parent_survey_child_079,ChildCavities,,No,Nein,,,,
parent_survey_child_080,ChildCavities,,No,Nein,,,,
parent_survey_child_081,ChildCavities,Don't know,No sé,weiß nicht,Je ne sais pas,Weet ik niet,,
parent_survey_child_082,ChildHealthOther,Does your child have any of the following?,¿Tiene su niño(a) alguna de las siguientes?,Hat Ihr Kind eines der folgenden Probleme?,Votre enfant a-t-il l'un des problèmes suivants ?,Heeft uw kind een van de volgende problemen?,,
parent_survey_child_083,ChildConcentration,"Serious difficulty concentrating, remembering, or making decisions because of a physical, mental, or emotional condition","Dificultades serias para concentrarse, recordar o tomar decisiones debido a un trastorno físico, mental o emocional","Ernsthafte Schwierigkeiten, sich zu konzentrieren, sich zu erinnern oder Entscheidungen zu treffen, aufgrund eines körperlichen, geistigen oder emotionalen Zustands","Difficulté sérieuse à se concentrer, se souvenir ou prendre des décisions en raison d'un état physique, mental ou émotionnel","Ernstige moeite met concentreren, onthouden of beslissingen nemen vanwege een fysiek, mentaal of emotioneel probleem",,
parent_survey_child_084,ChildConcentration,,No,Nein,,,,
parent_survey_child_085,ChildConcentration,,No,Nein,,,,
parent_survey_child_086,ChildConcentration,Don't know,No sé,weiß nicht,Je ne sais pas,Weet ik niet,,
parent_survey_child_087,ChildStairs,Serious difficulty walking or climbing stairs,Dificultad grave para caminar o subir escaleras,Ernsthafte Schwierigkeiten beim Gehen oder Treppensteigen,Difficulté sérieuse à marcher ou à monter des escaliers,Ernstige moeilijkheid met lopen of traplopen,,
parent_survey_child_088,ChildStairs,Yes,Sí,Ja,Oui,Ja,,
parent_survey_child_089,ChildStairs,No,No,Nein,Non,Nee,,
parent_survey_child_090,ChildDressBathe,Difficulty dressing or bathing,Dificultad para vestirse o bañarse,Schwierigkeiten beim Anziehen oder Baden,Difficulté à s'habiller ou à se laver,Moeite met aankleden of baden,,
parent_survey_child_091,ChildDressBathe,Yes,Sí,Ja,Oui,Ja,,
parent_survey_child_092,ChildDressBathe,No,No,Nein,Non,Nee,,
parent_survey_child_093,ChildHearing,Deafness or problems with hearing,Sordera o problemas de audición,Taubheit oder Hörprobleme,Surdité ou problèmes d'audition,Doofheid of gehoorproblemen,,
parent_survey_child_094,ChildHearing,Yes,Sí,Ja,Oui,Ja,,
parent_survey_child_095,ChildHearing,No,No,Nein,Non,Nee,,
parent_survey_child_096,ChildEyesight,"Blindness or problems with seeing, even when wearing glasses","Ceguera o problemas de la vista, incluso cuando utiliza anteojos o lentes","Blindheit oder Sehprobleme, auch beim Tragen einer Brille","Cécité ou problèmes de vision, même en portant des lunettes","Blindheid of problemen met zien, zelfs wanneer het kind een bril draagt",,
parent_survey_child_097,ChildEyesight,Yes,Sí,Ja,Oui,Ja,,
parent_survey_child_098,ChildEyesight,No,No,Nein,Non,Nee,,
parent_survey_child_099,ChildVisionHearingOther,"Does your child have any other vision or hearing issues (e.g., frequent ear infections; nearsighted or farsighted)?","¿Tiene su niño(a) algún otro problema de visión o audición (por ejemplo, infecciones de oído frecuentes)?",Hat Ihr Kind andere Seh- oder Hörprobleme (z. B. häufige Ohrentzündung)?,"Votre enfant a-t-il d'autres problèmes de vision ou d'audition (par exemple, infections fréquentes de l'oreille, myopie ou hypermétropie) ?",Heeft uw kind andere zicht- of gehoorproblemen (bv. frequente oorinfecties; bijziend of verziend)?,,
parent_survey_child_100,ChildVisionHearingOther,Yes,Sí,Ja,Oui,Ja,,
parent_survey_child_101,ChildVisionHearingOther,No,No,Nein,Non,Nee,,
parent_survey_child_102,ChildVisionHearingExp,"If yes, please explain:","En caso afirmativo, explíquelo:","Wenn ja, beschreiben Sie diese bitte:","Si oui, veuillez expliquer :","Zo ja, graag toelichten:",,
parent_survey_child_103,ChildGenetic,Has a doctor or other health care provider <b>EVER</b> told you that your child has a genetic or inherited condition?,¿<b>ALGUNA VEZ</b> su médico o algún otro profesional de la salud le ha dicho que su niño(a) tiene un trastorno genético o hereditario?,"Hat Ihnen ein Arzt oder ein anderer Gesundheitsdienstleister <b>JEMALS</b> gesagt, dass Ihr Kind eine genetische oder vererbte Erkrankung hat?",Un médecin ou un autre prestataire de soins de santé vous a-t-il <b>JAMAIS</b> dit que votre enfant avait une affection génétique ou héréditaire ?,Heeft een arts of andere zorgverlener u <b>OOIT</b> verteld dat uw kind een genetische of erfelijke aandoening heeft?,,
parent_survey_child_104,ChildGenetic,,No,Nein,,,,
parent_survey_child_105,ChildGenetic,,No,Nein,,,,
parent_survey_child_106,ChildGenetic,Don't know,No sé,weiß nicht,Je ne sais pas,Weet ik niet,,
parent_survey_child_107,ChildGenetic,Prefer not to respond,Prefiero no responder,Ich möchte nicht antworten,Préfère ne pas répondre,Liever niet antwoorden,,
parent_survey_child_108,ChildGeneticExp,"If yes, please note or explain the condition:","En caso afirmativo, indique el trastorno:","Wenn ja, benennen oder beschreiben Sie diese bitte:","Si oui, veuillez noter ou expliquer la condition :","Als het antwoord ja is, graag de aandoening vermelden of toelichten:",,
parent_survey_child_109,ChildHealthConditions,"Has a doctor or other health care provider, or educator <b>EVER</b> told you that your child has any of the following:","¿<b>ALGUNA VEZ</b> su médico, otro profesional de la salud o un docente le ha dicho que su niño(a) padece alguna de las siguientes afecciones?","Hat Ihnen ein Arzt, ein anderer Gesundheitsdienstleister oder ein Pädagoge <b>JEMALS</b> gesagt, dass Ihr Kind eines der folgenden Probleme hat:","Un médecin, un autre prestataire de soins de santé ou un éducateur vous a-t-il <b>JAMAIS</b> dit que votre enfant avait l’une des affections suivantes :","Heeft een arts of andere zorgverlener, of opvoeder u <b>OOIT</b> verteld dat uw kind een van de volgende aandoeningen heeft:",,
parent_survey_child_110,ChildConduct,Behavioral or Conduct Problems,Problemas de comportamiento o conducta,Verhaltens- oder Benehmensprobleme,Problèmes de comportement ou de conduite,Gedrags- of opvoedingsproblemen,,
parent_survey_child_111,ChildConduct,No,No,Nein,Non,Nee,,
parent_survey_child_112,ChildConduct,Yes,Sí,Ja,Oui,Ja,,
parent_survey_child_113,ChildConduct,Don't know,No sé,weiß nicht,Je ne sais pas,Weet ik niet,,
parent_survey_child_114,ChildConduct,Prefer not to respond,Prefiero no responder,Ich möchte nicht antworten,Préfère ne pas répondre,Liever niet antwoorden,,
parent_survey_child_115,ChildConductCurrent,Does your child <b>CURRENTLY</b > have Behavioral or Conduct Problems?,¿<b>ACTUALMENTE</b> su niño(a) tiene problemas de comportamiento o conducta?,Hat Ihr Kind <b>AKTUELL</b> Verhaltens- oder Benehmensprobleme?,Votre enfant a-t-il <b>ACTUELLEMENT</b> des problèmes de comportement ou de conduite ?,Heeft uw kind op dit moment gedrags- of opvoedingsproblemen?,,
parent_survey_child_116,ChildConductCurrent,Yes,Sí,Ja,Oui,Ja,,
parent_survey_child_117,ChildConductCurrent,No,No,Nein,Non,Nee,,
parent_survey_child_118,ChildConductLevel,"Are the current Behavioral or Conduct Problems, Mild, Moderate, or Severe?","¿Los problemas de comportamiento o conducta actuales son leves, moderados o severos?","Sind die aktuellen Verhaltens- oder Benehmensprobleme leicht, mäßig oder schwerwiegend?","Les problèmes actuels de comportement ou de conduite sont-ils légers, modérés ou sévères ?","Zijn de huidige gedrags- of opvoedingsproblemen mild, matig of ernstig?",,
parent_survey_child_119,ChildConductLevel,Mild,Leve,leicht,Légers,Mild,,
parent_survey_child_120,ChildConductLevel,Moderate,Moderado,mäßig,Modérés,Matig,,
parent_survey_child_121,ChildConductLevel,Severe,Severo,schwerwiegend,Sévères,Ernstig,,
parent_survey_child_122,ChildDevDelay,Developmental Delay,Atraso en el desarrollo,Entwicklungsverzögerung,Retard de développement,Ontwikkelingsachterstand,,
parent_survey_child_123,ChildDevDelay,,No,Nein,,,,
parent_survey_child_124,ChildDevDelay,,No,Nein,,,,
parent_survey_child_125,ChildDevDelay,Don't know,No sé,weiß nicht,Je ne sais pas,Weet ik niet,,
parent_survey_child_126,ChildDevDelay,Prefer not to respond,Prefiero no responder,Ich möchte nicht antworten,Préfère ne pas répondre,Liever niet antwoorden,,
parent_survey_child_127,ChildDevDelayCurrent,Does your child <b>CURRENTLY</b > have Developmental Delay?,¿<b>ACTUALMENTE</b> su niño(a) tiene un atraso en su desarrollo?,Hat Ihr Kind <b>AKTUELL</b> eine Entwicklungsverzögerung?,Votre enfant a-t-il <b>ACTUELLEMENT</b> un retard de développement ?,Heeft uw kind momenteel een ontwikkelingsachterstand?,,
parent_survey_child_128,ChildDevDelayCurrent,Yes,Sí,Ja,Oui,Ja,,
parent_survey_child_129,ChildDevDelayCurrent,No,No,Nein,Non,Nee,,
parent_survey_child_130,ChildDevDelayLevel,"Are the current Developmental Delays, Mild, Moderate, or Severe?","¿Los atrasos actuales del desarrollo son leves, moderados o severos?","Sind die aktuellen Entwicklungsverzögerungen leicht, mäßig oder schwerwiegend?","Les retards de développement actuels sont-ils légers, modérés ou sévères ?","Zijn de huidige ontwikkelingsachterstanden mild, matig of ernstig?",,
parent_survey_child_131,ChildDevDelayLevel,Mild,Leve,leicht,Légers,Mild,,
parent_survey_child_132,ChildDevDelayLevel,Moderate,Moderado,mäßig,Modérés,Matig,,
parent_survey_child_133,ChildDevDelayLevel,Severe,Severo,schwerwiegend,Sévères,Ernstig,,
parent_survey_child_134,ChildIntellDis,Intellectual Disability,Discapacidad intelectual,Geistige Behinderung,Déficience intellectuelle,Verstandelijke beperking,,
parent_survey_child_135,ChildIntellDis,,No,Nein,,,,
parent_survey_child_136,ChildIntellDis,,No,Nein,,,,
parent_survey_child_137,ChildIntellDis,Don't know,No sé,weiß nicht,Je ne sais pas,Weet ik niet,,
parent_survey_child_138,ChildIntellDis,Prefer not to respond,Prefiero no responder,Ich möchte nicht antworten,Préfère ne pas répondre,Liever niet antwoorden,,
parent_survey_child_139,ChildIntellDisCurrent,Does your child <b>CURRENTLY</b > have an Intellectual Disability?,¿<b>ACTUALMENTE</b> su niño(a) tiene de discapacidad intelectual?,Hat Ihr Kind <b>AKTUELL</b> eine geistige Behinderung?,Votre enfant a-t-il <b>ACTUELLEMENT</b> une déficience intellectuelle ?,Heeft uw kind momenteel een verstandelijke beperking?,,
parent_survey_child_140,ChildIntellDisCurrent,Yes,Sí,Ja,Oui,Ja,,
parent_survey_child_141,ChildIntellDisCurrent,No,No,Nein,Non,Nee,,
parent_survey_child_142,ChildIntellDisLevel,"Is the current Intellectual Disability, Mild, Moderate, or Severe?","¿La discapacidad intelectual actual es leve, moderada o severa?","Ist die aktuelle geistige Behinderung leicht, mäßig oder schwerwiegend?","La déficience intellectuelle actuelle est-elle légère, modérée ou sévère ?","Is de huidige verstandelijke beperking mild, matig of ernstig?",,
parent_survey_child_143,ChildIntellDisLevel,Mild,Leve,leicht,Légers,Mild,,
parent_survey_child_144,ChildIntellDisLevel,Moderate,Moderada,mäßig,Modérés,Matig,,
parent_survey_child_145,ChildIntellDisLevel,Severe,Severa,schwerwiegend,Sévères,Ernstig,,
parent_survey_child_146,ChildSpeechLang,Speech or other language disorder,Trastorno del habla u otro trastorno del lenguaje,Sprech- oder andere Sprachstörung,Trouble de la parole ou autre trouble du langage,Spraak- of andere taalstoornis,,
parent_survey_child_147,ChildSpeechLang,,No,Nein,,,,
parent_survey_child_148,ChildSpeechLang,,No,Nein,,,,
parent_survey_child_149,ChildSpeechLang,Don't know,No sé,weiß nicht,Je ne sais pas,Weet ik niet,,
parent_survey_child_150,ChildSpeechLang,Prefer not to respond,Prefiero no responder,Ich möchte nicht antworten,Préfère ne pas répondre,Liever niet antwoorden,,
parent_survey_child_151,ChildSpeechLangCurrent,Does your child <b>CURRENTLY</b > have a Speech or other language disorder?,¿<b>ACTUALMENTE</b> su niño(a) tiene un trastorno del habla u otro trastorno del lenguaje?,Hat Ihr Kind <b>AKTUELL</b> eine Sprech- oder andere Sprachstörung?,Votre enfant a-t-il <b>ACTUELLEMENT</b> un trouble de la parole ou autre trouble du langage ?,Heeft uw kind momenteel een spraak- of andere taalstoornis?,,
parent_survey_child_152,ChildSpeechLangCurrent,Yes,Sí,Ja,Oui,Ja,,
parent_survey_child_153,ChildSpeechLangCurrent,No,No,Nein,Non,Nee,,
