"identifier","labels","text","en","es-CO","de","fr-CA","nl","de-CH","es-AR","en-GH"
"HomeNSCHi7f","parent_survey_family","In your neighborhood is there poorly kept or rundown housing?","Are there poorly kept or rundown housing in your neighborhood?","¿En su vecindario hay viviendas deterioradas o en mal estado?","Gibt es in Ihrer Nachbarschaft schlecht erhaltene oder heruntergekommene Wohnungen?","Dans votre quartier","y a-t-il des maisons mal entretenues ou délabrées?","Zijn er in uw buurt slecht onderhouden of vervallen woningen?","Gibt es in Ihrer Nachbarschaft schlecht erhaltene oder heruntergekommene Wohnungen?","¿En su vecindario hay viviendas deterioradas o en mal estado?"
"HomeNSCHi7f","parent_survey_family","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"HomeNSCHi7f","parent_survey_family","No","No","No","No","No","No","No","No","No"
"HomeNSCHi7g","parent_survey_family","In your neighborhood","is there vandalism such as broken windows or graffiti?","Is there vandalism such as broken windows or graffiti in your neighborhood?","¿En su vecindario hay vandalismo","como romper ventanas o pintar grafitis?","Gibt es in Ihrer Nachbarschaft Vandalismus wie z.B. eingeschlagene Fensterscheiben oder Graffiti?","Dans votre quartier","y a-t-il du vandalisme tel que des vitres cassées ou des graffitis?","Is er in uw buurt sprake van vandalisme"
"HomeNSCHi7g","parent_survey_family","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"HomeNSCHi7g","parent_survey_family","No","No","No","No","No","No","No","No","No"
"HomeNSCHi8items","parent_survey_family","To what extent do you agree with these statements about your neighborhood or community?","To what extent do you agree with these statements about your neighborhood or community?","¿En qué medida está de acuerdo con estas afirmaciones sobre su vecindario o comunidad?","Inwieweit stimmen Sie diesen Aussagen über Ihre Nachbarschaft oder Gemeinde zu?","Dans quelle mesure êtes-vous d'accord avec ces déclarations sur votre quartier ou communauté?","In hoeverre bent u het eens met deze uitspraken over uw buurt of gemeenschap?","Inwieweit stimmen Sie diesen Aussagen über Ihre Nachbarschaft oder Gemeinde zu?","¿En qué medida está de acuerdo con estas afirmaciones sobre su vecindario o comunidad?","To which level you kind of dey agree with these things wey you hear about your neighborhood or town?"
"HomeNSCHi8items","parent_survey_family","Definitely Agree","Definitely Agree","Definitivamente de acuerdo","Voll und ganz zustimmen","Tout à fait d'accord","Helemaal mee eens","Voll und ganz zustimmen","Definitivamente de acuerdo","Absolutely Agree"
"HomeNSCHi8items","parent_survey_family","Somewhat Agree","Somewhat Agree","Algo de acuerdo","Eher zustimmen","Plutôt d'accord","Enigszins mee eens","Eher zustimmen","Algo de acuerdo","More or less Agree"
"HomeNSCHi8items","parent_survey_family","Somewhat Disagree","Somewhat Disagree","Algo en descuerdo","Eher nicht zustimmen","Plutôt en désaccord","Enigszins mee oneens","Eher nicht zustimmen","Algo en descuerdo","More or less Disagree"
"HomeNSCHi8items","parent_survey_family","Definitely Disagree","Definitely Disagree","Definitivamente en desacuerdo","Überhaupt nicht zustimmen","Pas du tout d'accord","Helemaal mee oneens","Überhaupt nicht zustimmen","Definitivamente en desacuerdo","Absolutely Disagree"
"HomeNSCHi8items","parent_survey_family","People in your neighborhood help each other out.","People in your neighborhood help each other out.","La gente de su vecindario se ayuda mutuamente.","Die Menschen in deiner Nachbarschaft helfen sich gegenseitig.","Les gens dans votre quartier s'entraident.","Mensen in uw buurt helpen elkaar.","Die Menschen in deiner Nachbarschaft helfen sich gegenseitig.","La gente de su vecindario se ayuda mutuamente.","The people for your place dey like help each other."
"HomeNSCHi8items","parent_survey_family","People in your neighborhood watch out for each other's children.","People in your neighborhood watch out for each other's children.","La gente de su vecindario cuida mutuamente de nuestros niños(as).","Die Menschen in Ihrer Nachbarschaft passen auf die Kinder der anderen auf.","Les gens dans votre quartier veillent sur les enfants des uns et des autres.","Mensen in uw buurt letten op elkaars kinderen.","Die Menschen in Ihrer Nachbarschaft passen auf die Kinder der anderen auf.","La gente de su vecindario cuida mutuamente de nuestros niños(as).","The people for your area dey watch out for each other their children."
"HomeNSCHi8items","parent_survey_family","Your child is safe in your neighborhood.","Your child is safe in your neighborhood.","Su niño(a) está seguro(a) en su vecindario.","Ihr Kind ist in Ihrer Nachbarschaft sicher.","Votre enfant est en sécurité dans votre quartier.","Uw kind is veilig in uw buurt.","Ihr Kind ist in Ihrer Nachbarschaft sicher.","Su niño(a) está seguro(a) en su vecindario.","Your child dey safe for your place."
"HomeNSCHi8items","parent_survey_family","When you encounter difficulties","you know where to go for help in your community.","When you encounter difficulties","you know where to go for help in your community.","Ustedes saben a quién acudir en su comunidad para buscar ayuda","cuando enfrentan dificultades.","Wenn Sie auf Schwierigkeiten stoßen","wissen Sie","an wen Sie sich in Ihrer Gemeinde wenden können"
"HomeNSCHi8items","parent_survey_family","Your child is safe at school.","Your child is safe at school.","Su niño(a) está seguro(a) en la escuela.","Ihr Kind ist in der Schule sicher.","Votre enfant est en sécurité à l'école.","Uw kind is veilig op school.","Ihr Kind ist in der Schule sicher.","Su niño(a) está seguro(a) en la escuela.","Your child is safe at school."
"HomeFood","parent_survey_family","These are statements people have made about their food situation. For these statements","please mark whether the statement was often true","sometimes true","or never true for your household in the <b>last 12 months</b>.","These are statements people have made about their food situation. For these statements","please mark whether the statement was often true","sometimes true","or never true for your household in the <b>last 12 months</b>.","Estas son declaraciones que las personas han hecho sobre situaciones alimentarias. Para cada uno"
"HomeFoodLast","parent_survey_family","The food that we bought just didn't last","and we didn't have enough money to get more.","The food we bought just didn't last","and we didn't have enough money to get more.","La comida que comprábamos no alcanzaba","y no teníamos dinero para comprar más.","Die Lebensmittel","die wir gekauft hatten","reichten einfach nicht aus"
"HomeFoodLast","parent_survey_family","Never true","Never true","Nunca","Trifft nie zu","Jamais vrai","Nooit waar","Trifft nie zu","Nunca","Not true at all"
"HomeFoodLast","parent_survey_family","Sometimes true","Sometimes true","A veces","Trifft manchmal zu","Parfois vrai","Soms waar","Trifft manchmal zu","A veces","Sometimes true"
"HomeFoodLast","parent_survey_family","Often true","Often true","Frecuentemente","Trifft oft zu","Souvent vrai","Vaak waar","Trifft oft zu","Frecuentemente","Often true"
"HomeFoodBalanced","parent_survey_family","We couldn't afford to eat balanced meals.","We couldn't afford to eat balanced meals.","No teníamos recursos suficientes para comer comida variada y nutritiva.","Wir konnten es uns nicht leisten","ausgewogene Mahlzeiten zu essen.","Nous ne pouvions pas nous permettre de manger des repas équilibrés.","We konden ons geen uitgebalanceerde maaltijden veroorloven.","Wir konnten es uns nicht leisten","ausgewogene Mahlzeiten zu essen."
"HomeFoodBalanced","parent_survey_family","Never true","Never true","Never true","Never true","Never true","Never true","Never true","Never true","Never true"
"HomeFoodBalanced","parent_survey_family","Sometimes true","Sometimes true","Sometimes true","Sometimes true","Sometimes true","Sometimes true","Sometimes true","Sometimes true","Sometimes true"
"HomeFoodBalanced","parent_survey_family","Often true","Often true","Often true","Often true","Often true","Often true","Often true","Often true","Often true"
"HomeFoodSkipMeal","parent_survey_family","In the <b>last 12 months</b>","did you or other adults in your household ever cut the size of your meals or skip meals because there wasn't enough money for food?","In the <b>last 12 months</b>","did you or other adults in your household ever cut the size of your meals or skip meals because there wasn't enough money for food?","En <b>los últimos 12 meses</b>","¿usted u otros adultos del hogar redujeron la cantidad de sus comidas o se saltaron comidas porque les faltaba dinero para alimentos?","Haben Sie oder andere Erwachsene in Ihrem Haushalt in den <b>letzten 12 Monaten</b> jemals die Menge Ihrer Mahlzeiten reduziert oder Mahlzeiten ausgelassen","weil nicht genug Geld für Lebensmittel vorhanden war?","Au cours <b>des 12 derniers mois</b>"
"HomeFoodSkipMeal","parent_survey_family","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes"
"HomeFoodSkipMeal","parent_survey_family","No","No","No","No","No","No","No","No","No"
"HomeFoodSkipMealAmount","parent_survey_family","If yes","how often did this happen - almost every month","some months but not every month","or in only 1 or 2 months?","If yes","how often did this happen - almost every month","some months but not every month","or in only 1 or 2 months?","En caso afirmativo"
"HomeFoodSkipMealAmount","parent_survey_family","Almost every month","Almost every month","Casi todos los meses","Fast jeden Monat","Presque chaque mois","Bijna elke maand","Fast jeden Monat","Casi todos los meses","Almost every month"
"HomeFoodSkipMealAmount","parent_survey_family","Some months but not every month","Some months but not every month","Algunos meses","In einigen Monaten aber nicht jeden Monat","Certains mois mais pas tous les mois","Sommige maanden maar niet elke maand","In einigen Monaten aber nicht jeden Monat","Algunos meses","Some months but not every month"
"HomeFoodSkipMealAmount","parent_survey_family","Only 1 or 2 months","Only 1 or 2 months","Solo 1 ó 2 meses","Nur in 1 oder 2 Monaten","Seulement 1 ou 2 mois","Slechts in 1 of 2 maanden","Nur in 1 oder 2 Monaten","Solo 1 ó 2 meses","Only 1 or 2 months"
"HomeCHAOS","parent_survey_family","Below are statements about the environment in your home. Please indicate how much you agree that the statement is true of your home.","Below are statements about the environment in your home. Please indicate how much you agree that the statement is true of your home.","A continuación encontrará una serie de afirmaciones sobre el entorno de su hogar. Indique qué tan cierta es cada afirmación para su hogar.","Im Folgenden finden Sie Aussagen über die häusliche Umgebung. Bitte geben Sie an","inwieweit Sie der Aussage zustimmen","dass sie auf Ihr Zuhause zutrifft.","Voici des déclarations sur l'environnement dans votre maison. Veuillez indiquer dans quelle mesure vous êtes d'accord que la déclaration est vraie pour votre maison.","Hieronder staan uitspraken over de omgeving in uw huis. Geef aan in hoeverre u het ermee eens bent dat de uitspraak waar is voor uw huis.","Below are statements about the environment in your home. Please indicate how much you agree that the statement is true of your home."
"HomeCHAOS4","parent_survey_family","We are usually able to stay on top of things.","We are usually able to stay on top of things.","Normalmente somos capaces de estar al día con las actividades.","Wir sind in der Regel in der Lage","den Überblick zu behalten.","Nous sommes généralement capables de rester au top des choses.","We zijn meestal in staat om de zaken onder controle te houden.","Wir sind in der Regel in der Lage","den Überblick zu behalten."
"HomeCHAOS4","parent_survey_family","Definitely Untrue","Definitely Untrue","Totalmente falso","Definitiv unwahr","Totalement faux","Zeker onwaar","Definitiv unwahr","Totalmente falso","Definitely False"
"HomeCHAOS4","parent_survey_family","Somewhat Untrue","Somewhat Untrue","Algo falso","Eher unwahr","Plutôt faux","Enigszins onwaar","Eher unwahr","Algo falso","Somewhat Untrue"
"HomeCHAOS4","parent_survey_family","Somewhat True","Somewhat True","Algo verdadero","Eher wahr","Plutôt vrai","Enigszins waar","Eher wahr","Algo verdadero","Somewhat True"
"HomeCHAOS4","parent_survey_family","Definitely True","Definitely True","Totalmente verdadero","Definitiv wahr","Totalement vrai","Zeker waar","Definitiv wahr","Totalmente verdadero","Definitely True"
"HomeCHAOS10","parent_survey_family","You can't hear yourself think in our home.","You can't hear yourself think in our home.","En nuestra casa hay tanto ruido que no escuchas ni tus pensamientos.","Bei uns zu Hause versteht man sein eigenes Wort nicht.","Vous ne pouvez pas vous entendre penser chez nous.","Je kunt jezelf niet verstaan in ons huis.","Bei uns zu Hause versteht man sein eigenes Wort nicht.","En nuestra casa hay tanto ruido que no escuchas ni tus pensamientos.","For our house"
"HomeCHAOS10","parent_survey_family","Definitely Untrue","Definitely Untrue","Definitely Untrue","Definitely Untrue","Definitely Untrue","Definitely Untrue","Definitely Untrue","Definitely Untrue","Definitely Untrue"
"HomeCHAOS10","parent_survey_family","Somewhat Untrue","Somewhat Untrue","Somewhat Untrue","Somewhat Untrue","Somewhat Untrue","Somewhat Untrue","Somewhat Untrue","Somewhat Untrue","Somewhat Untrue"
"HomeCHAOS10","parent_survey_family","Somewhat True","Somewhat True","Somewhat True","Somewhat True","Somewhat True","Somewhat True","Somewhat True","Somewhat True","Somewhat True"
"HomeCHAOS10","parent_survey_family","Definitely True","Definitely True","Definitely True","Definitely True","Definitely True","Definitely True","Definitely True","Definitely True","Definitely True"
"HomeCHAOS14","parent_survey_family","The atmosphere in our home is calm.","The atmosphere in our home is calm.","El ambiente de nuestra casa es muy calmado.","Die Atmosphäre in unserem Haus ist ruhig.","L'atmosphère dans notre maison est calme.","De sfeer in ons huis is kalm.","Die Atmosphäre in unserem Haus ist ruhig.","El ambiente de nuestra casa es muy calmado.","Our house dey calm."
"HomeCHAOS14","parent_survey_family","Definitely Untrue","Definitely Untrue","Definitely Untrue","Definitely Untrue","Definitely Untrue","Definitely Untrue","Definitely Untrue","Definitely Untrue","Definitely Untrue"
"HomeCHAOS14","parent_survey_family","Somewhat Untrue","Somewhat Untrue","Somewhat Untrue","Somewhat Untrue","Somewhat Untrue","Somewhat Untrue","Somewhat Untrue","Somewhat Untrue","Somewhat Untrue"
"HomeCHAOS14","parent_survey_family","Somewhat True","Somewhat True","Somewhat True","Somewhat True","Somewhat True","Somewhat True","Somewhat True","Somewhat True","Somewhat True"
"HomeCHAOS14","parent_survey_family","Definitely True","Definitely True","Definitely True","Definitely True","Definitely True","Definitely True","Definitely True","Definitely True","Definitely True"
"HomeCHAOS15","parent_survey_family","We have a regular morning routine at home.","We have a regular morning routine at home.","En nuestra casa","tenemos una rutina matutina regular.","Wir haben zu Hause eine regelmäßige Morgenroutine.","Nous avons une routine matinale régulière à la maison.","We hebben thuis een vaste ochtendroutine.","Wir haben zu Hause eine regelmäßige Morgenroutine.","En nuestra casa"
"HomeCHAOS15","parent_survey_family","Definitely Untrue","Definitely Untrue","Definitely Untrue","Definitely Untrue","Definitely Untrue","Definitely Untrue","Definitely Untrue","Definitely Untrue","Definitely Untrue"
"HomeCHAOS15","parent_survey_family","Somewhat Untrue","Somewhat Untrue","Somewhat Untrue","Somewhat Untrue","Somewhat Untrue","Somewhat Untrue","Somewhat Untrue","Somewhat Untrue","Somewhat Untrue"
"HomeCHAOS15","parent_survey_family","Somewhat True","Somewhat True","Somewhat True","Somewhat True","Somewhat True","Somewhat True","Somewhat True","Somewhat True","Somewhat True"
"HomeCHAOS15","parent_survey_family","Definitely True","Definitely True","Definitely True","Definitely True","Definitely True","Definitely True","Definitely True","Definitely True","Definitely True"
"SelfParentStressNSCHh8","parent_survey_family","How well do you think you are handling the day-to-day demands of raising children?","How well do you think you are handling the day-to-day demands of raising children?","¿Qué tan bien cree usted que está manejando las exigencias diarias de la crianza de los niños?","Was glauben Sie","wie gut Sie mit den täglichen Anforderungen der Kindererziehung zurechtkommen?","Comment pensez-vous que vous gérez les exigences quotidiennes de l'éducation des enfants?","Hoe goed denkt u dat u de dagelijkse eisen van het opvoeden van kinderen aankan?","Was glauben Sie","wie gut Sie mit den täglichen Anforderungen der Kindererziehung zurechtkommen?"
"SelfParentStressNSCHh8","parent_survey_family","Very well","Very well","Completamente","Trifft voll und ganz zu","Très bien","Heel goed","Trifft voll und ganz zu","Completamente","Very well"
"SelfParentStressNSCHh8","parent_survey_family","Somewhat well","Somewhat well","Bastante","Trifft eher zu","Assez bien","Redelijk goed","Trifft eher zu","Bastante","Somewhat well"
"SelfParentStressNSCHh8","parent_survey_family","Not very well","Not very well","Un poco","Trifft eher nicht zu","Pas très bien","Niet zo goed","Trifft eher nicht zu","Un poco","Not very well"
"SelfParentStressNSCHh8","parent_survey_family","Not well at all","Not well at all","Muy mal","Überhaupt nicht gut","Pas du tout bien","Helemaal niet goed","Überhaupt nicht gut","Muy mal","Not well at all"
"SelfAnxDep","parent_survey_family","Over the <b>last two weeks</b>","how often have you been bothered by the following problems?","Over the <b>last two weeks</b>","how often have you been bothered by the following problems?","En las <b>últimas dos semanas</b>","¿con qué frecuencia se sintió usted afectado por los siguientes problemas?","Wie oft wurden Sie in den <b>letzten zwei Wochen</b> von den folgenden Problemen geplagt?","Au cours des <b>deux dernières semaines</b>","à quelle fréquence avez-vous été dérangé par les problèmes suivants?"
"SelfAnxDep","parent_survey_family","Not at all","Not at all","Para nada","Trifft überhaupt nicht zu","Pas du tout","Helemaal niet","Trifft überhaupt nicht zu","Para nada","Not at all"
"SelfAnxDep","parent_survey_family","Several days","Several days","Varios días","Mehrere Tage","Plusieurs jours","Enkele dagen","Mehrere Tage","Varios días","Few days"
"SelfAnxDep","parent_survey_family","More than half of the days","More than half of the days","Más de la mitad de los días","Mehr als die Hälfte der Tage","Plus de la moitié des journées","Meer dan de helft van de dagen","Mehr als die Hälfte der Tage","Más de la mitad de los días","More than half of the days"
"SelfAnxDep","parent_survey_family","Nearly every day","Nearly every day","Casi todos los días","Fast jeden Tag","Presque tous les jours","Bijna elke dag","Fast jeden Tag","Casi todos los días","Every blessed day"
"SelfAnxDep","parent_survey_family","Feeling nervous","anxious","or on edge","Feeling nervous","anxious","or on edge","Nerviosismo","ansiedad o irritabilidad","Sich nervös"
"SelfAnxDep","parent_survey_family","Not being able to stop or control worrying","Not being able to stop or control worrying","No poder parar o controlar las preocupaciones","Nicht in der Lage zu sein","das Grübeln zu beenden oder zu kontrollieren","Ne pas être capable d'arrêter ou de contrôler les préoccupations","Niet in staat zijn om te stoppen of zich zorgen te maken onder controle te houden","Nicht in der Lage zu sein","das Grübeln zu beenden oder zu kontrollieren"
"SelfAnxDep","parent_survey_family","Feeling down","depressed","or hopeless","Feeling down","depressed","or hopeless","Sentirse decaído","deprimido o desesperanzado.","Sich niedergeschlagen"
"SelfAnxDep","parent_survey_family","Little interest or pleasure in doing things","Little interest or pleasure in doing things","Poco interés o placer por hacer cosas","Wenig Interesse oder Freude am Tun","Peu d'intérêt ou de plaisir à faire des choses","Weinig interesse of plezier hebben in dingen doen","Wenig Interesse oder Freude am Tun","Poco interés o placer por hacer cosas","Little interest or pleasure in doing things"
"SelfSupport","parent_survey_family","We are interested in how you feel about the following statements. Read each statement carefully. Indicate how you feel about each statement.","We are interested in how you feel about the following statements. Read each statement carefully. Indicate how you feel about each statement.","Nos interesa conocer su opinión sobre las siguientes afirmaciones. Léalas atentamente e indique cómo se siente respecto a cada una.","Uns interessiert","wie Sie zu den folgenden Aussagen stehen. Lesen Sie jede Aussage sorgfältig durch. Geben Sie an","wie Sie über jede Aussage denken.","Nous nous intéressons à votre ressenti vis-à-vis des affirmations suivantes. Lisez chaque affirmation attentivement. Indiquez ce que vous ressentez par rapport à chaque affirmation.","We zijn geïnteresseerd in hoe u denkt over de volgende uitspraken. Lees elke uitspraak zorgvuldig. Geef aan hoe u zich voelt bij elke uitspraak.","Uns interessiert"
"SelfSupport","parent_survey_family","Very Strongly Disagree","Very Strongly Disagree","Totalmente en desacuerdo","Sehr stark ablehnen","Très fortement en désaccord","Zeer sterk mee oneens","Sehr stark ablehnen","Totalmente en desacuerdo","Truly Disagree"
"SelfSupport","parent_survey_family","Strongly Disagree","Strongly Disagree","Muy en desacuerdo","Stark ablehnen","Fortement en désaccord","Sterk mee oneens","Stark ablehnen","Muy en desacuerdo","Disagree"
"SelfSupport","parent_survey_family","Mildly Disagree","Mildly Disagree","Algo en desacuerdo","Leicht ablehnen","Légèrement en désaccord","Lichtelijk mee oneens","Leicht ablehnen","Algo en desacuerdo","Barely Disagree"
"SelfSupport","parent_survey_family","Mildly Agree","Mildly Agree","Ligeramente de acuerdo","Leicht zustimmen","Légèrement d'accord","Lichtelijk mee eens","Leicht zustimmen","Ligeramente de acuerdo","Agree so far"
"SelfSupport","parent_survey_family","Strongly Agree","Strongly Agree","Muy de acuerdo","Stark zustimmen","Fortement d'accord","Sterk mee eens","Stark zustimmen","Muy de acuerdo","Strong Agree"
"SelfSupport","parent_survey_family","Very Strongly Agree","Very Strongly Agree","Totalmente de acuerdo","Sehr stark zustimmen","Très fortement d'accord","Zeer sterk mee eens","Sehr stark zustimmen","Totalmente de acuerdo","Even more Strongly Agree"
"SelfSupport","parent_survey_family","There is a special person (ex: spouse","partner","etc.) who is around when I am in need.","There is a special person (ex: spouse","partner","etc.) who is around when I am in need.","Hay una persona especial (cónyuge","pareja","etc.) que está a mi lado cuando la necesito."
"SelfSupport","parent_survey_family","There is a special person (ex: spouse","partner","etc.) with whom I can share joys and sorrows.","There is a special person (ex: spouse","partner","etc.) with whom I can share joys and sorrows.","Hay una persona especial (cónyuge","pareja","etc.) con la que puedo compartir alegrías y penas."
"SelfSupport","parent_survey_family","My family really tries to help me.","My family really tries to help me.","Mi familia realmente trata de ayudarme.","Meine Familie versucht wirklich","mir zu helfen.","Ma famille essaie vraiment de m'aider.","Mijn familie doet echt zijn best om mij te helpen.","Meine Familie versucht wirklich","mir zu helfen."
"SelfSupport","parent_survey_family","I get the emotional help & support I need from my family.","I get the emotional help & support I need from my family.","Recibo la ayuda y el apoyo emocional que necesito de mi familia.","Ich bekomme die emotionale Hilfe und Unterstützung","die ich brauche","von meiner Familie.","Je reçois l'aide émotionnelle & le soutien dont j'ai besoin de ma famille.","Ik krijg de emotionele hulp en steun die ik van mijn familie nodig heb.","Ich bekomme die emotionale Hilfe und Unterstützung"
"SelfSupport","parent_survey_family","I have a special person (ex: spouse","partner","etc.) who is a real source of comfort to me.","I have a special person (ex: spouse","partner","etc.) who is a real source of comfort to me.","Tengo una persona especial (cónyuge","pareja","etc.) que es una verdadera fuente de consuelo para mí."
"SelfSupport","parent_survey_family","My friends really try to help me.","My friends really try to help me.","Mis amigos realmente tratan de ayudarme.","Meine Freunde versuchen wirklich","mir zu helfen.","Mes amis essaient vraiment de m'aider.","Mijn vrienden proberen echt me te helpen.","Meine Freunde versuchen wirklich","mir zu helfen."
"SelfSupport","parent_survey_family","I can count on my friends when things go wrong.","I can count on my friends when things go wrong.","Puedo contar con mis amigos cuando las cosas van mal.","Ich kann auf meine Freunde zählen","wenn etwas schief läuft.","Je peux compter sur mes amis quand les choses tournent mal.","Ik kan op mijn vrienden rekenen als het misgaat.","Ich kann auf meine Freunde zählen","wenn etwas schief läuft."
"SelfSupport","parent_survey_family","I can talk about my problems with my family.","I can talk about my problems with my family.","Puedo hablar de mis problemas con mi familia.","Ich kann über meine Probleme mit meiner Familie sprechen.","Je peux parler de mes problèmes avec ma famille.","Ik kan mijn problemen met mijn familie bespreken.","Ich kann über meine Probleme mit meiner Familie sprechen.","Puedo hablar de mis problemas con mi familia.","Your family and you dey come to terms"
"SelfSupport","parent_survey_family","I have friends with whom I can share my joys and sorrows.","I have friends with whom I can share my joys and sorrows.","Tengo amigos con los que puedo compartir mis alegrías y mis penas.","Ich habe Freunde","mit denen ich meine Freuden und Sorgen teilen kann.","J'ai des amis avec qui je peux partager mes joies et mes peines.","Ik heb vrienden met wie ik mijn vreugde en verdriet kan delen.","Ich habe Freunde","mit denen ich meine Freuden und Sorgen teilen kann."
"SelfSupport","parent_survey_family","There is a special person (ex: spouse","partner","etc.) in my life who cares about my feelings.","There is a special person (ex: spouse","partner","etc.) in my life who cares about my feelings.","Hay una persona especial (cónyuge","pareja","etc.) en mi vida que se preocupa por mis sentimientos."
"SelfSupport","parent_survey_family","My family is willing to help me make decisions.","My family is willing to help me make decisions.","Mi familia está dispuesta a ayudarme a tomar decisiones.","Meine Familie ist bereit","mir bei Entscheidungsfindungen zu helfen.","Ma famille est prête à m'aider à prendre des décisions.","Mijn familie is bereid om me te helpen beslissingen te nemen.","Meine Familie ist bereit","mir bei Entscheidungsfindungen zu helfen."
