identifier,labels,de,de-CH,en-GH,en-US,es,es-AR,es-CO,fr-CA,nl,source
TeacherStudentsGenderBoys,teacher_survey_classroom,Anzahl,Anzahl,,,número de,número de,número de,nombre,aantal,number
TeacherStudentsGenderBoys,teacher_survey_classroom,Jungen,Jungen,Boys,Boys,Niños,Niños,Niños,Garçons,Jongens,Boys
TeacherStudentsGenderNonbinary,teacher_survey_classroom,Anzahl,Anzahl,,,número de,número de,número de,nombre,aantal,number
TeacherStudentsGenderNonbinary,teacher_survey_classroom,Nicht-binär,Nicht-binär,Nonbinary,Nonbinary,No binario,No binario,No binario,Non binaire,Niet-binair,Nonbinary
TeacherStudentsGenderOther,teacher_survey_classroom,Anzahl,Anzahl,,,número de,número de,número de,nombre,aantal,number
TeacherStudentsGenderOther,teacher_survey_classroom,Andere,Sonstige,Other,Other,Otro,Otro,Otro,Autre,Anders,Other
TeacherStudentsAges,teacher_survey_classroom,Wie viele Kinder in dieser Klasse haben zum heutigen Datum jedes der folgenden Altersstufen erreicht?,Wie viele Kinder in dieser Klasse haben zum heutigen Datum jedes der folgenden Altersstufen erreicht?,"As of today, how many children de each of these age levels inside this class?","As of today's date, how many children in this class are each of the following age levels?","A hoy, ¿cuántos niños(as) de este salón se ubican en los siguientes rangos de edad?","A hoy, ¿cuántos niños(as) de este salón se ubican en los siguientes rangos de edad?","A hoy, ¿cuántos niños(as) de este salón se ubican en los siguientes rangos de edad?","À la date d'aujourd'hui, combien d'enfants de cette classe ont chacun des niveaux d'âge suivants ?",Hoeveel kinderen van de volgende leeftijden zitten momenteel in deze klas?,"As of today's date, how many children in this class are each of the following age levels?"
TeacherStudentsAges5,teacher_survey_classroom,Anzahl,Anzahl,,,Número de niños(as),Número de niños(as),Número de niños(as),nombre,aantal,number
TeacherStudentsAges5,teacher_survey_classroom,5 Jahre alt oder jünger,5 Jahre alt oder jünger,5 years old or younger,5 years old or younger,5 años o menos,5 años o menos,5 años o menos,5 ans ou moins,5 jaar of jonger,5 years old or younger
TeacherStudentsAges6,teacher_survey_classroom,Anzahl,Anzahl,,,Número de niños(as),Número de niños(as),Número de niños(as),nombre,aantal,number
TeacherStudentsAges6,teacher_survey_classroom,6 Jahre alt,6 Jahre alt,6 years old,6 years old,6 años,6 años,6 años,6 ans,6 jaar,6 years old
TeacherStudentsAges7,teacher_survey_classroom,Anzahl,Anzahl,,,Número de niños(as),Número de niños(as),Número de niños(as),nombre,aantal,number
TeacherStudentsAges7,teacher_survey_classroom,7 Jahre alt,7 Jahre alt,7 years old,7 years old,7 años,7 años,7 años,7 ans,7 jaar,7 years old
TeacherStudentsAges8,teacher_survey_classroom,Anzahl,Anzahl,,,Número de niños(as),Número de niños(as),Número de niños(as),nombre,aantal,number
TeacherStudentsAges8,teacher_survey_classroom,8 Jahre alt,8 Jahre alt,8 years old,8 years old,8 años,8 años,8 años,8 ans,8 jaar oud,8 years old
TeacherStudentsAges9,teacher_survey_classroom,Anzahl,Anzahl,,,Número de niños(as),Número de niños(as),Número de niños(as),nombre,aantal,number
TeacherStudentsAges9,teacher_survey_classroom,9 Jahre alt,9 Jahre alt,9 years old,9 years old,9 años,9 años,9 años,9 ans,9 jaar oud,9 years old
TeacherStudentsAges10,teacher_survey_classroom,Anzahl,Anzahl,,,Número de niños(as),Número de niños(as),Número de niños(as),nombre,aantal,number
TeacherStudentsAges10,teacher_survey_classroom,10 Jahre alt,10 Jahre alt,10 years old,10 years old,10 años,10 años,10 años,10 ans,10 jaar oud,10 years old
TeacherStudentsAges11,teacher_survey_classroom,Anzahl,Anzahl,,,Número de niños(as),Número de niños(as),Número de niños(as),nombre,aantal,number
TeacherStudentsAges11,teacher_survey_classroom,11 Jahre alt,11 Jahre alt,11 years old,11 years old,11 años,11 años,11 años,11 ans,11 jaar oud,11 years old
TeacherStudentsAges12,teacher_survey_classroom,Anzahl,Anzahl,,,Número de niños(as),Número de niños(as),Número de niños(as),nombre,aantal,number
TeacherStudentsAges12,teacher_survey_classroom,12 Jahre alt,12 Jahre alt,12 years old,12 years old,12 años,12 años,12 años,12 ans,12 jaar oud,12 years old
TeacherStudentsAges13,teacher_survey_classroom,Anzahl,Anzahl,,,Número de niños(as),Número de niños(as),Número de niños(as),nombre,aantal,number
TeacherStudentsAges13,teacher_survey_classroom,13 Jahre alt oder älter,13 Jahre oder älter,13 years old or more,13 years old or older,13 años o más,13 años o más,13 años o más,13 ans ou plus,13 jaar of ouder,13 years old or older
TeacherMultigrade,teacher_survey_classroom,Unterrichten Sie derzeit eine Mehrstufenklasse?,Unterrichten Sie derzeit eine Mehrstufenklasse?,,,¿Enseña actualmente en un salón multigrado?,¿Enseña actualmente en un salón multigrado?,¿Enseña actualmente en un salón multigrado?,Enseignez-vous actuellement dans une classe multi-niveaux ?,Geeft u momenteel les in een multigrade klas?,Do you currently teach a multigrade class?
TeacherMultigrade,teacher_survey_classroom,Ja,Ja,,,Sí,Sí,Sí,Oui,Ja,Yes
TeacherMultigrade,teacher_survey_classroom,Nein,Nein,No,No,,No,No,Non,Nee,No
TeacherMultigradeLevels,teacher_survey_classroom,"Wenn ja, welche Klassenstufen sind in der Klasse, die Sie unterrichten, eingeschlossen? (Wählen Sie alle, die zutreffen)","Wenn ja, welche Klassenstufen sind in der Klasse, die Sie unterrichten, eingeschlossen? (Wählen Sie alle, die zutreffen)",,,"En caso afirmativo, ¿cuáles grados se encuentran el salón multigrado que enseña? (Marque todas las que procedan.)","En caso afirmativo, ¿cuáles grados se encuentran el salón multigrado que enseña? (Marque todas las que procedan.)","En caso afirmativo, ¿cuáles grados se encuentran el salón multigrado que enseña? (Marque todas las que procedan.)","Si oui, quels niveaux de classes sont inclus dans la classe que vous enseignez ? (sélectionnez tout ce qui s'applique)","Zo ja, welke leerjaren zijn inbegrepen in de klas die u geeft? (selecteer alles wat van toepassing is)","If yes, what grade levels are included in the class you teach? (select all that apply)"
TeacherMultigradeLevels,teacher_survey_classroom,Vorschule,Vorschule,,,Prejardín,Prejardín,Prejardín,Prématernelle,Voorschool,Prekindergarten
TeacherMultigradeLevels,teacher_survey_classroom,Übergangskindergarten,Übergangskindergarten,,,Transición o Grado cero,Transición o Grado cero,Transición o Grado cero,Maternelle de transition (ou de préparation),Transitie (of gereedheids) peuterklas,Transitional (or readiness) kindergarten
TeacherMultigradeLevels,teacher_survey_classroom,Kindergarten,Kindergarten,,,Jardín,Jardín,Jardín,Maternelle,Kleuterschool,Kindergarten
TeacherMultigradeLevels,teacher_survey_classroom,1. Klasse,1. Klasse,,,Primer grado,Primer grado,Primer grado,1ère année,1e leerjaar,1st Grade
TeacherMultigradeLevels,teacher_survey_classroom,2. Klasse,2. Klasse,,,Segundo grado,Segundo grado,Segundo grado,2ème année,2e leerjaar,2nd Grade
TeacherMultigradeLevels,teacher_survey_classroom,3. Klasse,3. Klasse,,,Tercer grado,Tercer grado,Tercer grado,3ème année,3e leerjaar,3rd Grade
TeacherMultigradeLevels,teacher_survey_classroom,4. Klasse,4. Klasse,,,Cuarto grado,Cuarto grado,Cuarto grado,4ème année,4e leerjaar,4th Grade
TeacherMultigradeLevels,teacher_survey_classroom,5. Klasse,5. Klasse,,,Quinto grado,Quinto grado,Quinto grado,5ème année,5e leerjaar,5th Grade
TeacherMultigradeLevels,teacher_survey_classroom,6. Klasse,6. Klasse,,,Sexto grado,Sexto grado,Sexto grado,6ème année,6e leerjaar,6th Grade
TeacherMultigradeLevels,teacher_survey_classroom,7. Klasse,7. Klasse,,,Séptimo grado,Séptimo grado,Séptimo grado,7ème année,7e leerjaar,7th Grade
TeacherMultigradeLevels,teacher_survey_classroom,8. Klasse,8. Klasse,8th Grade,8th Grade,Octavo grado,Octavo grado,Octavo grado,8ème année,8e leerjaar,8th Grade
TeacherGradeLevel,teacher_survey_classroom,Welche Klassenstufe unterrichten Sie?,Welche Klassenstufe unterrichten Sie?,Which grade level you dey teach?,What grade level do you teach?,¿En qué grado enseña?,¿En qué grado enseña?,¿En qué grado enseña?,Quel niveau scolaire enseignez-vous ?,In welk leerjaar geeft u les?,What grade level do you teach?
TeacherLanguageStudents,teacher_survey_classroom,"Welche Sprachen sprechen die Schüler in dieser Klasse (Wählen Sie alle, die zutreffen)?","Welche Sprachen sprechen die Schüler in dieser Klasse (Wählen Sie alle, die zutreffen)?",,,¿Qué idiomas hablan los(as) estudiantes en este salón de clase?,¿Qué idiomas hablan los(as) estudiantes en este salón de clase?,¿Qué idiomas hablan los(as) estudiantes en este salón de clase?,Quelles langues sont parlées par les élèves de cette classe (sélectionnez tout ce qui s'applique) ?,Welke talen worden er in deze klas door de studenten gesproken (selecteer alles wat van toepassing is)?,What languages are spoken by students in this class (select all that apply)?
TeacherLanguageStudents,teacher_survey_classroom,Arabisch,Arabisch,,,Árabe,Árabe,Árabe,Arabe,Arabisch,Arabic
TeacherLanguageStudents,teacher_survey_classroom,Chinesisch,Chinesisch,,,Chino,Chino,Chino,Chinois,Chinees,Chinese
TeacherLanguageStudents,teacher_survey_classroom,Englisch,Englisch,,,Inglés,Inglés,Inglés,Anglais,Engels,English
TeacherLanguageStudents,teacher_survey_classroom,Französisch,Französisch,,,Francés,Francés,Francés,Français,Frans,French
TeacherLanguageStudents,teacher_survey_classroom,Deutsch,Deutsch,,,Alemán,Alemán,Alemán,Allemand,Duits,German
TeacherLanguageStudents,teacher_survey_classroom,Koreanisch,Koreanisch,,,Coreano,Coreano,Coreano,Coréen,Koreaans,Korean
TeacherLanguageStudents,teacher_survey_classroom,Spanisch,Spanisch,,,Español,Español,Español,Espagnol,Spaans,Spanish
TeacherLanguageStudents,teacher_survey_classroom,Tagalog,Tagalog,,,Tagalo,Tagalo,Tagalo,Tagalog,Tagalog,Tagalog
TeacherLanguageStudents,teacher_survey_classroom,Vietnamesisch,Vietnamesisch,Vietnamese,Vietnamese,Vietnamita,Vietnamita,Vietnamita,Vietnamien,Vietnamees,Vietnamese
TeacherLanguageTeachers,teacher_survey_classroom,"Welche Sprachen sprechen Sie oder Ihr Assistenzlehrer <b>im Unterricht</b> (Wählen Sie alle, die zutreffen)?","Welche Sprachen sprechen Sie oder Ihr Assistenzlehrer <b>im Unterricht</b> (Wählen Sie alle, die zutreffen)?",Which languages you or your assistant teacher dey speak <b>for the classroom</b> (select all wey fit)?,What languages do you or your assistant teacher speak <b>in the classroom</b> (select all that apply)?,¿Qué idiomas hablan usted o su docente asistente <b>en el aula de clase?</b>,¿Qué idiomas hablan usted o su docente asistente <b>en el aula de clase?</b>,¿Qué idiomas hablan usted o su docente asistente <b>en el aula de clase?</b>,Quelles langues parlez-vous ou votre professeur assistant <b>en classe</b> (sélectionnez tout ce qui s'applique) ?,Welke talen spreken u of uw assistent-docent <b>in de klas</b> (selecteer alles wat van toepassing is)?,What languages do you or your assistant teacher speak <b>in the classroom</b> (select all that apply)?
TeacherReadingBelow,teacher_survey_classroom,"Wie viele Kinder in dieser Klasse haben ein Lesetempo, das UNTER dem Klassenniveau liegt?","Wie viele Kinder in dieser Klasse haben ein Lesetempo, das UNTER dem Klassenniveau liegt?",,,¿Cuántos niños(as) de este salón tienen un nivel de lectura POR DEBAJO del grado que cursan?,¿Cuántos niños(as) de este salón tienen un nivel de lectura POR DEBAJO del grado que cursan?,¿Cuántos niños(as) de este salón tienen un nivel de lectura POR DEBAJO del grado que cursan?,Environ combien d'enfants dans cette classe sont en DESSOUS du niveau scolaire en ce qui concerne leurs compétences en lecture ?,Hoeveel kinderen in deze klas hebben een leesniveau ONDER hun leerjaar?,About how many children in this classroom are BELOW grade level in their reading skills?
TeacherReadingBelow,teacher_survey_classroom,Anzahl der Kinder,Anzahl der Kinder,number of children,number of children,Número de niños(as),Número de niños(as),Número de niños(as),nombre d'enfants,aantal kinderen,number of children
TeacherReadingAbove,teacher_survey_classroom,"Wie viele Kinder in dieser Klasse haben ein Lesetempo, das ÜBER dem Klassenniveau liegt?","Wie viele Kinder in dieser Klasse haben ein Lesetempo, das ÜBER dem Klassenniveau liegt?",,,¿Cuántos niños(as) de este salón tienen un nivel de lectura POR ENCIMA del grado que cursan?,¿Cuántos niños(as) de este salón tienen un nivel de lectura POR ENCIMA del grado que cursan?,¿Cuántos niños(as) de este salón tienen un nivel de lectura POR ENCIMA del grado que cursan?,Environ combien d'enfants dans cette classe sont AU-DESSUS du niveau scolaire en ce qui concerne leurs compétences en lecture ?,Hoeveel kinderen in deze klas hebben een leesniveau BOVEN hun leerjaar?,About how many children in this classroom are ABOVE grade level in their reading skills?
TeacherReadingAbove,teacher_survey_classroom,Anzahl der Kinder,Anzahl der Kinder,number of children,number of children,Número de niños(as),Número de niños(as),Número de niños(as),nombre d'enfants,aantal kinderen,number of children
TeacherMathBelow,teacher_survey_classroom,"Wie viele Kinder in dieser Klasse haben ein Mathematikniveau, das UNTER dem Klassenniveau liegt?","Wie viele Kinder in dieser Klasse haben ein Mathematikniveau, das UNTER dem Klassenniveau liegt?",,,¿Cuántos niños(as) de este salón tienen un nivel en matemáticas POR DEBAJO del grado que cursan?,¿Cuántos niños(as) de este salón tienen un nivel en matemáticas POR DEBAJO del grado que cursan?,¿Cuántos niños(as) de este salón tienen un nivel en matemáticas POR DEBAJO del grado que cursan?,Environ combien d'enfants dans cette classe sont en DESSOUS du niveau scolaire en ce qui concerne leurs compétences en mathématiques ?,Hoeveel kinderen in deze klas hebben een wiskundeniveau ONDER hun leerjaar?,About how many children in this classroom are BELOW grade level in their math skills?
TeacherMathBelow,teacher_survey_classroom,Anzahl der Kinder,Anzahl der Kinder,number of children,number of children,Número de niños(as),Número de niños(as),Número de niños(as),nombre d'enfants,aantal kinderen,number of children
TeacherMathAbove,teacher_survey_classroom,"Wie viele Kinder in dieser Klasse haben ein Mathematikniveau, das ÜBER dem Klassenniveau liegt?","Wie viele Kinder in dieser Klasse haben ein Mathematikniveau, das ÜBER dem Klassenniveau liegt?",,,¿Cuántos niños(as) de este salón tienen un nivel en matemáticas POR ENCIMA del grado que cursan?,¿Cuántos niños(as) de este salón tienen un nivel en matemáticas POR ENCIMA del grado que cursan?,¿Cuántos niños(as) de este salón tienen un nivel en matemáticas POR ENCIMA del grado que cursan?,Environ combien d'enfants dans cette classe sont AU-DESSUS du niveau scolaire en ce qui concerne leurs compétences en mathématiques ?,Hoeveel kinderen in deze klas hebben een wiskundeniveau BOVEN hun leerjaar?,About how many children in this classroom are ABOVE grade level in their math skills?
TeacherMathAbove,teacher_survey_classroom,Anzahl der Kinder,Anzahl der Kinder,number of children,number of children,Número de niños(as),Número de niños(as),Número de niños(as),nombre d'enfants,aantal kinderen,number of children
TeacherReadingFrequency,teacher_survey_classroom,"Wie oft pro Woche arbeiten die Kinder in dieser Klasse normalerweise an Lese- und Sprachprojekten, sei es in der gesamten Klasse, in kleinen Gruppen oder in individueller Arbeit?","Wie oft pro Woche arbeiten die Kinder in dieser Klasse normalerweise an Lese- und Sprachprojekten, sei es in der gesamten Klasse, in kleinen Gruppen oder in individueller Arbeit?",,,"¿Cuántas veces por semana suelen trabajar los estudiantes de esta clase en lecciones o proyectos de lectura, lenguaje y literatura, ya sea en sesión plenaria, grupos pequeños o individualmente?","¿Cuántas veces por semana suelen trabajar los estudiantes de esta clase en lecciones o proyectos de lectura, lenguaje y literatura, ya sea en sesión plenaria, grupos pequeños o individualmente?","¿Cuántas veces por semana suelen trabajar los estudiantes de esta clase en lecciones o proyectos de lectura, lenguaje y literatura, ya sea en sesión plenaria, grupos pequeños o individualmente?","Combien de fois par semaine les enfants de cette classe travaillent-ils habituellement sur des leçons ou des projets en lecture et langage, que ce soit en classe entière, en petits groupes ou en arrangements individualisés ?","Hoe vaak per week werken kinderen in deze klas meestal aan lessen of projecten voor Lezen en Taalvakken, hetzij klassikaal, in kleine groepen, of individueel?","How often each week do children in this class usually work on lessons or projects in Reading and Language Arts, whether as a whole class, in small groups, or in individualized arrangements ?"
TeacherReadingFrequency,teacher_survey_classroom,,,,,Nunca,,,,,
TeacherReadingFrequency,teacher_survey_classroom,Weniger als einmal pro Woche,Weniger als einmal pro Woche,,,Menos de una vez por semana,Menos de una vez por semana,Menos de una vez por semana,Moins d'une fois par semaine,Minder dan één keer per week,Less than once per week
TeacherReadingFrequency,teacher_survey_classroom,1 - 2 Mal pro Woche,1 - 2 Mal pro Woche,,,1 a 2 veces por semana,1 a 2 veces por semana,1 a 2 veces por semana,1 - 2 fois par semaine,1-2 keer per week,1 -2 times per week
TeacherReadingFrequency,teacher_survey_classroom,3 - 4 Mal pro Woche,3 - 4 Mal pro Woche,,,3 a 4 veces por semana,3 a 4 veces por semana,3 a 4 veces por semana,3 - 4 fois par semaine,3-4 keer per week,3 - 4 times per week
TeacherReadingFrequency,teacher_survey_classroom,,,,,Nunca,,,,,
TeacherReadingTime,teacher_survey_classroom,"Wie viel Zeit pro Tag verbringen die Kinder in dieser Klasse normalerweise damit, an Lese- und Sprachprojekten zu arbeiten, sei es in der gesamten Klasse, in kleinen Gruppen oder in individueller Arbeit?","Wie viel Zeit pro Tag verbringen die Kinder in dieser Klasse normalerweise damit, an Lese- und Sprachprojekten zu arbeiten, sei es in der gesamten Klasse, in kleinen Gruppen oder in individueller Arbeit?",,,"¿Cuánto tiempo diario dedican trabajar los estudiantes de esta clase en lecciones o proyectos de lectura, lenguaje y literatura, ya sea en sesión plenaria, grupos pequeños o individualmente?","¿Cuánto tiempo diario dedican trabajar los estudiantes de esta clase en lecciones o proyectos de lectura, lenguaje y literatura, ya sea en sesión plenaria, grupos pequeños o individualmente?","¿Cuánto tiempo diario dedican trabajar los estudiantes de esta clase en lecciones o proyectos de lectura, lenguaje y literatura, ya sea en sesión plenaria, grupos pequeños o individualmente?","Combien de temps par jour les enfants de cette classe travaillent-ils habituellement sur des leçons ou des projets en lecture et langage, que ce soit en classe entière, en petits groupes ou en arrangements individualisés ?","Hoeveel tijd per dag werken kinderen in deze klas meestal aan lessen of projecten voor Lezen en Taalvakken, hetzij klassikaal, in kleine groepen, of individueel?","How much time per day do children in this class usually work on lessons or projects in Reading and Language Arts, whether as a whole class, in small groups, or in individualized arrangements?"
TeacherReadingTime,teacher_survey_classroom,1 - 30 Minuten pro Tag,1 - 30 Minuten am Tag,,,1 a 30 minutos al día,1 a 30 minutos al día,1 a 30 minutos al día,1 - 30 minutes par jour,1-30 minuten per dag,1 - 30 minutes a day
TeacherReadingTime,teacher_survey_classroom,31 - 60 Minuten pro Tag,31 - 60 Minuten am Tag,,,31 a 60 minutos al día,31 a 60 minutos al día,31 a 60 minutos al día,31 - 60 minutes par jour,31-60 minuten per dag,31 - 60 minutes a day
TeacherReadingTime,teacher_survey_classroom,61 - 90 Minuten pro Tag,61 - 90 Minuten am Tag,,,61 a 90 minutos al día,61 a 90 minutos al día,61 a 90 minutos al día,61 - 90 minutes par jour,61-90 minuten per dag,61 - 90 minutes a day
TeacherReadingTime,teacher_survey_classroom,Mehr als 90 Minuten pro Tag,Mehr als 90 Minuten am Tag,More than 90 minutes a day,More than 90 minutes a day,Más de 90 minutos al día,Más de 90 minutos al día,Más de 90 minutos al día,Plus de 90 minutes par jour,Meer dan 90 minuten per dag,More than 90 minutes a day
