identifier,labels,de,de_ch,en,es,es_ar,es_co,fr_ca,nl
TeacherEducation,teacher_survey_general,Welchen höchstmöglichen Bildungsabschluss haben Sie abgeschlossen?,Welchen höchstmöglichen Bildungsabschluss haben Sie abgeschlossen?,What is the highest level of education you have completed?,¿Cuál es el nivel más alto de estudios que ha completado?,¿Cuál es el nivel más alto de estudios que ha completado?,¿Cuál es el nivel más alto de estudios que ha completado?,Quel est le plus haut niveau de formation que vous avez terminé ?,Wat is het hoogste opleidingsniveau dat u hebt voltooid?
TeacherEducation,teacher_survey_general,Hauptschulabschluss,Hauptschulabschluss,Less than high school,Primaria o bachillerato incompleto,Primaria o bachillerato incompleto,Primaria o bachillerato incompleto,Moins que le secondaire,Minder dan middelbare school
TeacherEducation,teacher_survey_general,Abitur oder gleichwertig,Abitur oder gleichwertig,GED or High school equivalency,Grado de bachiller o validación del bachillerato académico,Grado de bachiller o validación del bachillerato académico,Grado de bachiller o validación del bachillerato académico,Équivalence du secondaire ou diplôme de lycée,VWO of middelbaar schooldiploma (equivalent)
TeacherEducation,teacher_survey_general,Ausbildung,Ausbildung,Some college but no degree,"Inició estudios universitarios, pero no se ha graduado","Inició estudios universitarios, pero no se ha graduado","Inició estudios universitarios, pero no se ha graduado",Certaines études collégiales mais sans diplôme,Een beetje hogere school maar zonder diploma
TeacherEducation,teacher_survey_general,"Abitur oder gleichwertig, plus Fachausbildung oder Zertifikat","Abitur oder gleichwertig, plus Fachausbildung oder Zertifikat","High school diploma or equivalent, plus technical training or certificate",Grado de bachillerato técnico,Grado de bachillerato técnico,Grado de bachillerato técnico,"Diplôme de lycée ou équivalent, plus formation technique ou certificat","Middelbare school diploma of equivalent, plus technische training of certificaat"
TeacherEducation,teacher_survey_general,allgemeine oder fachgebundene Hochschulreife,allgemeine oder fachgebundene Hochschulreife,Associate's degree,Grado de programa técnico o tecnólogo,Grado de programa técnico o tecnólogo,Grado de programa técnico o tecnólogo,Diplôme d’associé,Associatiediploma
TeacherEducation,teacher_survey_general,Bachelorabschluss,Bachelorabschluss,Bachelor's degree,Grado de programa de pregrado,Grado de programa de pregrado,Grado de programa de pregrado,Baccalauréat,Bachelordiploma
TeacherEducation,teacher_survey_general,Masterabschluss,Masterabschluss,Master's degree,Grado de programa de maestría,Grado de programa de maestría,Grado de programa de maestría,Maîtrise,Masterdiploma
TeacherEducation,teacher_survey_general,Doktorgrad,Doktorgrad,Doctoral degree,Grado de programa de doctorado,Grado de programa de doctorado,Grado de programa de doctorado,Doctorat,Doctorale graad
TeacherUndergrad,teacher_survey_general,"Geben Sie Ihr Bachelor-Studienfach an. Markieren Sie ALLES, was zutrifft.","Geben Sie Ihr Bachelor-Studienfach an. Markieren Sie ALLES, was zutrifft.",Indicate your undergraduate field of study. Mark ALL that apply.,Indique su área de estudios en la licenciatura o el pregrado. Marque TODAS las que procedan.,Indique su área de estudios en la licenciatura o el pregrado. Marque TODAS las que procedan.,Indique su área de estudios en la licenciatura o el pregrado. Marque TODAS las que procedan.,Indiquez votre domaine de premier cycle. Cochez TOUTES les cases qui s'appliquent.,Geef uw bachelorstudierichting aan. Markeer ALLE die van toepassing zijn.
TeacherUndergrad,teacher_survey_general,Frühkindliche Bildung,Frühkindliche Bildung,Early childhood education,Educación de la primera infancia,Educación de la primera infancia,Educación de la primera infancia,Éducation de la petite enfance,Vroegkinderlijke educatie
TeacherUndergrad,teacher_survey_general,Grundschulpädagogik,Grundschulpädagogik,Elementary education,Educación primaria,Educación primaria,Educación primaria,Éducation élémentaire,Basisonderwijs
TeacherUndergrad,teacher_survey_general,Sonderpädagogik,Sonderpädagogik,Special education,Educación especial,Educación especial,Educación especial,Éducation spécialisée,Speciaal onderwijs
TeacherUndergrad,teacher_survey_general,Kindheitsentwicklung,Kindheitsentwicklung,Child development,Desarrollo infantil,Desarrollo infantil,Desarrollo infantil,Développement de l'enfant,Kinderontwikkeling
TeacherUndergrad,teacher_survey_general,Lese- und Schreibspezialist,Lese- und Schreibspezialist,Reading specialist,Especialista en lectoescritura,Especialista en lectoescritura,Especialista en lectoescritura,Spécialiste de la lecture,Leesspecialist
TeacherUndergrad,teacher_survey_general,Lehrplan und Unterricht,Lehrplan und Unterricht,Curriculum and instruction,Currículo y enseñanza,Currículo y enseñanza,Currículo y enseñanza,Curriculum et didactique,Curriculum en instructie
TeacherUndergrad,teacher_survey_general,Bilinguale/interkulturelle Bildung,Bilinguale/interkulturelle Bildung,Bilingual/bicultural education,Educación bilingüe y multicultural,Educación bilingüe y multicultural,Educación bilingüe y multicultural,Éducation bilingue/multiculturelle,Tweetalig/multicultureel onderwijs
TeacherUndergrad,teacher_survey_general,,,"Other education related major (ex: secondary education, educational psychology, education administration, music education, etc.). Please specify:","Otra especialidad de educación (p. ej.: Educación secundaria, Psicología educativa, Administración educativa, Educación musical, etc.). Especifique:",,,,
TeacherUndergrad,teacher_survey_general,Nicht-Bildung Hauptfächer. Bitte angeben:,Nicht-Bildung Hauptfächer. Bitte angeben:,Non-education major. Please specify:,Carrera o especialidad no educativa. Especifique:,Carrera o especialidad no educativa. Especifique:,Carrera o especialidad no educativa. Especifique:,Spécialité non liée à l'éducation. Veuillez spécifier :,Niet-onderwijsgerelateerde hoofdvak. Gelieve te specificeren:
TeacherUndergrad,teacher_survey_general,Andere. Bitte angeben:,Andere. Bitte angeben:,Other. Please specify:,Otra. Especifique:,Otra. Especifique:,Otra. Especifique:,Autre. Veuillez spécifier :,Andere. Gelieve te specificeren:
TeacherUndergradOtherEd,teacher_survey_general,Bitte geben Sie ein anderes bildungsrelevantes Hauptfach an:,Bitte geben Sie ein anderes bildungsrelevantes Hauptfach an:,Please specify other education related major:,Especifique otra especialidad relacionada con la educación:,Especifique otra especialidad relacionada con la educación:,Especifique otra especialidad relacionada con la educación:,Veuillez spécifier une autre spécialité liée à l'éducation :,Specificeer andere onderwijsgerelateerde hoofdrichting:
TeacherUndergradNonEd,teacher_survey_general,Bitte geben Sie das nicht-bildungsrelevante Hauptfach an:,Bitte geben Sie das nicht-bildungsrelevante Hauptfach an:,Please specify non-education major:,Especifique alguna especialidad no educativa:,Especifique alguna especialidad no educativa:,Especifique alguna especialidad no educativa:,Veuillez spécifier une spécialité non liée à l'éducation :,Specificeer niet-onderwijsgerelateerde hoofdrichting:
TeacherUndergradOther,teacher_survey_general,Bitte spezifizieren Sie ein anderes Hauptfach:,Bitte spezifizieren Sie ein anderes Hauptfach:,Please specify other major:,Especifique otra especialidad:,Especifique otra especialidad:,Especifique otra especialidad:,Veuillez spécifier une autre spécialité :,Specificeer andere hoofdrichting:
TeacherGrad,teacher_survey_general,"Geben Sie das Hauptfach Ihres höchsten akademischen Abschlusses an. Markieren Sie alles, was zutrifft.","Geben Sie das Hauptfach Ihres höchsten akademischen Abschlusses an. Markieren Sie alles, was zutrifft.",Indicate the major field of study of your highest graduate degree. Mark ALL that apply.,Indique el área de estudios del grado más alto obtenido por usted.  Marque TODAS las que procedan.,Indique el área de estudios del grado más alto obtenido por usted.  Marque TODAS las que procedan.,Indique el área de estudios del grado más alto obtenido por usted.  Marque TODAS las que procedan.,Indiquez le domaine de votre diplôme de deuxième cycle le plus élevé. Cochez TOUTES les cases qui s'appliquent.,Geef het belangrijkste studierichtingsgebied van uw hoogste graad aan. Markeer ALLE die van toepassing zijn.
TeacherGrad,teacher_survey_general,Frühkindliche Bildung,Frühkindliche Bildung,Early childhood education,Educación de la primera infancia,Educación de la primera infancia,Educación de la primera infancia,Éducation de la petite enfance,Vroegkinderlijke educatie
TeacherGrad,teacher_survey_general,Grundschulpädagogik,Grundschulpädagogik,Elementary education,Educación primaria,Educación primaria,Educación primaria,Éducation élémentaire,Basisonderwijs
TeacherGrad,teacher_survey_general,Sonderpädagogik,Sonderpädagogik,Special education,Educación especial,Educación especial,Educación especial,Éducation spécialisée,Speciaal onderwijs
TeacherGrad,teacher_survey_general,Kindheitsentwicklung,Kindheitsentwicklung,Child development,Desarrollo infantil,Desarrollo infantil,Desarrollo infantil,Développement de l'enfant,Kinderontwikkeling
TeacherGrad,teacher_survey_general,Lese- und Schreibspezialist,Lese- und Schreibspezialist,Reading specialist,Especialista en lectoescritura,Especialista en lectoescritura,Especialista en lectoescritura,Spécialiste de la lecture,Leesspecialist
TeacherGrad,teacher_survey_general,Lehrplan und Unterricht,Lehrplan und Unterricht,Curriculum and instruction,Currículo y enseñanza,Currículo y enseñanza,Currículo y enseñanza,Curriculum et didactique,Curriculum en instructie
TeacherGrad,teacher_survey_general,Bilinguale/interkulturelle Bildung,Bilinguale/interkulturelle Bildung,Bilingual/bicultural education,Educación bilingüe y multicultural,Educación bilingüe y multicultural,Educación bilingüe y multicultural,Éducation bilingue/multiculturelle,Tweetalig/multicultureel onderwijs
TeacherGrad,teacher_survey_general,,,"Other education related major (ex: secondary education, educational psychology, education administration, music education, etc.). Please specify:","Otra especialidad de educación (p. ej.: Educación secundaria, Psicología educativa, Administración educativa, Educación musical, etc.). Especifique:",,,,
TeacherGrad,teacher_survey_general,Nicht-Bildung Hauptfächer. Bitte angeben:,Nicht-Bildung Hauptfächer. Bitte angeben:,Non-education major. Please specify:,Carrera o especialidad no educativa. Especifique:,Carrera o especialidad no educativa. Especifique:,Carrera o especialidad no educativa. Especifique:,Spécialité non liée à l'éducation. Veuillez spécifier :,Niet-onderwijsgerelateerde hoofdvak. Gelieve te specificeren:
TeacherGrad,teacher_survey_general,Andere. Bitte angeben:,Andere. Bitte angeben:,Other. Please specify:,Otra. Especifique:,Otra. Especifique:,Otra. Especifique:,Autre. Veuillez spécifier :,Andere. Gelieve te specificeren:
TeacherGradOtherEd,teacher_survey_general,Bitte geben Sie ein anderes bildungsrelevantes Hauptfach an:,Bitte geben Sie ein anderes bildungsrelevantes Hauptfach an:,Please specify other education related major:,Especifique otra especialidad relacionada con la educación:,Especifique otra especialidad relacionada con la educación:,Especifique otra especialidad relacionada con la educación:,Veuillez spécifier une autre spécialité liée à l'éducation :,Specificeer andere onderwijsgerelateerde hoofdrichting:
TeacherGradNonEd,teacher_survey_general,Bitte geben Sie das nicht-bildungsrelevante Hauptfach an:,Bitte geben Sie das nicht-bildungsrelevante Hauptfach an:,Please specify non-education major:,Especifique alguna especialidad no educativa:,Especifique alguna especialidad no educativa:,Especifique alguna especialidad no educativa:,Veuillez spécifier une spécialité non liée à l'éducation :,Specificeer niet-onderwijsgerelateerde hoofdrichting:
TeacherGradOther,teacher_survey_general,Bitte spezifizieren Sie ein anderes Hauptfach:,Bitte spezifizieren Sie ein anderes Hauptfach:,Please specify other major:,Especifique otra especialidad:,Especifique otra especialidad:,Especifique otra especialidad:,Veuillez spécifier une autre spécialité :,Specificeer andere hoofdrichting:
TeacherYears,teacher_survey_general,Wie lange sind Sie einschließlich dieses Schuljahres bereits als Lehrer tätig? (bitte auf das nächste Jahr aufrunden),Wie lange sind Sie einschließlich dieses Schuljahres bereits als Lehrer tätig? (bitte auf das nächste Jahr aufrunden),"Counting this school year, how many years have you been a schoolteacher? (please round to the nearest year)","Contando este año escolar, ¿durante cuántos años ha sido docente escolar? (por favor redondee hacia arriba al calcular al medio año )","Contando este año escolar, ¿durante cuántos años ha sido docente escolar? (por favor redondee hacia arriba al calcular al medio año)","Contando este año escolar, ¿durante cuántos años ha sido docente escolar? (por favor redondee hacia arriba al calcular al medio año)","En comptant cette année scolaire, combien d'années avez-vous été enseignant(e) scolaire ? (veuillez arrondir à l'année la plus proche)","Inclusief dit schooljaar, hoeveel jaar bent u al schooldocent? (afronden op het dichtstbijzijnde jaar)"
TeacherYears,teacher_survey_general,Weniger als ein Jahr,Weniger als ein Jahr,Less than one year,Menos de un año,Menos de un año,Menos de un año,Moins d'un an,Minder dan een jaar
TeacherYears,teacher_survey_general,1 bis 2 Jahre,1 bis 2 Jahre,1 to 2 years,1 a 2 años,1 a 2 años,1 a 2 años,1 à 2 ans,1 tot 2 jaar
TeacherYears,teacher_survey_general,3 bis 5 Jahre,3 bis 5 Jahre,3 to 5 years,3 a 5 años,3 a 5 años,3 a 5 años,3 à 5 ans,3 tot 5 jaar
TeacherYears,teacher_survey_general,6 bis 10 Jahre,6 bis 10 Jahre,6 to 10 years,6 a 10 años,6 a 10 años,6 a 10 años,6 à 10 ans,6 tot 10 jaar
TeacherYears,teacher_survey_general,Mehr als 10 Jahre,Über 10 Jahre,Over 10 years,Más de 10 años,Más de 10 años,Más de 10 años,Plus de 10 ans,Meer dan 10 jaar
TeacherSchool,teacher_survey_general,"<b>Dieses Set von Fragen bezieht sich auf die Schule, an der Sie derzeit unterrichten.</b>","<b>Dieses Set von Fragen bezieht sich auf die Schule, an der Sie derzeit unterrichten.</b>",<b>This set of questions asks about the school where you currently teach.</b>,<b>Este grupo de preguntas indaga por el colegio en el que enseña actualmente.</b>,<b>Este grupo de preguntas indaga por el colegio en el que enseña actualmente.</b>,<b>Este grupo de preguntas indaga por el colegio en el que enseña actualmente.</b>,<b>Cet ensemble de questions porte sur l'école où vous enseignez actuellement.</b>,<b>Deze set van vragen richt zich op de school waar u momenteel lesgeeft.</b>
TeacherYearsSchool,teacher_survey_general,"Zählen Sie dieses Schuljahr mit, wie lange lehren Sie <b>an dieser Schule</b>? (bitte auf das nächste Jahr aufrunden)","Zählen Sie dieses Schuljahr mit, wie lange lehren Sie <b>an dieser Schule</b>? (bitte auf das nächste Jahr aufrunden)","Counting this school year, how many years have you been teaching <b>at this school</b>? (please round to the nearest year)","Contando este año escolar, ¿durante cuántos años ha sido docente escolar <b>en este colegio</b>?","Contando este año escolar, ¿durante cuántos años ha sido docente escolar <b>en este colegio</b>?","Contando este año escolar, ¿durante cuántos años ha sido docente escolar <b>en este colegio</b>?","En comptant cette année scolaire, combien d'années avez-vous enseigné <b>dans cette école</b> ? (veuillez arrondir à l'année la plus proche)","Inclusief dit schooljaar, hoeveel jaar bent u docent <b>op deze school</b>? (afronden op het dichtstbijzijnde jaar)"
TeacherClimateItems,teacher_survey_general,"Bitte geben Sie an, wie sehr Sie den folgenden Aussagen über diese Schule zustimmen oder widersprechen.","Bitte geben Sie an, wie sehr Sie den folgenden Aussagen über diese Schule zustimmen oder widersprechen.",Please indicate how much you agree or disagree with the following statements about this school.,"Por favor, indique en qué medida está de acuerdo o en desacuerdo con las siguientes afirmaciones sobre este colegio.","Por favor, indique en qué medida está de acuerdo o en desacuerdo con las siguientes afirmaciones sobre este colegio.","Por favor, indique en qué medida está de acuerdo o en desacuerdo con las siguientes afirmaciones sobre este colegio.",Veuillez indiquer dans quelle mesure vous êtes d'accord ou non avec les affirmations suivantes concernant cette école.,Gelieve aan te geven in hoeverre u het eens of oneens bent met de volgende uitspraken over deze school.
TeacherClimateItems,teacher_survey_general,Stark ablehnen,Stark ablehnen,Strongly Disagree,Completamente en desacuerdo,Completamente en desacuerdo,Completamente en desacuerdo,Fortement en désaccord,Sterk mee oneens
TeacherClimateItems,teacher_survey_general,Nicht einverstanden,Nicht einverstanden,Disagree,En desacuerdo,En desacuerdo,En desacuerdo,En désaccord,Oneens
TeacherClimateItems,teacher_survey_general,Einverstanden,Einverstanden,Agree,De acuerdo,De acuerdo,De acuerdo,D'accord,Eens
TeacherClimateItems,teacher_survey_general,Stark zustimmen,Stark zustimmen,Strongly Agree,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Fortement d'accord,Sterk mee eens
TeacherClimateItems,teacher_survey_general,Ich fühle mich von den meisten Mitarbeitern als Kollege akzeptiert und respektiert.,Ich fühle mich von den meisten Mitarbeitern als Kollege akzeptiert und respektiert.,I feel accepted and respected as a colleague by most staff members.,Me siento aceptado y respetado como colega por la mayoría de los miembros del personal.,Me siento aceptado y respetado como colega por la mayoría de los miembros del personal.,Me siento aceptado y respetado como colega por la mayoría de los miembros del personal.,Je me sens accepté(e) et respecté(e) en tant que collègue par la plupart des membres du personnel.,Ik voel me geaccepteerd en gerespecteerd als collega door de meeste personeelsleden.
TeacherClimateItems,teacher_survey_general,Eltern unterstützen das Schulpersonal.,Eltern unterstützen das Schulpersonal.,Parents are supportive of school staff.,Los padres apoyan al personal del colegio.,Los padres apoyan al personal del colegio.,Los padres apoyan al personal del colegio.,Les parents soutiennent le personnel de l'école.,Ouders steunen het schoolpersoneel.
TeacherClimateItems,teacher_survey_general,Die Schüler fühlen sich in dieser Schule unterstützt und wohl.,Die Schüler fühlen sich in dieser Schule unterstützt und wohl.,Students feel supported and comfortable in this school.,Los alumnos se sienten apoyados y a gusto en este colegio.,Los alumnos se sienten apoyados y a gusto en este colegio.,Los alumnos se sienten apoyados y a gusto en este colegio.,Les élèves se sentent soutenus et à l'aise dans cette école.,Leerlingen voelen zich ondersteund en op hun gemak op deze school.
TeacherClimateItems,teacher_survey_general,Das Personal fühlt sich in dieser Schule unterstützt und wohl.,Das Personal fühlt sich in dieser Schule unterstützt und wohl.,Staff feel supported and comfortable in this school.,El personal se siente apoyado y a gusto en este colegio.,El personal se siente apoyado y a gusto en este colegio.,El personal se siente apoyado y a gusto en este colegio.,Le personnel se sent soutenu et à l'aise dans cette école.,Het personeel voelt zich ondersteund en op hun gemak op deze school.
TeacherClimateItems,teacher_survey_general,Die Schüler sind in dieser Schule sicher.,Die Schüler sind in dieser Schule sicher.,Students are safe when here at this school.,Los alumnos están seguros cuando están en este colegio.,Los alumnos están seguros cuando están en este colegio.,Los alumnos están seguros cuando están en este colegio.,Les élèves sont en sécurité lorsqu'ils viennent à cette école.,Leerlingen zijn veilig wanneer ze op deze school zijn.
TeacherClimateItems,teacher_survey_general,Das Personal ist in dieser Schule sicher.,Das Personal ist in dieser Schule sicher.,Staff are safe when here at this school.,El personal está seguro cuando está en este colegio.,El personal está seguro cuando está en este colegio.,El personal está seguro cuando está en este colegio.,Le personnel est en sécurité lorsqu'il vient à cette école.,Het personeel is veilig wanneer ze op deze school zijn.
TeacherClimateItems,teacher_survey_general,Die Einrichtungen und das Gelände dieser Schule sind gut gepflegt.,Die Einrichtungen und das Gelände dieser Schule sind gut gepflegt.,The facilities and property of this school are kept up well.,Las instalaciones y la propiedad de este colegio están bien mantenidos.,Las instalaciones y la propiedad de este colegio están bien mantenidos.,Las instalaciones y la propiedad de este colegio están bien mantenidos.,Les installations et la propriété de cette école sont bien entretenues.,De faciliteiten en het eigendom van deze school worden goed onderhouden.
