identifier,labels,source,en-US,de,de_CH,es,es_AR,es_CO,fr,fr_CA,nl,en,es-CO,fr-CA,de-CH,es-AR,en-GH
HomeFoodSkipMealAmount,parent_survey_family,Only 1 or 2 months,Only 1 or 2 months,Nur in 1 oder 2 Monaten,Nur in 1 oder 2 Monaten,Solo 1 ó 2 meses,Solo 1 ó 2 meses,Solo 1 ó 2 meses,Seulement 1 ou 2 mois,Seulement 1 ou 2 mois,Slechts in 1 of 2 maanden,Only 1 or 2 months,Solo 1 ó 2 meses,Seulement 1 ou 2 mois,Nur in 1 oder 2 Monaten,Solo 1 ó 2 meses,Only 1 or 2 months
HomeCHAOS,parent_survey_family,Below are statements about the environment in your home. Please indicate how much you agree that the statement is true of your home.,Below are statements about the environment in your home. Please indicate how much you agree that the statement is true of your home.,"Im Folgenden finden Sie Aussagen über die häusliche Umgebung. Bitte geben Sie an, inwieweit Sie der Aussage zustimmen, dass sie auf Ihr Zuhause zutrifft.","Im Folgenden finden Sie Aussagen über die häusliche Umgebung. Bitte geben Sie an, inwieweit Sie der Aussage zustimmen, dass sie auf Ihr Zuhause zutrifft.",A continuación encontrará una serie de afirmaciones sobre el entorno de su hogar. Indique qué tan cierta es cada afirmación para su hogar.,A continuación encontrará una serie de afirmaciones sobre el entorno de su hogar. Indique qué tan cierta es cada afirmación para su hogar.,A continuación encontrará una serie de afirmaciones sobre el entorno de su hogar. Indique qué tan cierta es cada afirmación para su hogar.,Voici des déclarations sur l'environnement dans votre maison. Veuillez indiquer dans quelle mesure vous êtes d'accord que la déclaration est vraie pour votre maison.,Voici des déclarations sur l'environnement dans votre maison. Veuillez indiquer dans quelle mesure vous êtes d'accord que la déclaration est vraie pour votre maison.,Hieronder staan uitspraken over de omgeving in uw huis. Geef aan in hoeverre u het ermee eens bent dat de uitspraak waar is voor uw huis.,Below are statements about the environment in your home. Please indicate how much you agree that the statement is true of your home.,A continuación encontrará una serie de afirmaciones sobre el entorno de su hogar. Indique qué tan cierta es cada afirmación para su hogar.,Voici des déclarations sur l'environnement dans votre maison. Veuillez indiquer dans quelle mesure vous êtes d'accord que la déclaration est vraie pour votre maison.,"Im Folgenden finden Sie Aussagen über die häusliche Umgebung. Bitte geben Sie an, inwieweit Sie der Aussage zustimmen, dass sie auf Ihr Zuhause zutrifft.",A continuación encontrará una serie de afirmaciones sobre el entorno de su hogar. Indique qué tan cierta es cada afirmación para su hogar.,Below be things for your house wey make am up. Kindly show how you dey feel about them.
HomeCHAOS4,parent_survey_family,Definitely True,Definitely True,Definitiv wahr,Definitiv wahr,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,Totalement vrai,Totalement vrai,Zeker waar,Definitely True,Totalmente verdadero,Totalement vrai,Definitiv wahr,Totalmente verdadero,Truly True
HomeCHAOS10,parent_survey_family,Definitely True,Definitely True,Definitiv wahr,Definitiv wahr,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,Totalement vrai,Totalement vrai,Zeker waar,Definitely True,Totalmente verdadero,Totalement vrai,Definitiv wahr,Totalmente verdadero,Truly True
HomeCHAOS14,parent_survey_family,Definitely True,Definitely True,Definitiv wahr,Definitiv wahr,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,Totalement vrai,Totalement vrai,Zeker waar,Definitely True,Totalmente verdadero,Totalement vrai,Definitiv wahr,Totalmente verdadero,Truly True
HomeCHAOS15,parent_survey_family,Definitely True,Definitely True,Definitiv wahr,Definitiv wahr,Totalmente verdadero,Totalmente verdadero,Totalmente verdadero,Totalement vrai,Totalement vrai,Zeker waar,Definitely True,Totalmente verdadero,Totalement vrai,Definitiv wahr,Totalmente verdadero,Truly True
SelfParentStressNSCHh8,parent_survey_family,Not well at all,Not well at all,Überhaupt nicht gut,Überhaupt nicht gut,Muy mal,Muy mal,Muy mal,Pas du tout bien,Pas du tout bien,Helemaal niet goed,Not well at all,Muy mal,Pas du tout bien,Überhaupt nicht gut,Muy mal,Not good one bit
SelfAnxDep,parent_survey_family,Little interest or pleasure in doing things,Little interest or pleasure in doing things,Wenig Interesse oder Freude am Tun,Wenig Interesse oder Freude am Tun,Poco interés o placer por hacer cosas,Poco interés o placer por hacer cosas,Poco interés o placer por hacer cosas,Peu d'intérêt ou de plaisir à faire des choses,Peu d'intérêt ou de plaisir à faire des choses,Weinig interesse of plezier hebben in dingen doen,Little interest or pleasure in doing things,Poco interés o placer por hacer cosas,Peu d'intérêt ou de plaisir à faire des choses,Wenig Interesse oder Freude am Tun,Poco interés o placer por hacer cosas,Little interest or joy dey things you used to love
SelfSupport,parent_survey_family,I can talk about my problems with my friends.,I can talk about my problems with my friends.,Ich kann mit meinen Freunden über meine Probleme sprechen.,Ich kann mit meinen Freunden über meine Probleme sprechen.,Puedo hablar de mis problemas con mis amigos.,Puedo hablar de mis problemas con mis amigos.,Puedo hablar de mis problemas con mis amigos.,Je peux parler de mes problèmes avec mes amis.,Je peux parler de mes problèmes avec mes amis.,Ik kan over mijn problemen praten met mijn vrienden.,I can talk about my problems with my friends.,Puedo hablar de mis problemas con mis amigos.,Je peux parler de mes problèmes avec mes amis.,Ich kann mit meinen Freunden über meine Probleme sprechen.,Puedo hablar de mis problemas con mis amigos.,"For problems wey you get, you fit share them within your friend circle."
SelfDiscrim,parent_survey_family,You are threatened or harassed.,You are threatened or harassed.,Sie werden bedroht oder belästigt.,Sie werden bedroht oder belästigt.,Le amenazan o acosan.,Le amenazan o acosan.,Le amenazan o acosan.,Vous êtes menacé ou harcelé.,Vous êtes menacé ou harcelé.,U wordt bedreigd of lastiggevallen.,You are threatened or harassed.,Le amenazan o acosan.,Vous êtes menacé ou harcelé.,Sie werden bedroht oder belästigt.,Le amenazan o acosan.,You dey threatened or dey thrown into harassing situations.
SelfLifeChanges,parent_survey_family,Please select Yes or No to indicate whether each event has happened to you <b>in the past year</b>.,Please select Yes or No to indicate whether each event has happened to you <b>in the past year</b>.,"Bitte wählen Sie Ja oderNein, um anzugeben, ob Ihnen das jeweilige Ereignis im vergangenen Jahr widerfahren ist.","Bitte wählen Sie Ja oder Nein, um anzugeben, ob Ihnen das jeweilige Ereignis im vergangenen Jahr widerfahren ist.",Indique con Sí o No si le ha sucedido alguna de las siguientes cosas <b>en el último año</b>.,Indique con Sí o No si le ha sucedido alguna de las siguientes cosas <b>en el último año</b>.,Indique con Sí o No si le ha sucedido alguna de las siguientes cosas <b>en el último año</b>.,Veuillez sélectionner Oui ou Non pour indiquer si chaque événement vous est arrivé <b>l'année passée</b>.,Veuillez sélectionner Oui ou Non pour indiquer si chaque événement vous est arrivé <b>l'année passée</b>.,Selecteer Ja of Nee om aan te geven of elk evenement u is overkomen <b>in het afgelopen jaar</b>.,Please select Yes or No to indicate whether each event has happened to you <b>in the past year</b>.,Indique con Sí o No si le ha sucedido alguna de las siguientes cosas <b>en el último año</b>.,Veuillez sélectionner Oui ou Non pour indiquer si chaque événement vous est arrivé <b>l'année passée</b>.,"Bitte wählen Sie Ja oder Nein, um anzugeben, ob Ihnen das jeweilige Ereignis im vergangenen Jahr widerfahren ist.",Indique con Sí o No si le ha sucedido alguna de las siguientes cosas <b>en el último año</b>.,Do indicate through Yes or No whether each thing relate to your list of events for <b>last year</b>.
SelfLifeChangesHealth,parent_survey_family,Health:,Health:,Gesundheit:,Gesundheit:,Salud:,Salud:,Salud:,Santé :,Santé :,Gezondheid:,Health:,Salud:,Santé :,Gesundheit:,Salud:,Health:
SelfLifeChanges1,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges2,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges3,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges4,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges5,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges6,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChangesWork,parent_survey_family,Work:,Work:,Arbeit:,Arbeit:,Trabajo:,Trabajo:,Trabajo:,Travail :,Travail :,Werk:,Work:,Trabajo:,Travail :,Arbeit:,Trabajo:,Work:
SelfLifeChanges7,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges8,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges9,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges10,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges11,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges12,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges13,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges14,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges15,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges16,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges17,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges18,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges19,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges20,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges21,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges22,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChangesHome,parent_survey_family,Home and Family:,Home and Family:,Haus und Familie:,Haus und Familie:,Hogar y Familia:,Hogar y Familia:,Hogar y Familia:,Maison et Famille :,Maison et Famille :,Thuis en familie:,Home and Family:,Hogar y Familia:,Maison et Famille :,Haus und Familie:,Hogar y Familia:,Home and Family:
SelfLifeChanges23,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges24,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges25,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges26,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges27,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges28,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges29,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges31,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges32,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges33,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges34,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges35,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges36,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges37,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges38,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges39,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges40,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges41,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges42,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges43,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges44,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges45,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges46,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges47,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges48,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges49,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChangesPersonal,parent_survey_family,Personal and Social:,Personal and Social:,Persönlich und sozial:,Persönlich und sozial:,Personal y Social:,Personal y Social:,Personal y Social:,Personnel et Social :,Personnel et Social :,Persoonlijk en Sociaal:,Personal and Social:,Personal y Social:,Personnel et Social :,Persönlich und sozial:,Personal y Social:,Personal and Social:
SelfLifeChanges50,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges51,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges52,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges53,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges54,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges55,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges56,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges57,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges58,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges59,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges61,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges62,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges63,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges65,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges66,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges67,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChangesFinancial,parent_survey_family,Financial:,Financial:,Finanzen:,Finanzen:,Financiera:,Financiera:,Financiera:,Financier :,Financier :,Financieel:,Financial:,Financiera:,Financier :,Finanzen:,Financiera:,Finance:
SelfLifeChanges68,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges69,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges70,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges71,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges72,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges73,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
SelfLifeChanges74,parent_survey_family,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
