identifier,translation
ChildBehBoys,Rarely
ChildBehBoys,Sometimes
ChildBehBoys,Often
ChildBehBoys,Always
ChildBeBoy,"Over the last year, how frequently did your child state that they are, or want to be, a boy?"
ChildBeBoy,Never
ChildBeBoy,Rarely
ChildBeBoy,Sometimes
ChildBeBoy,Often
ChildBeBoy,Always
ChildPubertyYN,Has your child begun to show signs of puberty (even if very early)?
ChildPubertyYN,Yes
ChildPubertyYN,No
ChildPubertyFemale,"For each question, please select the answer that best describes what is happening to your child right now."
ChildPubertyGrowthFemale,Would you say that your child's growth in height (getting taller):
ChildPubertyGrowthFemale,Has not yet begun to spurt (spurt means more growth than usual)
ChildPubertyGrowthFemale,Has barely started to spurt
ChildPubertyGrowthFemale,Has definitely started to happen but is not finished
ChildPubertyGrowthFemale,Seems completed (child is about as tall as she is going to get)
ChildPubertyHairFemale,How about the growth of body hair (e.g. under arms)? Would you say your child's body hair:
ChildPubertyHairFemale,Has not started growing
ChildPubertyHairFemale,Has barely started growing
ChildPubertyHairFemale,Has definitely started growing but is not finished
ChildPubertyHairFemale,Seems completed (child has as much body hair as she is going to get)
ChildPubertySkinFemale,"Have you noticed any skin changes, especially pimples?"
ChildPubertySkinFemale,Not yet started showing changes
ChildPubertySkinFemale,Have barely started showing changes
ChildPubertySkinFemale,Skin changes have definitely started but are not finished
ChildPubertySkinFemale,Skin changes seem completed
ChildPubertyBreastFemale,Have your child's breasts begun to grow?
ChildPubertyBreastFemale,Not yet started growing
ChildPubertyBreastFemale,Have barely started growing
ChildPubertyBreastFemale,Breast growth has definitely started but is not finished
ChildPubertyBreastFemale,Breast growth seems completed
ChildPubertyMenstruate,Has your child begun to menstruate?
ChildPubertyMenstruate,Yes
ChildPubertyMenstruate,No
ChildPubertyMenstruateAge,"If yes, how old was your child when she first got her period?"
ChildPubertyMenstruateAge,years of age
ChildPubertyMale,"For each question, please select the answer that best describes what is happening to your child right now."
ChildPubertyGrowthMale,Would you say that your child's growth in height (getting taller):
ChildPubertyGrowthMale,Has not yet begun to spurt (spurt means more growth than usual)
ChildPubertyGrowthMale,Has barely started to spurt
ChildPubertyGrowthMale,Has definitely started to happen but is not finished
ChildPubertyGrowthMale,Seems completed (child is about as tall as she is going to get)
ChildPubertyHairMale,How about the growth of body hair (e.g. under arms)? Would you say your child's body hair:
ChildPubertyHairMale,Has not started growing
ChildPubertyHairMale,Has barely started growing
ChildPubertyHairMale,Has definitely started growing but is not finished
ChildPubertyHairMale,Seems completed (child has as much body hair as she is going to get)
ChildPubertySkinMale,"Have you noticed any skin changes, especially pimples?"
ChildPubertySkinMale,Not yet started showing changes
ChildPubertySkinMale,Have barely started showing changes
ChildPubertySkinMale,Skin changes have definitely started but are not finished
ChildPubertySkinMale,Skin changes seem completed
ChildPubertyVoiceMale,Has your child's voice started to change?
ChildPubertyVoiceMale,Not yet started to change
ChildPubertyVoiceMale,Has barely started changing
ChildPubertyVoiceMale,Voice change is definitely happening but is not finished
ChildPubertyVoiceMale,Voice change seems completed
ChildPubertyFaceHairMale,Has your child started to grow facial hair (beard or mustache)?
ChildPubertyFaceHairMale,Not yet started growing facial hair
ChildPubertyFaceHairMale,Has barely started growing facial hair
ChildPubertyFaceHairMale,Hair growth has definitely started (enough to shave)
ChildPubertyFaceHairMale,Probably grows now as fast as it will ever grow
ChildSleep,Please respond to each statement about your child's sleep habits.
ChildSleepHabits,In the <b>past 7 days</b>....
ChildSleepHabits,Rarely (0-1 times per week)
ChildSleepHabits,Sometimes (2-4 times per week)
ChildSleepHabits,Usually (5 or more times per week)
ChildSleepHabits,Your child had a hard time falling asleep (did not fall asleep within 20 minutes of going to bed).
ChildSleepHabits,Your child had difficulty sleeping through the night (woke up once or more during the night).
ChildSleepHabits,Your child went to bed at about the same time on the weeknights (Monday-Friday).
ChildSleepHours,"<b>DURING THE PAST WEEK</b>, about how many hours of sleep per night did your child usually get on the weeknights (Monday-Friday)?"
ChildSleepHours,Less than 6 hours
ChildSleepHours,6 hours
ChildSleepHours,7 hours
ChildSleepHours,8 hours
ChildSleepHours,9 hours
ChildSleepHours,10 hours
ChildSleepHours,11 hours or more
CaregiverSectionIntro2,<block><b><font face=Verdana size=4>This section asks about your child's behavior and social interaction.
ChildSDQitems,"For each item, please mark Not at all, Not very well, Somewhat well, or Very well to indicate <i>how well</i> the sentence applies to your child. Please answer all items as best you can even if you are not absolutely certain."
ChildSDQitems,Not at all
ChildSDQitems,Not very well
ChildSDQitems,Somewhat well
ChildSDQitems,Very well
ChildSDQitems,Your child has difficulty staying still or shows periods of over-activity.
ChildSDQitems,"Your child often complains about feeling sick (ex: headache, stomach ache)."
ChildSDQitems,Your child avoids others or prefers to spend time alone.
ChildSDQitems,Your child is often worried or anxious.
ChildSDQitems,You child frequently fidgets.
ChildSDQitems,Your child has one (or more) good friends.
ChildSDQitems,"You child often seems sad, depressed, or down."
ChildSDQitems,Your child gets along with other children.
ChildSDQitems,Your child gets distracted easily or has trouble staying on task.
ChildSDQitems,Your child is shy or clingy.
ChildSDQitems,Your child treats younger children nicely.
ChildSDQitems,"Your child often shows dishonest behavior (e.g. lying, cheating)."
ChildSDQitems,"Your child has taken things without permission from home, school, or elsewhere."
ChildSDQitems,Your child prefers adults to children.
ChildSDQitems,Your child is often nervous or fearful.
ChildSCSitems,Please indicate <i>how well</i> each statement describes your child.
ChildSCSitems,Not at all
ChildSCSitems,Not very well
ChildSCSitems,Somewhat well
ChildSCSitems,Very well
ChildSCSitems,Your child accepts things when they do not go their way.
ChildSCSitems,Your child copes well with failure.
ChildSCSitems,Your child thinks before acting.
ChildSCSitems,Your child resolves problems with friends on their own.
ChildSCSitems,Your child can calm down when excited.
ChildSCSitems,Your child does what they are told to do.
ChildSCSitems,Your child is good at understanding others' feelings.
ChildSCSitems,Your child controls their temper when there is a disagreement.
ChildSCSitems,Your child shares things with others.
ChildSCSitems,Your child is helpful to others.
ChildSCSitems,Your child listens to others' points of view.
ChildSCSitems,Your child can give suggestions without being bossy.
ChildCBQitems,Please indicate <i>how well</i> each statement describes your child.
ChildCBQitems,Not at all
ChildCBQitems,Not very well
ChildCBQitems,Somewhat well
ChildCBQitems,Very well
ChildCBQitems,Your child understands others' feelings.
ChildCBQitems,Your child is socially aware of what is happening in a situation.
ChildCBQitems,Your child accurately interprets what a peer is trying to do.
ChildCBQitems,Your child exhibits good self-control in responding.
ChildCBQitems,Your child generates <i>many</i> solutions to interpersonal problems.
ChildCBQitems,Your child generates <i>good quality</i> solutions to interpersonal problems.
ChildCBQitems,Your child is aware of the effects of his/her behavior on others.
ChildCBQitems,Your child tries to make sad people happier.
ChildCBQitems,Your child helps others with their homework.
ChildCBQitems,Your child lets others use her/his toys or items.
ChildJukesItems,Please indicate <i>how well</i> each statement describes your child.
ChildJukesItems,Not at all
ChildJukesItems,Not very well
ChildJukesItems,Somewhat well
ChildJukesItems,Very well
ChildJukesItems,Your child is curious to investigate and understand new things.
ChildJukesItems,Your child is able to make observations and deductions before being told an answer.
ChildJukesItems,Your child gives unique responses that go beyond those of other children.
ChildJukesItems,Your child often wants to learn new things.
ChildJukesItems,Your child investigates new objects that appear in the household or community spaces.
ChildJukesItems,Your child likes to ask many questions.
ChildJukesItems,"If your child makes a mistake, they ask forgiveness."
ChildJukesItems,Your child often plans their own tasks well.
ChildJukesItems,Your child completes their own work without being asked or reminded to do so.
ChildJukesItems,Your child works diligently when trying to complete tasks or chores.
ChildJukesItems,"If your child cannot do something, they try again."
ChildJukesItems,Your child likes to finish tasks properly.
ChildJukesItems,Your child is slow and unhurried in deciding what to do next.
ChildJukesItems,Your child continues with a task even when it is tiring.
ChildJukesItems,Your child easily agrees to do tasks or errands.
ChildJukesItems,Your child willingly follows instructions.
ChildJukesItems,"When your child is directed to complete a task, they do it enthusiastically."
ChildJukesItems,"When your child is sent to complete an errand, they return on time. (if this item does not apply to your child, please leave it blank)"
ChildJukesItems,"If your child is told to do a chore, they do it."
ChildJukesItems,Your child is respectful towards adults.
ChildFriends,"Compared to other children their age, how much difficulty does your child have making or keeping friends?"
ChildFriends,No difficulty
ChildFriends,A little difficulty
ChildFriends,A lot of difficulty
ChildBullied,"DURING THE <b>PAST 12 MONTHS</b>, how often was your child bullied, picked on, or excluded by other children? If the frequency changed throughout the year, report the highest frequency."
ChildBullied,Never (in the past 12 months)
ChildBullied,1 - 2 times (in the past 12 months)
ChildBullied,1 - 2 times per month
ChildBullied,1 - 2 times per week
ChildBullied,Almost every day
ChildBullyOthers,"DURING THE <b>PAST 12 MONTHS</b>, how often did your child bully others, pick on them, or exclude them? If the frequency changed throughout the year, report the highest frequency."
ChildBullyOthers,Never (in the past 12 months)
ChildBullyOthers,1 - 2 times (in the past 12 months)
ChildBullyOthers,1 - 2 times per month
ChildBullyOthers,1 - 2 times per week
ChildBullyOthers,Almost every day
CaregiverSectionIntro3,<block><b><font face=Verdana size=4>This section asks questions related to learning.
ChildELSitems,"If your child is in primary/elementary school (first grade or higher), think about the time before they started primary/elementary school. If your child has not yet started primary/elementary school, think about what happens right now."
<br><br>,
<b>How often did/do you or someone else in your home do the following activities with your child?</b>,
ChildELSitems,Never or almost never
ChildELSitems,Sometimes
ChildELSitems,Often
ChildELSitems,Read books
ChildELSitems,Tell stories
ChildELSitems,Sing songs
ChildELSitems,"Play with alphabet toys (e.g., blocks with letters of the alphabet)"
ChildELSitems,Talk about things you had done
ChildELSitems,Talk about what you had read
ChildELSitems,Play word games
ChildELSitems,Write letters or words
ChildELSitems,Read aloud signs and labels
ChildELSitems,Say counting rhymes or sing counting songs
ChildELSitems,"Play with number toys (e.g., blocks with numbers)"
ChildELSitems,Count different things
ChildELSitems,"Play games involving shapes (e.g., shape sorting toys, puzzles)"
ChildELSitems,Play with building blocks or construction toys
ChildELSitems,Play board or card games
ChildELSitems,Write numbers
ChildELSitems,Draw shapes
ChildELSitems,"Measure or weigh things (e.g., when cooking)"
ChildAttendEC,Did your child attend an early childhood education program or center for children <b>under age 3</b> before first grade?
ChildAttendEC,Yes
ChildAttendEC,No
ChildAttendKinder,"Did your child attend a pre-primary educational program for children <b>age 3 or older</b>, <i>including kindergarten</i>, before first grade?"
ChildAttendKinder,Yes
ChildAttendKinder,No
ChildAttendECKinderTime,Approximately how long was your child in these programs <i>all together</i> (before first grade)?
ChildAttendECKinderTime,Did not attend
ChildAttendECKinderTime,Less than 1 year
ChildAttendECKinderTime,1 year
ChildAttendECKinderTime,2 years
ChildAttendECKinderTime,3 years
ChildAttendECKinderTime,4 years or more
ChildAttendPrimaryAge,How old was your child when he/she began the first grade of primary/elementary school?
ChildAttendPrimaryAge,5 years old or younger
ChildAttendPrimaryAge,6 years old
ChildAttendPrimaryAge,7 years old
ChildAttendPrimaryAge,8 years old or older
ChildEdAchieve,How far in his/her education do you expect your child to go?
ChildEdAchieve,Less than high school
ChildEdAchieve,GED or high school equivalency
ChildEdAchieve,Some college but no degree
ChildEdAchieve,High school diploma (or equivalent) plus technical training or certificate
ChildEdAchieve,Associate's degree
ChildEdAchieve,Bachelor's degree
ChildEdAchieve,Master's degree
ChildEdAchieve,Doctoral degree
ChildSchoolItems,How often does your child do the following:
ChildSchoolItems,Never
ChildSchoolItems,Sometimes
ChildSchoolItems,Usually
ChildSchoolItems,Always
ChildSchoolItems,Show interest and curiosity in new topics at school?
ChildSchoolItems,Work to finish school-related tasks they start?
ChildSchoolItems,Stay calm and in control when faced with an academic challenge?
ChildSchoolItems,Care about doing well in school?
ChildSchoolItems,Do all required homework?
ChildDeviceUse,"<b>ON MOST WEEKDAYS</b> (Monday-Friday), about how much time does your child spend in front of a TV, computer, cellphone, or other device watching programs, playing games, accessing the internet, or using social media? <i>Do not include time spent doing schoolwork.</i>"
ChildDeviceUse,Less than 1 hour
ChildDeviceUse,1 hour
ChildDeviceUse,2 hours
ChildDeviceUse,3 hours
ChildDeviceUse,4 or more hours
ChildPhone,Does your child have a smartphone?
ChildPhone,Yes
ChildPhone,No
ChildPhoneAge,"If yes, at what age did they get it?"
ChildPhoneAge,years of age
ChildSocialMedia,"Does your child have an account on any social media website such as Instagram, Tiktok, Meta, or others?"
ChildSocialMedia,Yes
ChildSocialMedia,No
ChildEFQintro,"<b>We are interested how often, independently, and easily your child shows each behavior when occasions call for it. Children who excel at a specific behavior should receive 4 (the highest rating), whereas most children will be between 3 and 2. Those who are still developing and need a lot of support should receive a rating of 1. </b><br><br><b>4</b> = Always on their own (No support needed)<br><br>"
ChildEFQ1,<b>Pays attention when an adult is explaining or showing something<b/> (by listening carefully and/or watching with appropriate eye gaze/body orientation).
ChildEFQ1,(4) Always on their own (No support needed)
ChildEFQ1,(3) Mostly on their own (Brief reminders or support)
ChildEFQ1,(2) Sometimes on their own (Regular reminders or moderate support needed)
ChildEFQ1,(1) Not able on their own (Requires a lot of support)
ChildEFQ7,"<b>Ignores irrelevant activity/noise</b> (e.g., crying sibling, TV, outside traffic) <b>when working on an assigned task.</b>"
ChildEFQ12,"<b>Waits turn to speak</b> (e.g., does not interrupt others, does not blurt out answers, thinks before speaking)."
ChildEFQ17,"<b>Completes activities that require multiple steps</b> (e.g., fetching multiple things in home or store/market, setting the table, cleaning a room by putting several things away)."
ChildEFQ23,"<b>Comes up with new ways for solving challenges</b> (e.g., repurposes materials or toys, comes up with a new way to build a tower or fort after it collapses, solves a puzzle in a new way, comes up with a new strategy to complete a chore)."
ChildEFQ29,"<b>Identifies and gathers necessary materials before an activity</b> (e.g., finds appropriate coat, shoes, hat before going outside; gathers lunch box, homework, and backpack before going to school)."
ChildEFQ2,"<b>Finishes an assigned task that is repetitive</b> (e.g., picking up toys, putting away laundry)."
ChildEFQ8,<b>Completes an assigned task before moving to a next task.</b>
ChildEFQ13,"<b>Stops an undesirable behavior when asked</b> (e.g., stops fighting with sibling when asked by parent, stops misbehaving in the household)."
ChildEFQ18,"<b>Completes activities that require remembering lengthy instructions</b> (e.g., rules of a game, household chores, cooking recipe)."
ChildEFQ24,"<b>Expresses themselves in a new way when not understood by others</b> (e.g., tries different ways to communicate their needs and wants)."
ChildEFQ30,"<b>Creates a strategy or plan for completing a task</b> (e.g., chore, homework, puzzle)."
ChildEFQ3,"<b>Remains focused and engaged during lengthy adult-led activities</b> (e.g., religious or performance event, family meal time) <b>by listening carefully and contributing when appropriate.</b>"
ChildEFQ9,"<b>Regains focus/focuses again on an assigned task when interrupted</b> (e.g., family member asks an unrelated question or needs brief assistance)."
ChildEFQ14,"<b>Stops playing or doing something fun when asked</b> (e.g., stops playing with friends when parent asks, stops watching TV when parent asks)."
ChildEFQ19,"<b>Communicates in an organized way</b> (e.g., retells the correct sequence of the events, explains how a game works so it is easy to understand)."
ChildEFQ25,"<b>Adjusts when plans/schedules change</b> (e.g., follows along when daily schedule changes, does not complain when unexpected sickness leads to canceling a family vacation)."
ChildEFQ31,"<b>Finishes tasks on time</b> (e.g., finishes homework on time and not at the last minute)."
ChildEFQ4,"<b>Remains focused and engaged during collaborative child-led activities</b> (e.g., playing with siblings/peers)."
ChildEFQ10,"<b>Ignores a preferred, fun activity</b> (e.g., playing) <b>when asked to complete an assigned task</b> (e.g., cleaning room)."
ChildEFQ15,"<b>Waits for their turn to act</b> (e.g., waits patiently in line at a grocery store or when sharing a toy with sibling)."
ChildEFQ20,"<b>Completes age-appropriate numerical mental calculation</b> (e.g., adds prices of goods, calculates time, how much they are older than someone else)."
ChildEFQ26,"<b>Understands conflicting perspectives/ideas</b> (e.g., acknowledges a different point of view, accepts different ways of doing things, can see a situation from someone else’s perspective)."
ChildEFQ32,"<b>Checks for mistakes before completing a task</b> (e.g., reviews and corrects errors on class assignments)."
ChildEFQ5,"<b>Persists on a difficult cognitive/learning task</b> (e.g., homework) <b>by trying to figure things out, asking questions, and not quitting.</b>"
ChildEFQ11,<b>Answers questions or tells a story without getting distracted by small details and/or losing train of thought.</b>
ChildEFQ16,"<b>Stops and thinks before acting</b> (e.g., does not run out in front of a car, does not grab things they shouldn't)."
ChildEFQ21,"<b>Remembers and considers all options when making a choice</b> (e.g., what to do when they get stuck on a household task or face a problem, food options)."
ChildEFQ27,"<b>Connects ideas/experiences to other ideas/experiences</b> (e.g., identifies connections between books/movies and lived experiences, uses strategies learned at school to complete activities at home)."
ChildEFQ33,"<b>Begins plans or routines without prompting</b> (e.g., takes an initiative to help a family member, starts daily household chores on their own)."
ChildEFQ6,"<b>Gets deeply engaged in an activity they choose for themselves</b> (e.g., drawing, reading, cooking, building, sports, games)."
ChildEFQ22,"<b>Remembers physical directions, patterns, and where things are</b> (e.g., knows walking routes, finds things in a grocery store, good at searching for a lost item or playing hide-and-seek)."
ChildEFQ28,"<b>Adapts behavior based on what is required by the situation</b> (e.g., switches characters/roles while playing a game, changes behavior based on playtime or study time)."
ChildEFQ34,"<b>Negotiates and incorporates peers' suggestions without conflict or resistance</b> (e.g., works with others to plan roles during pretend play, negotiates with sibling about how to complete chores together)."
CaregiverSectionIntro4,<block><b><font face=Verdana size=4>This section asks about your home environment.
HomeHOME1,About how many children's books are in your home?
HomeHOME1,None
HomeHOME1,20 or more
HomeHOME2,How often does your child eat a meal with family members?
HomeHOME2,More than once a day
HomeHOME2,Once a day
HomeHOME2,Several times a week
HomeHOME2,Once a week
HomeHOME2,Once a month or less
HomeHOME2,Never
HomeHOME3,About how many hours is the TV on in your house each day?
HomeHOME3,hours per day
HomeHOME4,Does your family have reliable access to the internet?
HomeHOME4,Yes
HomeHOME4,No
HomeHOME5,How often does your whole family get together with relatives or friends?
HomeHOME5,Once a week or more
HomeHOME5,Two or three times a month
HomeHOME5,Once a month
HomeHOME5,A few times a year
HomeHOME5,Once a year or less
HomeHOME6,How often does your child spend time with you or another adult in your home doing outdoor activities?
HomeHOME6,Once a day or more often
HomeHOME6,At least four times a week
HomeHOME6,Once a week
HomeHOME6,Once a month
HomeHOME6,A few times a year or less
HomeHOME6,Never
HomeHOME7,How often do you or another adult in your home get a chance to read stories to your child?
HomeHOME7,Every day
HomeHOME7,About 3 times a week
HomeHOME7,Once a week
HomeHOME7,Several times a month
HomeHOME7,Several times a year
HomeHOME7,Never
HomeHOME9,How often do you or another adult in your home take your child to the grocery store?
HomeHOME9,Twice a week or more
HomeHOME9,Once a week
HomeHOME9,Once a month
HomeHOME9,Hardly ever
HomeHOME15,Does your child have access to a tablet or smartphone that they regularly use to watch videos or listen to music?
HomeHOME15,Yes
HomeHOME15,No
HomeHOME23,Does your family have a computer that your child has access to?
HomeHOME23,Yes
HomeHOME23,No
HomeHOME22,"How often has any family member taken or arranged to take your child to any type of museum (children's, scientific, art, historical, etc.) in the past year?"
HomeHOME22,About once a week or more
HomeHOME22,About once a month or more
HomeHOME22,Several times
HomeHOME22,Once or twice
HomeHOME22,Never
HomeHOME24,"Sometimes children get so angry at their parents that they say things like I hate you or swear in a temper tantrum. If your child said something like I hate you or swore at you, would you..."
HomeHOME24a,Ground him/her
HomeHOME24a,Yes
HomeHOME24a,No
HomeHOME24b,Spank him/her
HomeHOME24b,Yes
HomeHOME24b,No
HomeHOME24c,Talk with him/her
HomeHOME24c,Yes
HomeHOME24c,No
