identifier,labels,de,de-CH,en-GH,en-US,es,es-AR,es-CO,fr,fr-CA,nl,source
ChildBornEarly,parent_survey_child,weiß nicht,weiß nicht,Don't know,Don't know,No sé,No sé,No sé,Je ne sais pas,Je ne sais pas,Weet ik niet,Don't know
ChildWeightBirth,parent_survey_child,"Wie viel hat ihr Kind bei der Geburt gewogen? (wenn Sie es nicht wissen, bitte leer lass)", bitte leer lass)", bitte leer lass)",,,"¿Cuánto pesó su niño(a) al nacer? (si no lo sabe, déjelo en blanco)","¿Cuánto pesó su niño(a) al nacer? (si no lo sabe, déjelo en blanco)","¿Cuánto pesó su niño(a) al nacer? (si no lo sabe, déjelo en blanco)","Quel était le poids de votre enfant à la naissance ? (si vous ne savez pas, laissez vide)","Quel était le poids de votre enfant à la naissance ? (si vous ne savez pas, laissez vide)","Hoeveel woog uw kind bij de geboorte? (als u het niet weet, laat het leeg)","How much did your child weigh at birth? (if you do not know, leave blank)"
ChildWeightBirth,parent_survey_child,Gramm,Gramm,Grams,Grams,Gramos,Gramos,Gramos,grammes,grammes,gram,Grams
ChildHealth,parent_survey_child,Wie würden Sie den Gesundheitszustand Ihres Kindes im Allgemeinen beschreiben?,Wie würden Sie den Gesundheitszustand Ihres Kindes im Allgemeinen beschreiben?,,,"En general, ¿cómo describiría la salud de su niño(a)?","En general, ¿cómo describiría la salud de su niño(a)?","En general, ¿cómo describiría la salud de su niño(a)?","En général, comment décririez-vous la santé de votre enfant?","En général, comment décririez-vous la santé de votre enfant?",Hoe zou u de gezondheid van uw kind over het algemeen beschrijven?,"In general, how would you describe your child's health?"
ChildHealth,parent_survey_child,Hervorragend,Hervorragend,,,Excelente,Excelente,Excelente,Excellente,Excellente,Uitstekend,Excellent
ChildHealth,parent_survey_child,Sehr gut,Sehr gut,,,Muy buena,Muy buena,Muy buena,Très bonne,Très bonne,Zeer goed,Very Good
ChildHealth,parent_survey_child,Gut,Gut,,,Buena,Buena,Buena,Bonne,Bonne,Goed,Good
ChildHealth,parent_survey_child,Mittelmäßig,Mittelmäßig,,,Regular,Regular,Regular,Passable,Passable,Gematigd,Fair
ChildHealth,parent_survey_child,Schlecht,Schlecht,Poor,Poor,Deficiente,Deficiente,Deficiente,Mauvaise,Mauvaise,Slecht,Poor
ChildTeeth,parent_survey_child,Wie würden Sie den Zustand der Zähne Ihres Kindes beschreiben?,Wie würden Sie den Zustand der Zähne Ihres Kindes beschreiben?,,,¿Cómo describiría la salud dental de su niño(a)?,¿Cómo describiría la salud dental de su niño(a)?,¿Cómo describiría la salud dental de su niño(a)?,Comment décririez-vous l'état des dents de votre enfant?,Comment décririez-vous l'état des dents de votre enfant?,Hoe zou u de staat van het gebit van uw kind beschrijven?,How would you describe the condition of your child's teeth?
ChildTeeth,parent_survey_child,Hervorragend,Hervorragend,,,Excelente,Excelente,Excelente,Excellente,Excellente,Uitstekend,Excellent
ChildTeeth,parent_survey_child,Sehr gut,Sehr gut,,,Muy buena,Muy buena,Muy buena,Très bonne,Très bonne,Zeer goed,Very Good
ChildTeeth,parent_survey_child,Gut,Gut,,,Buena,Buena,Buena,Bonne,Bonne,Goed,Good
ChildTeeth,parent_survey_child,Mittelmäßig,Mittelmäßig,,,Regular,Regular,Regular,Passable,Passable,Gematigd,Fair
ChildTeeth,parent_survey_child,Schlecht,Schlecht,Poor,Poor,Deficiente,Deficiente,Deficiente,Mauvaise,Mauvaise,Slecht,Poor
ChildPhysicalActivity,parent_survey_child,An wie vielen Tagen <b>WÄHREND DER LETZTEN WOCHE</b> hat Ihr Kind mindestens 60 Minuten lang Sport getrieben oder an körperlichen Aktivitäten teilgenommen (entweder in der Schule oder außerhalb der Schule)?,An wie vielen Tagen <b>WÄHREND DER LETZTEN WOCHE</b> hat Ihr Kind mindestens 60 Minuten lang Sport getrieben oder an körperlichen Aktivitäten teilgenommen (entweder in der Schule oder außerhalb der Schule)?,,,"<b>DURANTE LA SEMANA PASADA</b>, ¿cuántos días hizo su niño(a) ejercicio, practicó un deporte o participó en una actividad física en el colegio o fuera del colegio durante al menos 60 minutos?","<b>DURANTE LA SEMANA PASADA</b>, ¿cuántos días hizo su niño(a) ejercicio, practicó un deporte o participó en una actividad física en el colegio o fuera del colegio durante al menos 60 minutos?","<b>DURANTE LA SEMANA PASADA</b>, ¿cuántos días hizo su niño(a) ejercicio, practicó un deporte o participó en una actividad física en el colegio o fuera del colegio durante al menos 60 minutos?","<b>DURANT LA DERNIÈRE SEMAINE</b>, combien de jours votre enfant a-t-il fait de l'exercice, pratiqué un sport ou participé à une activité physique (en milieu scolaire ou non) pendant au moins 60 minutes ?","<b>DURANT LA DERNIÈRE SEMAINE</b>, combien de jours votre enfant a-t-il fait de l'exercice, pratiqué un sport ou participé à une activité physique (en milieu scolaire ou non) pendant au moins 60 minutes ?","<b>In DE AFGELOPEN WEEK</b>, op hoeveel dagen heeft uw kind gesport, een sport beoefend of deelgenomen aan een fysieke activiteit (op school of daarbuiten) gedurende ten minste 60 minuten?","<b>DURING THE PAST WEEK</b>, on how many days did your child exercise, play a sport, or participate in physical activity (either in school or outside of school) for at least 60 minutes?"
ChildPhysicalActivity,parent_survey_child,0 Tage,0 Tage,,,0 días,0 días,0 días,0 jour,0 jour,0 dagen,0 days
ChildPhysicalActivity,parent_survey_child,1 - 3 Tage,1 - 3 Tage,,,1 - 3 días,1 - 3 días,1 - 3 días,1 - 3 jours,1 - 3 jours,1 - 3 dagen,1 - 3 days
ChildPhysicalActivity,parent_survey_child,4 - 6 Tage,4 - 6 Tage,,,4 - 6 días,4 - 6 días,4 - 6 días,4 - 6 jours,4 - 6 jours,4 - 6 dagen,4 - 6 days
ChildPhysicalActivity,parent_survey_child,Jeden Tag,Jeden Tag,Every day,Every day,Todos los días,Todos los días,Todos los días,Tous les jours,Tous les jours,Elke dag,Every day
ChildChronicHealth,parent_survey_child,Hatte Ihr Kind <b>WÄHREND DER LETZTEN 12 MONATE</b> REGELMÄßIGE oder CHRONISCHE Schwierigkeiten in einem der folgenden Bereiche?,Hatte Ihr Kind <b>WÄHREND DER LETZTEN 12 MONATE</b> REGELMÄßIGE oder CHRONISCHE Schwierigkeiten in einem der folgenden Bereiche?, has your child had FREQUENT or CHRONIC difficulty with any of the following?", has your child had FREQUENT or CHRONIC difficulty with any of the following?","<b>DURING THE PAST 12 MONTHS</b>, has your child had FREQUENT or CHRONIC difficulty with any of the following?","<b>DURANTE LOS ÚLTIMOS 12 MESES</b>, ¿ha tenido su niño(a) dificultades FRECUENTES o CRÓNICAS en alguno de los siguientes aspectos?","<b>DURANTE LOS ÚLTIMOS 12 MESES</b>, ¿ha tenido su niño(a) dificultades FRECUENTES o CRÓNICAS en alguno de los siguientes aspectos?","<b>DURANTE LOS ÚLTIMOS 12 MESES</b>, ¿ha tenido su niño(a) dificultades FRECUENTES o CRÓNICAS en alguno de los siguientes aspectos?","<b>AU COURS DES 12 DERNIERS MOIS</b>, votre enfant a-t-il eu des difficultés FRÉQUENTES ou CHRONIQUES avec l'une des choses suivantes ?","<b>AU COURS DES 12 DERNIERS MOIS</b>, votre enfant a-t-il eu des difficultés FRÉQUENTES ou CHRONIQUES avec l'une des choses suivantes ?","<b>IN DE AFGELOPEN 12 MAANDEN</b>, heeft uw kind REGELMATIG of CHRONISCH moeite gehad met een van de volgende?","<b>DURING THE PAST 12 MONTHS</b>, has your child had FREQUENT or CHRONIC difficulty with any of the following?"
ChildBreathing,parent_survey_child,Atembeschwerden oder andere Atemprobleme (wie Keuchen oder Kurzatmigkeit),Atembeschwerden oder andere Atemprobleme (wie Keuchen oder Kurzatmigkeit),,,Respiración u otros problemas respiratorios (tales como respiración sibilante o ruidosa y falta de aire),Respiración u otros problemas respiratorios (tales como respiración sibilante o ruidosa y falta de aire),Respiración u otros problemas respiratorios (tales como respiración sibilante o ruidosa y falta de aire),Problèmes respiratoires ou autres difficultés respiratoires (tels que la respiration sifflante ou un essoufflement),Problèmes respiratoires ou autres difficultés respiratoires (tels que la respiration sifflante ou un essoufflement),Ademhaling of andere ademhalingsproblemen (zoals piepen of kortademigheid),Breathing or other respiratory problems (such as wheezing or shortness of breath)
ChildBreathing,parent_survey_child,Nein,,,,No,,,,,,
ChildBreathing,parent_survey_child,Nein,,,,No,,,,,,
ChildBreathing,parent_survey_child,weiß nicht,weiß nicht,Don't know,Don't know,No sé,No sé,No sé,Je ne sais pas,Je ne sais pas,Weet ik niet,Don't know
ChildEating,parent_survey_child,Essen oder Schlucken aufgrund eines Gesundheitszustands,Essen oder Schlucken aufgrund eines Gesundheitszustands,,,Comer o tragar debido a una afección de salud,Comer o tragar debido a una afección de salud,Comer o tragar debido a una afección de salud,Manger ou avaler en raison d'une condition de santé,Manger ou avaler en raison d'une condition de santé,Eten of slikken vanwege een gezondheidsprobleem,Eating or swallowing because of a health condition
ChildEating,parent_survey_child,Nein,,,,No,,,,,,
ChildEating,parent_survey_child,Nein,,,,No,,,,,,
ChildEating,parent_survey_child,weiß nicht,weiß nicht,Don't know,Don't know,No sé,No sé,No sé,Je ne sais pas,Je ne sais pas,Weet ik niet,Don't know
ChildDigestion,parent_survey_child,"Verdauung von Nahrungsmitteln, einschließlich Magen-/Darmproblemen,"Verdauung von Nahrungsmitteln,"Verdauung von Nahrungsmitteln, einschließlich Magen-/Darmproblemen, Verstopfung oder Durchfall",,,"Digestión de la comida, incluidos problemas estomacales o intestinales, el estreñimiento o la diarrea","Digestión de la comida, incluidos problemas estomacales o intestinales, el estreñimiento o la diarrea","Digestión de la comida, incluidos problemas estomacales o intestinales, el estreñimiento o la diarrea","Digestion des aliments, y compris les problèmes d'estomac/intestinaux, la constipation ou la diarrhée","Digestion des aliments, y compris les problèmes d'estomac/intestinaux, la constipation ou la diarrhée","Voedsel verteren, waaronder maag/darmproblemen, obstipatie of diarree","Digesting food, including stomach/intestinal problems, constipation, or diarrhea"
ChildDigestion,parent_survey_child,Nein,,,,No,,,,,,
ChildDigestion,parent_survey_child,Nein,,,,No,,,,,,
ChildDigestion,parent_survey_child,weiß nicht,weiß nicht,Don't know,Don't know,No sé,No sé,No sé,Je ne sais pas,Je ne sais pas,Weet ik niet,Don't know
ChildPain,parent_survey_child,"Wiederholte oder chronische körperliche Schmerzen, einschließlich Kopfschmerzen oder andere Rücken- oder Körperschmerzen", einschließlich Kopfschmerzen oder andere Rücken- oder Körperschmerzen", einschließlich Kopfschmerzen oder andere Rücken- oder Körperschmerzen",,,"Dolor recurrente como dolor de cabeza, dolor de espalda o dolor generalizado, entre otros","Dolor recurrente como dolor de cabeza, dolor de espalda o dolor generalizado, entre otros","Dolor recurrente como dolor de cabeza, dolor de espalda o dolor generalizado, entre otros","Douleurs physiques répétées ou chroniques, y compris les maux de tête ou autres douleurs au dos ou au corps","Douleurs physiques répétées ou chroniques, y compris les maux de tête ou autres douleurs au dos ou au corps","Herhaalde of chronische fysieke pijn, waaronder hoofdpijn of andere rug- of lichaamspijnen","Repeated or chronic physical pain, including headaches or other back or body pain"
ChildPain,parent_survey_child,Nein,,,,No,,,,,,
ChildPain,parent_survey_child,Nein,,,,No,,,,,,
ChildPain,parent_survey_child,weiß nicht,weiß nicht,Don't know,Don't know,No sé,No sé,No sé,Je ne sais pas,Je ne sais pas,Weet ik niet,Don't know
ChildToothache,parent_survey_child,Zahnschmerzen,Zahnschmerzen,,,Dolor de dientes,Dolor de dientes,Dolor de dientes,Maux de dents,Maux de dents,Kiespijn,Toothaches
ChildToothache,parent_survey_child,Nein,,,,No,,,,,,
ChildToothache,parent_survey_child,Nein,,,,No,,,,,,
ChildToothache,parent_survey_child,weiß nicht,weiß nicht,Don't know,Don't know,No sé,No sé,No sé,Je ne sais pas,Je ne sais pas,Weet ik niet,Don't know
ChildGums,parent_survey_child,Zahnfleischbluten,Zahnfleischbluten,,,Sangrado en las encías,Sangrado en las encías,Sangrado en las encías,Gencives qui saignent,Gencives qui saignent,Bloedend tandvlees,Bleeding gums
ChildGums,parent_survey_child,Nein,,,,No,,,,,,
ChildGums,parent_survey_child,Nein,,,,No,,,,,,
ChildGums,parent_survey_child,weiß nicht,weiß nicht,Don't know,Don't know,No sé,No sé,No sé,Je ne sais pas,Je ne sais pas,Weet ik niet,Don't know
ChildCavities,parent_survey_child,Karies oder Zahnlöcher,Karies oder Zahnlöcher,,,Dientes deteriorados o caries,Dientes deteriorados o caries,Dientes deteriorados o caries,Dents cariées ou caries,Dents cariées ou caries,Verrotte tanden of gaatjes,Decayed teeth or cavities
ChildCavities,parent_survey_child,Nein,,,,No,,,,,,
ChildCavities,parent_survey_child,Nein,,,,No,,,,,,
ChildCavities,parent_survey_child,weiß nicht,weiß nicht,Don't know,Don't know,No sé,No sé,No sé,Je ne sais pas,Je ne sais pas,Weet ik niet,Don't know
ChildHealthOther,parent_survey_child,Hat Ihr Kind eines der folgenden Probleme?,Hat Ihr Kind eines der folgenden Probleme?,Does your child have any of the following?,Does your child have any of the following?,¿Tiene su niño(a) alguna de las siguientes?,¿Tiene su niño(a) alguna de las siguientes?,¿Tiene su niño(a) alguna de las siguientes?,Votre enfant a-t-il l'un des problèmes suivants ?,Votre enfant a-t-il l'un des problèmes suivants ?,Heeft uw kind een van de volgende problemen?,Does your child have any of the following?
ChildConcentration,parent_survey_child,"Ernsthafte Schwierigkeiten, sich zu konzentrieren, aufgrund eines körperlichen, aufgrund eines körperlichen, geistigen oder emotionalen Zustands","Ernsthafte Schwierigkeiten, sich zu konzentrieren, sich zu erinnern oder Entscheidungen zu treffen, aufgrund eines körperlichen, geistigen oder emotionalen Zustands",,,"Dificultades serias para concentrarse, recordar o tomar decisiones debido a un trastorno físico, mental o emocional","Dificultades serias para concentrarse, recordar o tomar decisiones debido a un trastorno físico, mental o emocional","Dificultades serias para concentrarse, recordar o tomar decisiones debido a un trastorno físico, mental o emocional","Difficulté sérieuse à se concentrer, se souvenir ou prendre des décisions en raison d'un état physique, mental ou émotionnel","Difficulté sérieuse à se concentrer, se souvenir ou prendre des décisions en raison d'un état physique, mental ou émotionnel","Ernstige moeite met concentreren, onthouden of beslissingen nemen vanwege een fysiek, mentaal of emotioneel probleem","Serious difficulty concentrating, remembering, or making decisions because of a physical, mental, or emotional condition"
ChildConcentration,parent_survey_child,Nein,,,,No,,,,,,
ChildConcentration,parent_survey_child,Nein,,,,No,,,,,,
ChildConcentration,parent_survey_child,weiß nicht,weiß nicht,Don't know,Don't know,No sé,No sé,No sé,Je ne sais pas,Je ne sais pas,Weet ik niet,Don't know
ChildStairs,parent_survey_child,Ernsthafte Schwierigkeiten beim Gehen oder Treppensteigen,Ernsthafte Schwierigkeiten beim Gehen oder Treppensteigen,,,Dificultad grave para caminar o subir escaleras,Dificultad grave para caminar o subir escaleras,Dificultad grave para caminar o subir escaleras,Difficulté sérieuse à marcher ou à monter des escaliers,Difficulté sérieuse à marcher ou à monter des escaliers,Ernstige moeilijkheid met lopen of traplopen,Serious difficulty walking or climbing stairs
ChildStairs,parent_survey_child,Ja,Ja,,,Sí,Sí,Sí,Oui,Oui,Ja,Yes
ChildStairs,parent_survey_child,Nein,Nein,No,No,No,No,No,Non,Non,Nee,No
ChildDressBathe,parent_survey_child,Schwierigkeiten beim Anziehen oder Baden,Schwierigkeiten beim Anziehen oder Baden,,,Dificultad para vestirse o bañarse,Dificultad para vestirse o bañarse,Dificultad para vestirse o bañarse,Difficulté à s'habiller ou à se laver,Difficulté à s'habiller ou à se laver,Moeite met aankleden of baden,Difficulty dressing or bathing
ChildDressBathe,parent_survey_child,Ja,Ja,,,Sí,Sí,Sí,Oui,Oui,Ja,Yes
ChildDressBathe,parent_survey_child,Nein,Nein,No,No,No,No,No,Non,Non,Nee,No
ChildHearing,parent_survey_child,Taubheit oder Hörprobleme,Taubheit oder Hörprobleme,,,Sordera o problemas de audición,Sordera o problemas de audición,Sordera o problemas de audición,Surdité ou problèmes d'audition,Surdité ou problèmes d'audition,Doofheid of gehoorproblemen,Deafness or problems with hearing
ChildHearing,parent_survey_child,Ja,Ja,,,Sí,Sí,Sí,Oui,Oui,Ja,Yes
ChildHearing,parent_survey_child,Nein,Nein,No,No,No,No,No,Non,Non,Nee,No
ChildEyesight,parent_survey_child,"Blindheit oder Sehprobleme, auch beim Tragen einer Brille", auch beim Tragen einer Brille", auch beim Tragen einer Brille",,,"Ceguera o problemas de la vista, incluso cuando utiliza anteojos o lentes","Ceguera o problemas de la vista, incluso cuando utiliza anteojos o lentes","Ceguera o problemas de la vista, incluso cuando utiliza anteojos o lentes","Cécité ou problèmes de vision, même en portant des lunettes","Cécité ou problèmes de vision, même en portant des lunettes","Blindheid of problemen met zien, zelfs wanneer het kind een bril draagt","Blindness or problems with seeing, even when wearing glasses"
ChildEyesight,parent_survey_child,Ja,Ja,,,Sí,Sí,Sí,Oui,Oui,Ja,Yes
ChildEyesight,parent_survey_child,Nein,Nein,No,No,No,No,No,Non,Non,Nee,No
