identifier,labels,de,de-CH,en-GH,en-US,es,es-AR,es-CO,fr,fr-CA,nl,source
Example2Neat,child_survey,"Ja, immer","Ja, immer","Yes, always","Yes, always","Sí, siempre","Sí, siempre","Sí, siempre","Oui, toujours","Oui, toujours","Ja, altijd","Yes, always"
TeacherNice,child_survey,Ist dein Lehrer nett zu dir?,Ist dein Lehrer nett zu dir?,,,¿Te trata bien tu profesor?,¿Tu profesor te trata bien?,¿Te trata bien tu profesor?,Votre enseignant est-il gentil avec vous ?,Votre enseignant est-il gentil avec vous ?,Is je leraar aardig voor je?,Is your teacher nice to you?
TeacherNice,child_survey,"Nein, nie","Nein, nie",,,"No, nunca","No, nunca","No, nunca","Non, jamais","Non, jamais","Nee, nooit","No, never"
TeacherNice,child_survey,"Ja, manchmal","Ja, manchmal",,,"Sí, algunas veces","Sí, algunas veces","Sí, algunas veces","Oui, parfois","Oui, parfois","Ja, een deel van de tijd","Yes, some of the time"
TeacherNice,child_survey,"Ja, meistens","Ja, meistens",,,"Sí, muchas veces","Sí, muchas veces","Sí, muchas veces","Oui, la plupart du temps","Oui, la plupart du temps","Ja, het grootste deel van de tijd","Yes, most of the time"
TeacherNice,child_survey,"Ja, immer","Ja, immer","Yes, always","Yes, always","Sí, siempre","Sí, siempre","Sí, siempre","Oui, toujours","Oui, toujours","Ja, altijd","Yes, always"
TeacherLike,child_survey,Mag dich dein Lehrer?,Mag dich dein Lehrer?,,,¿Le caes bien a tu profesor?,¿Le caes bien a tu profesor?,¿Le caes bien a tu profesor?,Votre enseignant vous aime-t-il ?,Votre enseignant vous aime-t-il ?,Vindt je leraar je leuk?,Does your teacher like you?
TeacherLike,child_survey,"Nein, nie","Nein, nie",,,"No, nunca","No, nunca","No, nunca","Non, jamais","Non, jamais","Nee, nooit","No, never"
TeacherLike,child_survey,"Ja, manchmal","Ja, manchmal",,,"Sí, algunas veces","Sí, algunas veces","Sí, algunas veces","Oui, parfois","Oui, parfois","Ja, een deel van de tijd","Yes, some of the time"
TeacherLike,child_survey,"Ja, meistens","Ja, meistens",,,"Sí, muchas veces","Sí, muchas veces","Sí, muchas veces","Oui, la plupart du temps","Oui, la plupart du temps","Ja, het grootste deel van de tijd","Yes, most of the time"
TeacherLike,child_survey,"Ja, immer","Ja, immer","Yes, always","Yes, always","Sí, siempre","Sí, siempre","Sí, siempre","Oui, toujours","Oui, toujours","Ja, altijd","Yes, always"
TeacherListen,child_survey,Hört dein Lehrer dir zu?,Hört dein Lehrer dir zu?,,,¿Te escucha tu profesor?,¿Tu profesor te escucha?,¿Te escucha tu profesor?,Votre enseignant vous écoute-t-il ?,Votre enseignant vous écoute-t-il ?,Luistert je leraar naar je?,Does your teacher listen to you?
TeacherListen,child_survey,"Nein, nie","Nein, nie",,,"No, nunca","No, nunca","No, nunca","Non, jamais","Non, jamais","Nee, nooit","No, never"
TeacherListen,child_survey,"Ja, manchmal","Ja, manchmal",,,"Sí, algunas veces","Sí, algunas veces","Sí, algunas veces","Oui, parfois","Oui, parfois","Ja, een deel van de tijd","Yes, some of the time"
TeacherListen,child_survey,"Ja, meistens","Ja, meistens",,,"Sí, muchas veces","Sí, muchas veces","Sí, muchas veces","Oui, la plupart du temps","Oui, la plupart du temps","Ja, het grootste deel van de tijd","Yes, most of the time"
TeacherListen,child_survey,"Ja, immer","Ja, immer","Yes, always","Yes, always","Sí, siempre","Sí, siempre","Sí, siempre","Oui, toujours","Oui, toujours","Ja, altijd","Yes, always"
SchoolFun,child_survey,Macht die Schule Spaß?,Macht die Schule Spaß?,,,¿Te diviertes en el colegio?,¿Es divertido ir al colegio?,¿Te diviertes en el colegio?,L'école est-elle amusante ?,L'école est-elle amusante ?,Is school leuk?,Is school fun?
SchoolFun,child_survey,"Nein, nie","Nein, nie",,,"No, nunca","No, nunca","No, nunca","Non, jamais","Non, jamais","Nee, nooit","No, never"
SchoolFun,child_survey,"Ja, manchmal","Ja, manchmal",,,"Sí, algunas veces","Sí, algunas veces","Sí, algunas veces","Oui, parfois","Oui, parfois","Ja, een deel van de tijd","Yes, some of the time"
SchoolFun,child_survey,"Ja, meistens","Ja, meistens",,,"Sí, muchas veces","Sí, muchas veces","Sí, muchas veces","Oui, la plupart du temps","Oui, la plupart du temps","Ja, het grootste deel van de tijd","Yes, most of the time"
SchoolFun,child_survey,"Ja, immer","Ja, immer","Yes, always","Yes, always","Sí, siempre","Sí, siempre","Sí, siempre","Oui, toujours","Oui, toujours","Ja, altijd","Yes, always"
SchoolEnjoy,child_survey,"Magst du es, in die Schule zu gehen?","Magst du es, in die Schule zu gehen?",,,¿Te gusta la escuela?,¿Te gusta el colegio?,¿Te gusta la escuela?,Aimez-vous l'école ?,Aimez-vous l'école ?,Vind je school leuk?,Do you enjoy school?
SchoolEnjoy,child_survey,"Nein, nie","Nein, nie",,,"No, nunca","No, nunca","No, nunca","Non, jamais","Non, jamais","Nee, nooit","No, never"
SchoolEnjoy,child_survey,"Ja, manchmal","Ja, manchmal",,,"Sí, algunas veces","Sí, algunas veces","Sí, algunas veces","Oui, parfois","Oui, parfois","Ja, een deel van de tijd","Yes, some of the time"
SchoolEnjoy,child_survey,"Ja, meistens","Ja, meistens",,,"Sí, muchas veces","Sí, muchas veces","Sí, muchas veces","Oui, la plupart du temps","Oui, la plupart du temps","Ja, het grootste deel van de tijd","Yes, most of the time"
SchoolEnjoy,child_survey,"Ja, immer","Ja, immer","Yes, always","Yes, always","Sí, siempre","Sí, siempre","Sí, siempre","Oui, toujours","Oui, toujours","Ja, altijd","Yes, always"
SchoolHappy,child_survey,Bist du glücklich in der Schule?,Bist du glücklich in der Schule?,,,¿Te sientes feliz en la escuela?,¿Te sientes feliz en el colegio?,¿Te sientes feliz en la escuela?,Êtes-vous heureux à l'école ?,Êtes-vous heureux à l'école ?,Ben je blij op school?,Are you happy at school?
SchoolHappy,child_survey,"Nein, nie","Nein, nie",,,"No, nunca","No, nunca","No, nunca","Non, jamais","Non, jamais","Nee, nooit","No, never"
SchoolHappy,child_survey,"Ja, manchmal","Ja, manchmal",,,"Sí, algunas veces","Sí, algunas veces","Sí, algunas veces","Oui, parfois","Oui, parfois","Ja, een deel van de tijd","Yes, some of the time"
SchoolHappy,child_survey,"Ja, meistens","Ja, meistens",,,"Sí, muchas veces","Sí, muchas veces","Sí, muchas veces","Oui, la plupart du temps","Oui, la plupart du temps","Ja, het grootste deel van de tijd","Yes, most of the time"
SchoolHappy,child_survey,"Ja, immer","Ja, immer","Yes, always","Yes, always","Sí, siempre","Sí, siempre","Sí, siempre","Oui, toujours","Oui, toujours","Ja, altijd","Yes, always"
SchoolSafe,child_survey,Fühlst du dich in der Schule sicher?,Fühlst du dich in der Schule sicher?,,,¿Te sientes seguro o segura en el colegio?,¿Te sientes seguro o segura en el colegio?,¿Te sientes seguro o segura en el colegio?,Vous sentez-vous en sécurité à l'école ?,Vous sentez-vous en sécurité à l'école ?,Voel je je veilig op school?,Do you feel safe at school?
SchoolSafe,child_survey,"Nein, nie","Nein, nie",,,"No, nunca","No, nunca","No, nunca","Non, jamais","Non, jamais","Nee, nooit","No, never"
SchoolSafe,child_survey,"Ja, manchmal","Ja, manchmal",,,"Sí, algunas veces","Sí, algunas veces","Sí, algunas veces","Oui, parfois","Oui, parfois","Ja, een deel van de tijd","Yes, some of the time"
SchoolSafe,child_survey,"Ja, meistens","Ja, meistens",,,"Sí, muchas veces","Sí, muchas veces","Sí, muchas veces","Oui, la plupart du temps","Oui, la plupart du temps","Ja, het grootste deel van de tijd","Yes, most of the time"
SchoolSafe,child_survey,"Ja, immer","Ja, immer","Yes, always","Yes, always","Sí, siempre","Sí, siempre","Sí, siempre","Oui, toujours","Oui, toujours","Ja, altijd","Yes, always"
ClassFriends,child_survey,Hast du Freunde in deiner Klasse?,Hast du Freunde in deiner Klasse?,,,¿Tienes amigos o amigas en tu clase?,¿Tienes amigos o amigas en tu salón?,¿Tienes amigos o amigas en tu clase?,Avez-vous des amis dans votre classe ?,Avez-vous des amis dans votre classe ?,Heb je vrienden in je klas?,Do you have friends in your class?
ClassFriends,child_survey,"Nein, nie","Nein, nie",,,"No, nunca","No, nunca","No, nunca","Non, jamais","Non, jamais","Nee, nooit","No, never"
ClassFriends,child_survey,"Ja, manchmal","Ja, manchmal",,,"Sí, algunas veces","Sí, algunas veces","Sí, algunas veces","Oui, parfois","Oui, parfois","Ja, een deel van de tijd","Yes, some of the time"
ClassFriends,child_survey,"Ja, meistens","Ja, meistens",,,"Sí, muchas veces","Sí, muchas veces","Sí, muchas veces","Oui, la plupart du temps","Oui, la plupart du temps","Ja, het grootste deel van de tijd","Yes, most of the time"
ClassFriends,child_survey,"Ja, immer","Ja, immer","Yes, always","Yes, always","Sí, siempre","Sí, siempre","Sí, siempre","Oui, toujours","Oui, toujours","Ja, altijd","Yes, always"
ClassHelp,child_survey,"Helfen dir die Kinder in deiner Klasse, wenn du Hilfe brauchst?","Helfen dir die Kinder in deiner Klasse, wenn du Hilfe brauchst?",,,¿Te ayudan los niños y las niñas de tu clase cuando lo necesitas?,¿Te ayudan los niños y las niñas de tu salón cuando lo necesitas?,¿Te ayudan los niños y las niñas de tu clase cuando lo necesitas?,Les enfants de votre classe vous aident-ils quand vous en avez besoin ?,Les enfants de votre classe vous aident-ils quand vous en avez besoin ?,Helpen de kinderen in je klas je wanneer je het nodig hebt?,Do the kids in your class help you when you need it?
ClassHelp,child_survey,"Nein, nie","Nein, nie",,,"No, nunca","No, nunca","No, nunca","Non, jamais","Non, jamais","Nee, nooit","No, never"
ClassHelp,child_survey,"Ja, manchmal","Ja, manchmal",,,"Sí, algunas veces","Sí, algunas veces","Sí, algunas veces","Oui, parfois","Oui, parfois","Ja, een deel van de tijd","Yes, some of the time"
ClassHelp,child_survey,"Ja, meistens","Ja, meistens",,,"Sí, muchas veces","Sí, muchas veces","Sí, muchas veces","Oui, la plupart du temps","Oui, la plupart du temps","Ja, het grootste deel van de tijd","Yes, most of the time"
ClassHelp,child_survey,"Ja, immer","Ja, immer","Yes, always","Yes, always","Sí, siempre","Sí, siempre","Sí, siempre","Oui, toujours","Oui, toujours","Ja, altijd","Yes, always"
ClassPlay,child_survey,Spielen die Kinder in deiner Klasse mit dir?,Spielen die Kinder in deiner Klasse mit dir?,,,¿Los niños y las niñas de tu clase juegan contigo?,¿Los niños y las niñas de tu salón juegan contigo?,¿Los niños y las niñas de tu clase juegan contigo?,Les enfants de votre classe jouent-ils avec vous ?,Les enfants de votre classe jouent-ils avec vous ?,Spelen de kinderen in je klas met je?,Do the kids in your class play with you?
ClassPlay,child_survey,"Nein, nie","Nein, nie",,,"No, nunca","No, nunca","No, nunca","Non, jamais","Non, jamais","Nee, nooit","No, never"
ClassPlay,child_survey,"Ja, manchmal","Ja, manchmal",,,"Sí, algunas veces","Sí, algunas veces","Sí, algunas veces","Oui, parfois","Oui, parfois","Ja, een deel van de tijd","Yes, some of the time"
ClassPlay,child_survey,"Ja, meistens","Ja, meistens",,,"Sí, muchas veces","Sí, muchas veces","Sí, muchas veces","Oui, la plupart du temps","Oui, la plupart du temps","Ja, het grootste deel van de tijd","Yes, most of the time"
ClassPlay,child_survey,"Ja, immer","Ja, immer","Yes, always","Yes, always","Sí, siempre","Sí, siempre","Sí, siempre","Oui, toujours","Oui, toujours","Ja, altijd","Yes, always"
ClassNice,child_survey,Sind die Kinder in deiner Klasse nett zu dir?,Sind die Kinder in deiner Klasse nett zu dir?,,,¿Los niños y las niñas de tu clase son amables contigo?,¿Los niños y las niñas de tu salón son amables contigo?,¿Los niños y las niñas de tu clase son amables contigo?,Les enfants de votre classe sont-ils gentils avec vous ?,Les enfants de votre classe sont-ils gentils avec vous ?,Zijn de kinderen in je klas aardig voor je?,Are the kids in your class nice to you?
ClassNice,child_survey,"Nein, nie","Nein, nie",,,"No, nunca","No, nunca","No, nunca","Non, jamais","Non, jamais","Nee, nooit","No, never"
ClassNice,child_survey,"Ja, manchmal","Ja, manchmal",,,"Sí, algunas veces","Sí, algunas veces","Sí, algunas veces","Oui, parfois","Oui, parfois","Ja, een deel van de tijd","Yes, some of the time"
ClassNice,child_survey,"Ja, meistens","Ja, meistens",,,"Sí, muchas veces","Sí, muchas veces","Sí, muchas veces","Oui, la plupart du temps","Oui, la plupart du temps","Ja, het grootste deel van de tijd","Yes, most of the time"
ClassNice,child_survey,"Ja, immer","Ja, immer","Yes, always","Yes, always","Sí, siempre","Sí, siempre","Sí, siempre","Oui, toujours","Oui, toujours","Ja, altijd","Yes, always"
LonelySchool,child_survey,Fühlst du dich in der Schule einsam?,Fühlst du dich in der Schule einsam?,,,¿Te sientes solo o sola en el colegio?,¿Te sientes solo o sola en el colegio?,¿Te sientes solo o sola en el colegio?,Vous sentez-vous seul à l'école ?,Vous sentez-vous seul à l'école ?,Voel je je eenzaam op school?,Do you feel lonely at school?
LonelySchool,child_survey,"Nein, nie","Nein, nie",,,"No, nunca","No, nunca","No, nunca","Non, jamais","Non, jamais","Nee, nooit","No, never"
LonelySchool,child_survey,"Ja, manchmal","Ja, manchmal",,,"Sí, algunas veces","Sí, algunas veces","Sí, algunas veces","Oui, parfois","Oui, parfois","Ja, een deel van de tijd","Yes, some of the time"
LonelySchool,child_survey,"Ja, meistens","Ja, meistens",,,"Sí, muchas veces","Sí, muchas veces","Sí, muchas veces","Oui, la plupart du temps","Oui, la plupart du temps","Ja, het grootste deel van de tijd","Yes, most of the time"
LonelySchool,child_survey,"Ja, immer","Ja, immer","Yes, always","Yes, always","Sí, siempre","Sí, siempre","Sí, siempre","Oui, toujours","Oui, toujours","Ja, altijd","Yes, always"
LearningGood,child_survey,"Bist du gut darin, in der Schule etwas zu lernen?","Bist du gut darin, in der Schule etwas zu lernen?",,,¿Eres bueno o buena para aprender en el colegio?,¿Te queda fácil aprender en el colegio?,¿Eres bueno o buena para aprender en el colegio?,Êtes-vous bon pour apprendre des choses à l'école ?,Êtes-vous bon pour apprendre des choses à l'école ?,Ben je goed in het leren van dingen op school?,Are you good at learning things in school?
LearningGood,child_survey,"Nein, nie","Nein, nie",,,"No, nunca","No, nunca","No, nunca","Non, jamais","Non, jamais","Nee, nooit","No, never"
LearningGood,child_survey,"Ja, manchmal","Ja, manchmal",,,"Sí, algunas veces","Sí, algunas veces","Sí, algunas veces","Oui, parfois","Oui, parfois","Ja, een deel van de tijd","Yes, some of the time"
LearningGood,child_survey,"Ja, meistens","Ja, meistens",,,"Sí, muchas veces","Sí, muchas veces","Sí, muchas veces","Oui, la plupart du temps","Oui, la plupart du temps","Ja, het grootste deel van de tijd","Yes, most of the time"
LearningGood,child_survey,"Ja, immer","Ja, immer","Yes, always","Yes, always","Sí, siempre","Sí, siempre","Sí, siempre","Oui, toujours","Oui, toujours","Ja, altijd","Yes, always"
SchoolGiveUp,child_survey,"Gibst du sofort auf, wenn dir die Schularbeit schwer fällt?","Gibst du sofort auf, wenn dir die Schularbeit schwer fällt?",,,"Cuando las tareas del colegio son difíciles, ¿te rindes en seguida?","Cuando las tareas escolares son difíciles, ¿te rindes enseguida?","Cuando las tareas del colegio son difíciles, ¿te rindes en seguida?",Abandonnez-vous tout de suite quand le travail scolaire est difficile ?,Abandonnez-vous tout de suite quand le travail scolaire est difficile ?,"Wanneer schoolwerk moeilijk is, geef je dan meteen op?","When schoolwork is hard, do you give up right away?"
SchoolGiveUp,child_survey,"Nein, nie","Nein, nie",,,"No, nunca","No, nunca","No, nunca","Non, jamais","Non, jamais","Nee, nooit","No, never"
SchoolGiveUp,child_survey,"Ja, manchmal","Ja, manchmal",,,"Sí, algunas veces","Sí, algunas veces","Sí, algunas veces","Oui, parfois","Oui, parfois","Ja, een deel van de tijd","Yes, some of the time"
SchoolGiveUp,child_survey,"Ja, meistens","Ja, meistens",,,"Sí, muchas veces","Sí, muchas veces","Sí, muchas veces","Oui, la plupart du temps","Oui, la plupart du temps","Ja, het grootste deel van de tijd","Yes, most of the time"
SchoolGiveUp,child_survey,"Ja, immer","Ja, immer","Yes, always","Yes, always","Sí, siempre","Sí, siempre","Sí, siempre","Oui, toujours","Oui, toujours","Ja, altijd","Yes, always"
ReadingEnjoy,child_survey,Macht es dir Spaß in der Schule zu lesen?,Macht es dir Spaß in der Schule zu lesen?,,,¿Te gusta hacer actividades de lectura en el colegio?,¿Te gusta hacer actividades de lectura en el colegio?,¿Te gusta hacer actividades de lectura en el colegio?,Aimez-vous faire des activités de lecture à l'école ?,Aimez-vous faire des activités de lecture à l'école ?,Vind je het leuk om leesactiviteiten te doen op school?,Do you enjoy doing reading activities at school?
ReadingEnjoy,child_survey,"Nein, nie","Nein, nie",,,"No, nunca","No, nunca","No, nunca","Non, jamais","Non, jamais","Nee, nooit","No, never"
ReadingEnjoy,child_survey,"Ja, manchmal","Ja, manchmal",,,"Sí, algunas veces","Sí, algunas veces","Sí, algunas veces","Oui, parfois","Oui, parfois","Ja, een deel van de tijd","Yes, some of the time"
ReadingEnjoy,child_survey,"Ja, meistens","Ja, meistens",,,"Sí, muchas veces","Sí, muchas veces","Sí, muchas veces","Oui, la plupart du temps","Oui, la plupart du temps","Ja, het grootste deel van de tijd","Yes, most of the time"
ReadingEnjoy,child_survey,"Ja, immer","Ja, immer","Yes, always","Yes, always","Sí, siempre","Sí, siempre","Sí, siempre","Oui, toujours","Oui, toujours","Ja, altijd","Yes, always"
MathEnjoy,child_survey,Hast du Spaß am Fach Mathe?,Hast du Spaß am Fach Mathe?,,,¿Te gusta hacer actividades de matemáticas en el colegio?,¿Te gusta hacer actividades de matemáticas en el colegio?,¿Te gusta hacer actividades de matemáticas en el colegio?,Aimez-vous faire des activités de mathématiques à l'école ?,Aimez-vous faire des activités de mathématiques à l'école ?,Vind je het leuk om wiskundeactiviteiten te doen op school?,Do you enjoy doing math activities at school?
MathEnjoy,child_survey,"Nein, nie","Nein, nie",,,"No, nunca","No, nunca","No, nunca","Non, jamais","Non, jamais","Nee, nooit","No, never"
MathEnjoy,child_survey,"Ja, manchmal","Ja, manchmal",,,"Sí, algunas veces","Sí, algunas veces","Sí, algunas veces","Oui, parfois","Oui, parfois","Ja, een deel van de tijd","Yes, some of the time"
MathEnjoy,child_survey,"Ja, meistens","Ja, meistens",,,"Sí, muchas veces","Sí, muchas veces","Sí, muchas veces","Oui, la plupart du temps","Oui, la plupart du temps","Ja, het grootste deel van de tijd","Yes, most of the time"
MathEnjoy,child_survey,"Ja, immer","Ja, immer","Yes, always","Yes, always","Sí, siempre","Sí, siempre","Sí, siempre","Oui, toujours","Oui, toujours","Ja, altijd","Yes, always"
ReadingGood,child_survey,Bist du gut im Lesen?,Bist du gut im Lesen?,,,¿Eres bueno o buena para la lectura?,¿Eres bueno o buena para la lectura?,¿Eres bueno o buena para la lectura?,Êtes-vous bon en lecture ?,Êtes-vous bon en lecture ?,Ben je goed in lezen?,Are you good at reading?
ReadingGood,child_survey,"Nein, nie","Nein, nie",,,"No, nunca","No, nunca","No, nunca","Non, jamais","Non, jamais","Nee, nooit","No, never"
ReadingGood,child_survey,"Ja, manchmal","Ja, manchmal",,,"Sí, algunas veces","Sí, algunas veces","Sí, algunas veces","Oui, parfois","Oui, parfois","Ja, een deel van de tijd","Yes, some of the time"
ReadingGood,child_survey,"Ja, meistens","Ja, meistens",,,"Sí, muchas veces","Sí, muchas veces","Sí, muchas veces","Oui, la plupart du temps","Oui, la plupart du temps","Ja, het grootste deel van de tijd","Yes, most of the time"
ReadingGood,child_survey,"Ja, immer","Ja, immer","Yes, always","Yes, always","Sí, siempre","Sí, siempre","Sí, siempre","Oui, toujours","Oui, toujours","Ja, altijd","Yes, always"
MathGood,child_survey,Bist du gut in Mathe?,Bist du gut in Mathe?,,,¿Eres bueno o buena para las matemáticas?,¿Eres bueno o buena para las matemáticas?,¿Eres bueno o buena para las matemáticas?,Êtes-vous bon en maths ?,Êtes-vous bon en maths ?,Ben je goed in wiskunde?,Are you good at math?
MathGood,child_survey,"Nein, nie","Nein, nie",,,"No, nunca","No, nunca","No, nunca","Non, jamais","Non, jamais","Nee, nooit","No, never"
MathGood,child_survey,"Ja, manchmal","Ja, manchmal",,,"Sí, algunas veces","Sí, algunas veces","Sí, algunas veces","Oui, parfois","Oui, parfois","Ja, een deel van de tijd","Yes, some of the time"
MathGood,child_survey,"Ja, meistens","Ja, meistens",,,"Sí, muchas veces","Sí, muchas veces","Sí, muchas veces","Oui, la plupart du temps","Oui, la plupart du temps","Ja, het grootste deel van de tijd","Yes, most of the time"
MathGood,child_survey,"Ja, immer","Ja, immer","Yes, always","Yes, always","Sí, siempre","Sí, siempre","Sí, siempre","Oui, toujours","Oui, toujours","Ja, altijd","Yes, always"
GrowthMindSmart,child_survey,"Manche Kinder glauben, dass sie schlauer werden können, wenn sie sich anstrengen. Bist du auch der Meinung, dass du schlauer werden kannst, wenn du dich anstrengst?","Manche Kinder glauben, dass sie schlauer werden können, wenn sie sich anstrengen. Bist du auch der Meinung, dass du schlauer werden kannst, wenn du dich anstrengst?",,,Algunos niños y niñas piensan que pueden ser más inteligentes si se esfuerzan mucho. ¿Crees que tú puedes ser más inteligente si te esfuerzas mucho?,Algunos niños y niñas piensan que pueden ser más inteligentes si se esfuerzan mucho. ¿Crees que tú puedes ser más inteligente si te esfuerzas mucho?,Algunos niños y niñas piensan que pueden ser más inteligentes si se esfuerzan mucho. ¿Crees que tú puedes ser más inteligente si te esfuerzas mucho?,Certains enfants pensent qu'ils peuvent devenir plus intelligents s'ils travaillent très dur. Pensez-vous que vous pouvez devenir plus intelligent si vous travaillez très dur ?,Certains enfants pensent qu'ils peuvent devenir plus intelligents s'ils travaillent très dur. Pensez-vous que vous pouvez devenir plus intelligent si vous travaillez très dur ?,Sommige kinderen denken dat ze slimmer kunnen worden als ze heel hard werken. Denk je dat je slimmer kunt worden als je heel hard werkt?,Some kids think they can get smarter if they work really hard. Do you think that you can get smarter if you work really hard?
GrowthMindSmart,child_survey,"Nein, nie","Nein, nie",,,"No, nunca","No, nunca","No, nunca","Non, jamais","Non, jamais","Nee, nooit","No, never"
GrowthMindSmart,child_survey,"Ja, manchmal","Ja, manchmal",,,"Sí, algunas veces","Sí, algunas veces","Sí, algunas veces","Oui, parfois","Oui, parfois","Ja, een deel van de tijd","Yes, some of the time"
