identifier,labels,source,en-US,de,de_CH,es,es_AR,es_CO,fr,fr_CA,nl,en,es-CO,fr-CA,de-CH,es-AR,en-GH
ChildWeightCurrent,parent_survey_child,What is your child's CURRENT weight? (please estimate to the best of your knowledge),What is your child's CURRENT weight? (please estimate to the best of your knowledge),Was ist das AKTUELLE Gewicht Ihres Kindes?,Was ist das AKTUELLE Gewicht Ihres Kindes?,"¿Cuál es el peso ACTUAL de su niño(a)? (por favor, calcule lo más preciso posible)","¿Cuál es el peso ACTUAL de su niño(a)? (por favor, calcule lo más preciso posible)","¿Cuál es el peso ACTUAL de su niño(a)? (por favor, calcule lo más preciso posible)",Quel est le poids actuel de votre enfant? (merci d'estimer aussi précisément que possible),Quel est le poids actuel de votre enfant? (merci d'estimer aussi précisément que possible),Wat is het huidige gewicht van uw kind? (schat dit indien nodig zo nauwkeurig mogelijk),What is your child's CURRENT weight? (please estimate to the best of your knowledge),"¿Cuál es el peso ACTUAL de su niño(a)? (por favor, calcule lo más preciso posible)",Quel est le poids actuel de votre enfant? (merci d'estimer aussi précisément que possible),Was ist das AKTUELLE Gewicht Ihres Kindes?,"¿Cuál es el peso ACTUAL de su niño(a)? (por favor, calcule lo más preciso posible)",What is your child's CURRENT weight? (please estimate to the best of your knowledge)
ChildWeightCurrentPounds,parent_survey_child,pounds,pounds,kilo,kilo,kilos,kilos,kilos,livres,livres,pounds,pounds,kilos,livres,kilo,kilos,pounds
ChildBornEarly,parent_survey_child,Don't know,Don't know,weiß nicht,weiß nicht,No sé,No sé,No sé,Je ne sais pas,Je ne sais pas,Weet ik niet,Don't know,No sé,Je ne sais pas,weiß nicht,No sé,Don't know
ChildWeightBirth,parent_survey_child,Grams,Grams,Gramm,Gramm,Gramos,Gramos,Gramos,grammes,grammes,gram,Grams,Gramos,grammes,Gramm,Gramos,Grams
ChildHealth,parent_survey_child,Poor,Poor,Schlecht,Schlecht,Deficiente,Deficiente,Deficiente,Mauvaise,Mauvaise,Slecht,Poor,Deficiente,Mauvaise,Schlecht,Deficiente,Poor
ChildTeeth,parent_survey_child,Poor,Poor,Schlecht,Schlecht,Deficiente,Deficiente,Deficiente,Mauvaise,Mauvaise,Slecht,Poor,Deficiente,Mauvaise,Schlecht,Deficiente,Poor
ChildPhysicalActivity,parent_survey_child,Every day,Every day,Jeden Tag,Jeden Tag,Todos los días,Todos los días,Todos los días,Tous les jours,Tous les jours,Elke dag,Every day,Todos los días,Tous les jours,Jeden Tag,Todos los días,Every day
ChildChronicHealth,parent_survey_child,"<b>DURING THE PAST 12 MONTHS</b>, has your child had FREQUENT or CHRONIC difficulty with any of the following?","<b>DURING THE PAST 12 MONTHS</b>, has your child had FREQUENT or CHRONIC difficulty with any of the following?",Hatte Ihr Kind <b>WÄHREND DER LETZTEN 12 MONATE</b> REGELMÄßIGE oder CHRONISCHE Schwierigkeiten in einem der folgenden Bereiche?,Hatte Ihr Kind <b>WÄHREND DER LETZTEN 12 MONATE</b> REGELMÄßIGE oder CHRONISCHE Schwierigkeiten in einem der folgenden Bereiche?,"<b>DURANTE LOS ÚLTIMOS 12 MESES</b>, ¿ha tenido su niño(a) dificultades FRECUENTES o CRÓNICAS en alguno de los siguientes aspectos?","<b>DURANTE LOS ÚLTIMOS 12 MESES</b>, ¿ha tenido su niño(a) dificultades FRECUENTES o CRÓNICAS en alguno de los siguientes aspectos?","<b>DURANTE LOS ÚLTIMOS 12 MESES</b>, ¿ha tenido su niño(a) dificultades FRECUENTES o CRÓNICAS en alguno de los siguientes aspectos?","<b>AU COURS DES 12 DERNIERS MOIS</b>, votre enfant a-t-il eu des difficultés FRÉQUENTES ou CHRONIQUES avec l'une des choses suivantes ?","<b>AU COURS DES 12 DERNIERS MOIS</b>, votre enfant a-t-il eu des difficultés FRÉQUENTES ou CHRONIQUES avec l'une des choses suivantes ?","<b>IN DE AFGELOPEN 12 MAANDEN</b>, heeft uw kind REGELMATIG of CHRONISCH moeite gehad met een van de volgende?","<b>DURING THE PAST 12 MONTHS</b>, has your child had FREQUENT or CHRONIC difficulty with any of the following?","<b>DURANTE LOS ÚLTIMOS 12 MESES</b>, ¿ha tenido su niño(a) dificultades FRECUENTES o CRÓNICAS en alguno de los siguientes aspectos?","<b>AU COURS DES 12 DERNIERS MOIS</b>, votre enfant a-t-il eu des difficultés FRÉQUENTES ou CHRONIQUES avec l'une des choses suivantes ?",Hatte Ihr Kind <b>WÄHREND DER LETZTEN 12 MONATE</b> REGELMÄßIGE oder CHRONISCHE Schwierigkeiten in einem der folgenden Bereiche?,"<b>DURANTE LOS ÚLTIMOS 12 MESES</b>, ¿ha tenido su niño(a) dificultades FRECUENTES o CRÓNICAS en alguno de los siguientes aspectos?","<b>DURING THE PAST 12 MONTHS</b>, has your child had FREQUENT or CHRONIC difficulty with any of the following?"
ChildBreathing,parent_survey_child,Don't know,Don't know,weiß nicht,weiß nicht,No sé,No sé,No sé,Je ne sais pas,Je ne sais pas,Weet ik niet,Don't know,No sé,Je ne sais pas,weiß nicht,No sé,Don't know
ChildEating,parent_survey_child,Don't know,Don't know,weiß nicht,weiß nicht,No sé,No sé,No sé,Je ne sais pas,Je ne sais pas,Weet ik niet,Don't know,No sé,Je ne sais pas,weiß nicht,No sé,Don't know
ChildDigestion,parent_survey_child,Don't know,Don't know,weiß nicht,weiß nicht,No sé,No sé,No sé,Je ne sais pas,Je ne sais pas,Weet ik niet,Don't know,No sé,Je ne sais pas,weiß nicht,No sé,Don't know
ChildPain,parent_survey_child,Don't know,Don't know,weiß nicht,weiß nicht,No sé,No sé,No sé,Je ne sais pas,Je ne sais pas,Weet ik niet,Don't know,No sé,Je ne sais pas,weiß nicht,No sé,Don't know
ChildToothache,parent_survey_child,Don't know,Don't know,weiß nicht,weiß nicht,No sé,No sé,No sé,Je ne sais pas,Je ne sais pas,Weet ik niet,Don't know,No sé,Je ne sais pas,weiß nicht,No sé,Don't know
ChildGums,parent_survey_child,Don't know,Don't know,weiß nicht,weiß nicht,No sé,No sé,No sé,Je ne sais pas,Je ne sais pas,Weet ik niet,Don't know,No sé,Je ne sais pas,weiß nicht,No sé,Don't know
ChildCavities,parent_survey_child,Don't know,Don't know,weiß nicht,weiß nicht,No sé,No sé,No sé,Je ne sais pas,Je ne sais pas,Weet ik niet,Don't know,No sé,Je ne sais pas,weiß nicht,No sé,Don't know
ChildHealthOther,parent_survey_child,Does your child have any of the following?,Does your child have any of the following?,Hat Ihr Kind eines der folgenden Probleme?,Hat Ihr Kind eines der folgenden Probleme?,¿Tiene su niño(a) alguna de las siguientes?,¿Tiene su niño(a) alguna de las siguientes?,¿Tiene su niño(a) alguna de las siguientes?,Votre enfant a-t-il l'un des problèmes suivants ?,Votre enfant a-t-il l'un des problèmes suivants ?,Heeft uw kind een van de volgende problemen?,Does your child have any of the following?,¿Tiene su niño(a) alguna de las siguientes?,Votre enfant a-t-il l'un des problèmes suivants ?,Hat Ihr Kind eines der folgenden Probleme?,¿Tiene su niño(a) alguna de las siguientes?,Does your child have any of the following?
ChildConcentration,parent_survey_child,Don't know,Don't know,weiß nicht,weiß nicht,No sé,No sé,No sé,Je ne sais pas,Je ne sais pas,Weet ik niet,Don't know,No sé,Je ne sais pas,weiß nicht,No sé,Don't know
ChildStairs,parent_survey_child,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
ChildDressBathe,parent_survey_child,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
ChildHearing,parent_survey_child,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
ChildEyesight,parent_survey_child,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
ChildVisionHearingOther,parent_survey_child,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
ChildVisionHearingExp,parent_survey_child,"If yes, please explain:","If yes, please explain:","Wenn ja, beschreiben Sie diese bitte:","Wenn ja, beschreiben Sie diese bitte:","En caso afirmativo, explíquelo:","En caso afirmativo, explíquelo:","En caso afirmativo, explíquelo:","Si oui, veuillez expliquer :","Si oui, veuillez expliquer :","Zo ja, graag toelichten:","If yes, please explain:","En caso afirmativo, explíquelo:","Si oui, veuillez expliquer :","Wenn ja, beschreiben Sie diese bitte:","En caso afirmativo, explíquelo:","If yes, please explain:"
ChildGenetic,parent_survey_child,Prefer not to respond,Prefer not to respond,Ich möchte nicht antworten,Ich möchte nicht antworten,Prefiero no responder,Prefiero no responder,Prefiero no responder,Préfère ne pas répondre,Préfère ne pas répondre,Liever niet antwoorden,Prefer not to respond,Prefiero no responder,Préfère ne pas répondre,Ich möchte nicht antworten,Prefiero no responder,Prefer not to respond
ChildGeneticExp,parent_survey_child,"If yes, please note or explain the condition:","If yes, please note or explain the condition:","Wenn ja, benennen oder beschreiben Sie diese bitte:","Wenn ja, benennen oder beschreiben Sie diese bitte:","En caso afirmativo, indique el trastorno:","En caso afirmativo, indique el trastorno:","En caso afirmativo, indique el trastorno:","Si oui, veuillez noter ou expliquer la condition :","Si oui, veuillez noter ou expliquer la condition :","Als het antwoord ja is, graag de aandoening vermelden of toelichten:","If yes, please note or explain the condition:","En caso afirmativo, indique el trastorno:","Si oui, veuillez noter ou expliquer la condition :","Wenn ja, benennen oder beschreiben Sie diese bitte:","En caso afirmativo, indique el trastorno:","If yes, please note or explain the condition:"
ChildHealthConditions,parent_survey_child,"Has a doctor or other health care provider, or educator <b>EVER</b> told you that your child has any of the following:","Has a doctor or other health care provider, or educator <b>EVER</b> told you that your child has any of the following:","Hat Ihnen ein Arzt, ein anderer Gesundheitsdienstleister oder ein Pädagoge <b>JEMALS</b> gesagt, dass Ihr Kind eines der folgenden Probleme hat:","Hat Ihnen ein Arzt, ein anderer Gesundheitsdienstleister oder ein Pädagoge <b>JEMALS</b> gesagt, dass Ihr Kind eines der folgenden Probleme hat:","¿<b>ALGUNA VEZ</b> su médico, otro profesional de la salud o un docente le ha dicho que su niño(a) padece alguna de las siguientes afecciones?","¿<b>ALGUNA VEZ</b> su médico, otro profesional de la salud o un docente le ha dicho que su niño(a) padece alguna de las siguientes afecciones?","¿<b>ALGUNA VEZ</b> su médico, otro profesional de la salud o un docente le ha dicho que su niño(a) padece alguna de las siguientes afecciones?","Un médecin, un autre prestataire de soins de santé ou un éducateur vous a-t-il <b>JAMAIS</b> dit que votre enfant avait l’une des affections suivantes :","Un médecin, un autre prestataire de soins de santé ou un éducateur vous a-t-il <b>JAMAIS</b> dit que votre enfant avait l’une des affections suivantes :","Heeft een arts of andere zorgverlener, of opvoeder u <b>OOIT</b> verteld dat uw kind een van de volgende aandoeningen heeft:","Has a doctor or other health care provider, or educator <b>EVER</b> told you that your child has any of the following:","¿<b>ALGUNA VEZ</b> su médico, otro profesional de la salud o un docente le ha dicho que su niño(a) padece alguna de las siguientes afecciones?","Un médecin, un autre prestataire de soins de santé ou un éducateur vous a-t-il <b>JAMAIS</b> dit que votre enfant avait l’une des affections suivantes :","Hat Ihnen ein Arzt, ein anderer Gesundheitsdienstleister oder ein Pädagoge <b>JEMALS</b> gesagt, dass Ihr Kind eines der folgenden Probleme hat:","¿<b>ALGUNA VEZ</b> su médico, otro profesional de la salud o un docente le ha dicho que su niño(a) padece alguna de las siguientes afecciones?","Has a doctor or other health care provider, or educator <b>EVER</b> told you that your child has any of the following:"
ChildConduct,parent_survey_child,Prefer not to respond,Prefer not to respond,Ich möchte nicht antworten,Ich möchte nicht antworten,Prefiero no responder,Prefiero no responder,Prefiero no responder,Préfère ne pas répondre,Préfère ne pas répondre,Liever niet antwoorden,Prefer not to respond,Prefiero no responder,Préfère ne pas répondre,Ich möchte nicht antworten,Prefiero no responder,Prefer not to respond
ChildConductCurrent,parent_survey_child,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
ChildConductLevel,parent_survey_child,Severe,Severe,schwerwiegend,schwerwiegend,Severo,Severo,Severo,Sévères,Sévères,Ernstig,Severe,Severo,Sévères,schwerwiegend,Severo,Severe
ChildDevDelay,parent_survey_child,Prefer not to respond,Prefer not to respond,Ich möchte nicht antworten,Ich möchte nicht antworten,Prefiero no responder,Prefiero no responder,Prefiero no responder,Préfère ne pas répondre,Préfère ne pas répondre,Liever niet antwoorden,Prefer not to respond,Prefiero no responder,Préfère ne pas répondre,Ich möchte nicht antworten,Prefiero no responder,Prefer not to respond
ChildDevDelayCurrent,parent_survey_child,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
ChildDevDelayLevel,parent_survey_child,Severe,Severe,schwerwiegend,schwerwiegend,Severo,Severo,Severo,Sévères,Sévères,Ernstig,Severe,Severo,Sévères,schwerwiegend,Severo,Severe
ChildIntellDis,parent_survey_child,Prefer not to respond,Prefer not to respond,Ich möchte nicht antworten,Ich möchte nicht antworten,Prefiero no responder,Prefiero no responder,Prefiero no responder,Préfère ne pas répondre,Préfère ne pas répondre,Liever niet antwoorden,Prefer not to respond,Prefiero no responder,Préfère ne pas répondre,Ich möchte nicht antworten,Prefiero no responder,Prefer not to respond
ChildIntellDisCurrent,parent_survey_child,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
ChildIntellDisLevel,parent_survey_child,Severe,Severe,schwerwiegend,schwerwiegend,Severa,Severa,Severa,Sévères,Sévères,Ernstig,Severe,Severa,Sévères,schwerwiegend,Severa,Severe
ChildSpeechLang,parent_survey_child,Prefer not to respond,Prefer not to respond,Ich möchte nicht antworten,Ich möchte nicht antworten,Prefiero no responder,Prefiero no responder,Prefiero no responder,Préfère ne pas répondre,Préfère ne pas répondre,Liever niet antwoorden,Prefer not to respond,Prefiero no responder,Préfère ne pas répondre,Ich möchte nicht antworten,Prefiero no responder,Prefer not to respond
ChildSpeechLangCurrent,parent_survey_child,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
ChildSpeechLangLevel,parent_survey_child,Severe,Severe,schwerwiegend,schwerwiegend,Severo,Severo,Severo,Sévères,Sévères,Ernstig,Severe,Severo,Sévères,schwerwiegend,Severo,Severe
ChildLearnDis,parent_survey_child,Prefer not to respond,Prefer not to respond,Ich möchte nicht antworten,Ich möchte nicht antworten,Prefiero no responder,Prefiero no responder,Prefiero no responder,Préfère ne pas répondre,Préfère ne pas répondre,Liever niet antwoorden,Prefer not to respond,Prefiero no responder,Préfère ne pas répondre,Ich möchte nicht antworten,Prefiero no responder,Prefer not to respond
ChildLearnDisCurrent,parent_survey_child,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
ChildLearnDisLevel,parent_survey_child,Severe,Severe,schwerwiegend,schwerwiegend,Severo,Severo,Severo,Sévères,Sévères,Ernstig,Severe,Severo,Sévères,schwerwiegend,Severo,Severe
ChildAutism,parent_survey_child,Prefer not to respond,Prefer not to respond,Ich möchte nicht antworten,Ich möchte nicht antworten,Prefiero no responder,Prefiero no responder,Prefiero no responder,Préfère ne pas répondre,Préfère ne pas répondre,Liever niet antwoorden,Prefer not to respond,Prefiero no responder,Préfère ne pas répondre,Ich möchte nicht antworten,Prefiero no responder,Prefer not to respond
ChildAutismCurrent,parent_survey_child,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
ChildAutismLevel,parent_survey_child,Severe,Severe,schwerwiegend,schwerwiegend,Severo,Severo,Severo,Sévères,Sévères,Ernstig,Severe,Severo,Sévères,schwerwiegend,Severo,Severe
ChildADHD,parent_survey_child,Prefer not to respond,Prefer not to respond,Ich möchte nicht antworten,Ich möchte nicht antworten,Prefiero no responder,Prefiero no responder,Prefiero no responder,Préfère ne pas répondre,Préfère ne pas répondre,Liever niet antwoorden,Prefer not to respond,Prefiero no responder,Préfère ne pas répondre,Ich möchte nicht antworten,Prefiero no responder,Prefer not to respond
ChildADHDCurrent,parent_survey_child,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
ChildADHDLevel,parent_survey_child,Severe,Severe,schwerwiegend,schwerwiegend,Severo,Severo,Severo,Sévères,Sévères,Ernstig,Severe,Severo,Sévères,schwerwiegend,Severo,Severe
ChildSexBirth,parent_survey_child,Other (describe),Other (describe),Anderes (bitte beschreiben),Anderes (bitte beschreiben),Otro (describir),Otro (describir),Otro (describir),Autre (décrire),Autre (décrire),Anders (beschrijf),Other (describe),Otro (describir),Autre (décrire),Anderes (bitte beschreiben),Otro (describir),Other (describe)
ChildGenderIntro,parent_survey_child,The following set of questions asks about gender identity. <br><br>Would you like to answer these additional questions about gender? <br>(Note: your child will NOT be asked these questions),The following set of questions asks about gender identity. <br><br>Would you like to answer these additional questions about gender? <br>(Note: your child will NOT be asked these questions),Die folgenden Fragen beziehen sich auf die Geschlechtsidentität. <br><br>Möchten Sie diese zusätzlichen Fragen zum Geschlecht beantworten? <br>(Ihrem Kind werden diese Fragen nicht gestellt),Die folgenden Fragen beziehen sich auf die Geschlechtsidentität. <br><br>Möchten Sie diese zusätzlichen Fragen zum Geschlecht beantworten? <br>(Ihrem Kind werden diese Fragen nicht gestellt),El siguiente grupo de preguntas indaga por la identidad de género.<br><br> ¿Aceptaría contestar estas preguntas? <br>(aclaración: a su niño(a) NO se le harán estas preguntas),El siguiente grupo de preguntas indaga por la identidad de género.<br><br> ¿Aceptaría contestar estas preguntas? <br>(aclaración: a su niño(a) NO se le harán estas preguntas),El siguiente grupo de preguntas indaga por la identidad de género.<br><br> ¿Aceptaría contestar estas preguntas? <br>(aclaración: a su niño(a) NO se le harán estas preguntas),Le jeu de questions suivant concerne l'identité de genre.<br><br>Souhaitez-vous répondre à ces questions supplémentaires sur le genre ?<br>(Note : votre enfant NE recevra PAS ces questions),Le jeu de questions suivant concerne l'identité de genre.<br><br>Souhaitez-vous répondre à ces questions supplémentaires sur le genre ?<br>(Note : votre enfant NE recevra PAS ces questions),De volgende reeks vragen gaat over genderidentiteit. <br><br>Zou u deze aanvullende vragen over gender willen beantwoorden? <br>(Opmerking: uw kind zal deze vragen NIET krijgen),The following set of questions asks about gender identity. <br><br>Would you like to answer these additional questions about gender? <br>(Note: your child will NOT be asked these questions),El siguiente grupo de preguntas indaga por la identidad de género.<br><br> ¿Aceptaría contestar estas preguntas? <br>(aclaración: a su niño(a) NO se le harán estas preguntas),Le jeu de questions suivant concerne l'identité de genre.<br><br>Souhaitez-vous répondre à ces questions supplémentaires sur le genre ?<br>(Note : votre enfant NE recevra PAS ces questions),Die folgenden Fragen beziehen sich auf die Geschlechtsidentität. <br><br>Möchten Sie diese zusätzlichen Fragen zum Geschlecht beantworten? <br>(Ihrem Kind werden diese Fragen nicht gestellt),El siguiente grupo de preguntas indaga por la identidad de género.<br><br> ¿Aceptaría contestar estas preguntas? <br>(aclaración: a su niño(a) NO se le harán estas preguntas),The following set of questions asks about gender identity. <br><br>Would you like to answer these additional questions about gender? <br>(Note: your child will NOT be asked these questions)
ChildGenderCurrent,parent_survey_child,What is your child's current gender identification?,What is your child's current gender identification?,Welche ist die derzeitige Geschlechtsidentität Ihres Kindes?,Welche ist die derzeitige Geschlechtsidentität Ihres Kindes?,¿Cuál es el género con el que se identifica su niño(a)?,¿Cuál es el género con el que se identifica su niño(a)?,¿Cuál es el género con el que se identifica su niño(a)?,Quelle est l'identification de genre actuelle de votre enfant ?,Quelle est l'identification de genre actuelle de votre enfant ?,Wat is de huidige genderidentificatie van uw kind?,What is your child's current gender identification?,¿Cuál es el género con el que se identifica su niño(a)?,Quelle est l'identification de genre actuelle de votre enfant ?,Welche ist die derzeitige Geschlechtsidentität Ihres Kindes?,¿Cuál es el género con el que se identifica su niño(a)?,What is your child's current gender identification?
ChildBehGirls,parent_survey_child,Always,Always,Immer,Immer,Siempre,Siempre,Siempre,Toujours,Toujours,Altijd,Always,Siempre,Toujours,Immer,Siempre,Always
ChildBeGirl,parent_survey_child,Always,Always,Immer,Immer,Siempre,Siempre,Siempre,Toujours,Toujours,Altijd,Always,Siempre,Toujours,Immer,Siempre,Always
ChildBehBoys,parent_survey_child,Always,Always,Immer,Immer,Siempre,Siempre,Siempre,Toujours,Toujours,Altijd,Always,Siempre,Toujours,Immer,Siempre,Always
ChildBeBoy,parent_survey_child,Always,Always,Immer,Immer,Siempre,Siempre,Siempre,Toujours,Toujours,Altijd,Always,Siempre,Toujours,Immer,Siempre,Always
ChildPubertyYN,parent_survey_child,No,No,Nein,Nein,No,No,No,Non,Non,Nee,No,No,Non,Nein,No,No
