identifier,translation
TeacherFeelJobItems,A few times a month
TeacherFeelJobItems,Once a week
TeacherFeelJobItems,A few times a week
TeacherFeelJobItems,Everyday
TeacherFeelJobItems,I feel emotionally drained from my work.
TeacherFeelJobItems,I feel fatigued when I get up in the morning and have to face another day on the job.
TeacherFeelJobItems,I can easily understand how my students feel about things.
TeacherFeelJobItems,I deal very effectively with the problems of my students.
TeacherFeelJobItems,I feel burned out from my work.
TeacherFeelJobItems,I feel I'm positively influencing other people's lives through my work.
TeacherFeelJobItems,I feel frustrated by my job.
TeacherFeelJobItems,I feel I'm working too hard on my job.
TeacherFeelJobItems,I can easily create a relaxed atmosphere with my students.
TeacherFeelJobItems,I feel exhilarated after working closely with my students.
TeacherFeelJobItems,I have accomplished many worthwhile things in this job.
TeacherFeelJobItems,I feel like I'm at the end of my rope.
TeacherFeelJobItems,"In my work, I deal with emotional problems very calmly."
TeacherBeliefTeach,<b>This set of questions is designed to help us gain a better understanding of the kinds of things that create difficulties for teachers in their school activities.</b>
TeacherBeliefTeachItemsInfluence,<b>How much influence do you have...</b>
TeacherBeliefTeachItemsInfluence,Never
TeacherBeliefTeachItemsInfluence,Very Little
TeacherBeliefTeachItemsInfluence,Some Influence
TeacherBeliefTeachItemsInfluence,Quite a Bit
TeacherBeliefTeachItemsInfluence,A Great Deal
TeacherBeliefTeachItemsInfluence,on disruptive behavior in the classroom?
TeacherBeliefTeachItemsInfluence,to motivate children who show low interest in activities?
TeacherBeliefTeachItemsInfluence,to get children to believe they can do well on activities?
TeacherBeliefTeachItemsInfluence,to help children in your classroom(s) value learning?
TeacherBeliefTeachItemsInfluence,on getting children to follow classroom rules?
TeacherBeliefTeachItemsInfluence,on calming a child who is disruptive or noisy?
TeacherBeliefTeachItemsWell,<b>How well can you...</b>
TeacherBeliefTeachItemsWell,Not At All
TeacherBeliefTeachItemsWell,Very Little
TeacherBeliefTeachItemsWell,Somewhat
TeacherBeliefTeachItemsWell,Quite a Bit
TeacherBeliefTeachItemsWell,A Great Deal
TeacherBeliefTeachItemsWell,establish a classroom management system?
TeacherBeliefTeachItemsWell,use a variety of assessment strategies?
TeacherBeliefTeachItemsWell,provide alternative explanations or examples when children are confused?
TeacherBeliefTeachItemsWell,assist families in helping their children do well in school?
TeacherBeliefTeachItemsWell,implement alternative strategies in your classroom(s)?
TeacherBeliefTeachItemsWell,create good questions for children in your classroom(s)?
TeacherIdeasChildren,"<b>With this set of items, we wish to learn more about teachers' ideas and beliefs about children.</b>"
TeacherIdeasChildrenItems,Please select one answer that indicates how strongly you agree with each of the following statements.
TeacherIdeasChildrenItems,Strongly Disagree
TeacherIdeasChildrenItems,Mildly Disagree
TeacherIdeasChildrenItems,Mildly Agree
TeacherIdeasChildrenItems,Strongly Agree
TeacherIdeasChildrenItems,"Since parents lack special training in education, they should not question the teacher's teaching methods."
TeacherIdeasChildrenItems,Children should be treated the same regardless of differences among them.
TeacherIdeasChildrenItems,Children should always obey the teacher.
TeacherIdeasChildrenItems,Preparing for the future is more important for a child than enjoying today.
TeacherIdeasChildrenItems,Children will not do the right thing unless they must.
TeacherIdeasChildrenItems,Children should be allowed to disagree with their parents if they feel their own ideas are better.
TeacherIdeasChildrenItems,Children should be kept busy with work and study at home and at school.
TeacherIdeasChildrenItems,The major goal of education is to put basic information into the minds of the children.
TeacherIdeasChildrenItems,"In order to be fair, a teacher must treat all children alike."
TeacherIdeasChildrenItems,The most important thing to teach children is absolute obedience to whoever is in authority.
TeacherIdeasChildrenItems,Children learn best by doing things themselves rather than listening to others.
TeacherIdeasChildrenItems,Children must be carefully trained early in life or their natural impulses will make them unmanageable.
TeacherIdeasChildrenItems,Children have a right to their own point of view and should be allowed to express it.
TeacherIdeasChildrenItems,Children's learning results mainly from being presented basic information again and again.
TeacherIdeasChildrenItems,Children like to teach other children.
TeacherIdeasChildrenItems,The most important thing to teach children is absolute obedience to parents.
unknown,Start Survey
unknown,Previous
unknown,Next
unknown,Finish
