identifier,labels,de,de_CH,es,es_AR,es_CO,fr_CA,nl,source,en-US
TeacherEducation,teacher_survey_general,Welchen höchstmöglichen Bildungsabschluss haben Sie abgeschlossen?,Welchen höchstmöglichen Bildungsabschluss haben Sie abgeschlossen?,¿Cuál es el nivel más alto de estudios que ha completado?,¿Cuál es el nivel más alto de estudios que ha completado?,¿Cuál es el nivel más alto de estudios que ha completado?,Quel est le plus haut niveau de formation que vous avez terminé ?,Wat is het hoogste opleidingsniveau dat u hebt voltooid?,What is the highest level of education you have completed?,What is the highest level of education you have completed?
TeacherEducation,teacher_survey_general,Hauptschulabschluss,Hauptschulabschluss,Primaria o bachillerato incompleto,Primaria o bachillerato incompleto,Primaria o bachillerato incompleto,Moins que le secondaire,Minder dan middelbare school,Less than high school,Less than high school
TeacherEducation,teacher_survey_general,Abitur oder gleichwertig,Abitur oder gleichwertig,Grado de bachiller o validación del bachillerato académico,Grado de bachiller o validación del bachillerato académico,Grado de bachiller o validación del bachillerato académico,Équivalence du secondaire ou diplôme de lycée,VWO of middelbaar schooldiploma (equivalent),GED or High school equivalency,GED or High school equivalency
TeacherEducation,teacher_survey_general,Ausbildung,Ausbildung,"Inició estudios universitarios, pero no se ha graduado","Inició estudios universitarios, pero no se ha graduado","Inició estudios universitarios, pero no se ha graduado",Certaines études collégiales mais sans diplôme,Een beetje hogere school maar zonder diploma,Some college but no degree,Some college but no degree
TeacherEducation,teacher_survey_general,"Abitur oder gleichwertig, plus Fachausbildung oder Zertifikat","Abitur oder gleichwertig, plus Fachausbildung oder Zertifikat",Grado de bachillerato técnico,Grado de bachillerato técnico,Grado de bachillerato técnico,"Diplôme de lycée ou équivalent, plus formation technique ou certificat","Middelbare school diploma of equivalent, plus technische training of certificaat","High school diploma or equivalent, plus technical training or certificate","High school diploma or equivalent, plus technical training or certificate"
TeacherEducation,teacher_survey_general,allgemeine oder fachgebundene Hochschulreife,allgemeine oder fachgebundene Hochschulreife,Grado de programa técnico o tecnólogo,Grado de programa técnico o tecnólogo,Grado de programa técnico o tecnólogo,Diplôme d’associé,Associatiediploma,Associate's degree,Associate's degree
TeacherEducation,teacher_survey_general,Bachelorabschluss,Bachelorabschluss,Grado de programa de pregrado,Grado de programa de pregrado,Grado de programa de pregrado,Baccalauréat,Bachelordiploma,Bachelor's degree,Bachelor's degree
TeacherEducation,teacher_survey_general,Masterabschluss,Masterabschluss,Grado de programa de maestría,Grado de programa de maestría,Grado de programa de maestría,Maîtrise,Masterdiploma,Master's degree,Master's degree
TeacherEducation,teacher_survey_general,Doktorgrad,Doktorgrad,Grado de programa de doctorado,Grado de programa de doctorado,Grado de programa de doctorado,Doctorat,Doctorale graad,Doctoral degree,Doctoral degree
TeacherUndergrad,teacher_survey_general,"Geben Sie Ihr Bachelor-Studienfach an. Markieren Sie ALLES, was zutrifft.","Geben Sie Ihr Bachelor-Studienfach an. Markieren Sie ALLES, was zutrifft.",Indique su área de estudios en la licenciatura o el pregrado. Marque TODAS las que procedan.,Indique su área de estudios en la licenciatura o el pregrado. Marque TODAS las que procedan.,Indique su área de estudios en la licenciatura o el pregrado. Marque TODAS las que procedan.,Indiquez votre domaine de premier cycle. Cochez TOUTES les cases qui s'appliquent.,Geef uw bachelorstudierichting aan. Markeer ALLE die van toepassing zijn.,Indicate your undergraduate field of study. Mark ALL that apply.,Indicate your undergraduate field of study. Mark ALL that apply.
TeacherUndergrad,teacher_survey_general,Frühkindliche Bildung,Frühkindliche Bildung,Educación de la primera infancia,Educación de la primera infancia,Educación de la primera infancia,Éducation de la petite enfance,Vroegkinderlijke educatie,Early childhood education,Early childhood education
TeacherUndergrad,teacher_survey_general,Grundschulpädagogik,Grundschulpädagogik,Educación primaria,Educación primaria,Educación primaria,Éducation élémentaire,Basisonderwijs,Elementary education,Elementary education
TeacherUndergrad,teacher_survey_general,Sonderpädagogik,Sonderpädagogik,Educación especial,Educación especial,Educación especial,Éducation spécialisée,Speciaal onderwijs,Special education,Special education
TeacherUndergrad,teacher_survey_general,Kindheitsentwicklung,Kindheitsentwicklung,Desarrollo infantil,Desarrollo infantil,Desarrollo infantil,Développement de l'enfant,Kinderontwikkeling,Child development,Child development
TeacherUndergrad,teacher_survey_general,Lese- und Schreibspezialist,Lese- und Schreibspezialist,Especialista en lectoescritura,Especialista en lectoescritura,Especialista en lectoescritura,Spécialiste de la lecture,Leesspecialist,Reading specialist,Reading specialist
TeacherUndergrad,teacher_survey_general,Lehrplan und Unterricht,Lehrplan und Unterricht,Currículo y enseñanza,Currículo y enseñanza,Currículo y enseñanza,Curriculum et didactique,Curriculum en instructie,Curriculum and instruction,Curriculum and instruction
TeacherUndergrad,teacher_survey_general,Bilinguale/interkulturelle Bildung,Bilinguale/interkulturelle Bildung,Educación bilingüe y multicultural,Educación bilingüe y multicultural,Educación bilingüe y multicultural,Éducation bilingue/multiculturelle,Tweetalig/multicultureel onderwijs,Bilingual/bicultural education,Bilingual/bicultural education
TeacherUndergrad,teacher_survey_general,,,"Otra especialidad de educación (p. ej.: Educación secundaria, Psicología educativa, Administración educativa, Educación musical, etc.). Especifique:",,,,,"Other education related major (ex: secondary education, educational psychology, education administration, music education, etc.). Please specify:","Other education related major (ex: secondary education, educational psychology, education administration, music education, etc.). Please specify:"
TeacherUndergrad,teacher_survey_general,Nicht-Bildung Hauptfächer. Bitte angeben:,Nicht-Bildung Hauptfächer. Bitte angeben:,Carrera o especialidad no educativa. Especifique:,Carrera o especialidad no educativa. Especifique:,Carrera o especialidad no educativa. Especifique:,Spécialité non liée à l'éducation. Veuillez spécifier :,Niet-onderwijsgerelateerde hoofdvak. Gelieve te specificeren:,Non-education major. Please specify:,Non-education major. Please specify:
TeacherUndergrad,teacher_survey_general,Andere. Bitte angeben:,Andere. Bitte angeben:,Otra. Especifique:,Otra. Especifique:,Otra. Especifique:,Autre. Veuillez spécifier :,Andere. Gelieve te specificeren:,Other. Please specify:,Other. Please specify:
TeacherUndergradOtherEd,teacher_survey_general,Bitte geben Sie ein anderes bildungsrelevantes Hauptfach an:,Bitte geben Sie ein anderes bildungsrelevantes Hauptfach an:,Especifique otra especialidad relacionada con la educación:,Especifique otra especialidad relacionada con la educación:,Especifique otra especialidad relacionada con la educación:,Veuillez spécifier une autre spécialité liée à l'éducation :,Specificeer andere onderwijsgerelateerde hoofdrichting:,Please specify other education related major:,Please specify other education related major:
TeacherUndergradNonEd,teacher_survey_general,Bitte geben Sie das nicht-bildungsrelevante Hauptfach an:,Bitte geben Sie das nicht-bildungsrelevante Hauptfach an:,Especifique alguna especialidad no educativa:,Especifique alguna especialidad no educativa:,Especifique alguna especialidad no educativa:,Veuillez spécifier une spécialité non liée à l'éducation :,Specificeer niet-onderwijsgerelateerde hoofdrichting:,Please specify non-education major:,Please specify non-education major:
TeacherUndergradOther,teacher_survey_general,Bitte spezifizieren Sie ein anderes Hauptfach:,Bitte spezifizieren Sie ein anderes Hauptfach:,Especifique otra especialidad:,Especifique otra especialidad:,Especifique otra especialidad:,Veuillez spécifier une autre spécialité :,Specificeer andere hoofdrichting:,Please specify other major:,Please specify other major:
TeacherGrad,teacher_survey_general,"Geben Sie das Hauptfach Ihres höchsten akademischen Abschlusses an. Markieren Sie alles, was zutrifft.","Geben Sie das Hauptfach Ihres höchsten akademischen Abschlusses an. Markieren Sie alles, was zutrifft.",Indique el área de estudios del grado más alto obtenido por usted.  Marque TODAS las que procedan.,Indique el área de estudios del grado más alto obtenido por usted.  Marque TODAS las que procedan.,Indique el área de estudios del grado más alto obtenido por usted.  Marque TODAS las que procedan.,Indiquez le domaine de votre diplôme de deuxième cycle le plus élevé. Cochez TOUTES les cases qui s'appliquent.,Geef het belangrijkste studierichtingsgebied van uw hoogste graad aan. Markeer ALLE die van toepassing zijn.,Indicate the major field of study of your highest graduate degree. Mark ALL that apply.,Indicate the major field of study of your highest graduate degree. Mark ALL that apply.
TeacherGrad,teacher_survey_general,Frühkindliche Bildung,Frühkindliche Bildung,Educación de la primera infancia,Educación de la primera infancia,Educación de la primera infancia,Éducation de la petite enfance,Vroegkinderlijke educatie,Early childhood education,Early childhood education
TeacherGrad,teacher_survey_general,Grundschulpädagogik,Grundschulpädagogik,Educación primaria,Educación primaria,Educación primaria,Éducation élémentaire,Basisonderwijs,Elementary education,Elementary education
TeacherGrad,teacher_survey_general,Sonderpädagogik,Sonderpädagogik,Educación especial,Educación especial,Educación especial,Éducation spécialisée,Speciaal onderwijs,Special education,Special education
TeacherGrad,teacher_survey_general,Kindheitsentwicklung,Kindheitsentwicklung,Desarrollo infantil,Desarrollo infantil,Desarrollo infantil,Développement de l'enfant,Kinderontwikkeling,Child development,Child development
TeacherGrad,teacher_survey_general,Lese- und Schreibspezialist,Lese- und Schreibspezialist,Especialista en lectoescritura,Especialista en lectoescritura,Especialista en lectoescritura,Spécialiste de la lecture,Leesspecialist,Reading specialist,Reading specialist
TeacherGrad,teacher_survey_general,Lehrplan und Unterricht,Lehrplan und Unterricht,Currículo y enseñanza,Currículo y enseñanza,Currículo y enseñanza,Curriculum et didactique,Curriculum en instructie,Curriculum and instruction,Curriculum and instruction
TeacherGrad,teacher_survey_general,Bilinguale/interkulturelle Bildung,Bilinguale/interkulturelle Bildung,Educación bilingüe y multicultural,Educación bilingüe y multicultural,Educación bilingüe y multicultural,Éducation bilingue/multiculturelle,Tweetalig/multicultureel onderwijs,Bilingual/bicultural education,Bilingual/bicultural education
TeacherGrad,teacher_survey_general,,,"Otra especialidad de educación (p. ej.: Educación secundaria, Psicología educativa, Administración educativa, Educación musical, etc.). Especifique:",,,,,"Other education related major (ex: secondary education, educational psychology, education administration, music education, etc.). Please specify:","Other education related major (ex: secondary education, educational psychology, education administration, music education, etc.). Please specify:"
TeacherGrad,teacher_survey_general,Nicht-Bildung Hauptfächer. Bitte angeben:,Nicht-Bildung Hauptfächer. Bitte angeben:,Carrera o especialidad no educativa. Especifique:,Carrera o especialidad no educativa. Especifique:,Carrera o especialidad no educativa. Especifique:,Spécialité non liée à l'éducation. Veuillez spécifier :,Niet-onderwijsgerelateerde hoofdvak. Gelieve te specificeren:,Non-education major. Please specify:,Non-education major. Please specify:
TeacherGrad,teacher_survey_general,Andere. Bitte angeben:,Andere. Bitte angeben:,Otra. Especifique:,Otra. Especifique:,Otra. Especifique:,Autre. Veuillez spécifier :,Andere. Gelieve te specificeren:,Other. Please specify:,Other. Please specify:
TeacherGradOtherEd,teacher_survey_general,Bitte geben Sie ein anderes bildungsrelevantes Hauptfach an:,Bitte geben Sie ein anderes bildungsrelevantes Hauptfach an:,Especifique otra especialidad relacionada con la educación:,Especifique otra especialidad relacionada con la educación:,Especifique otra especialidad relacionada con la educación:,Veuillez spécifier une autre spécialité liée à l'éducation :,Specificeer andere onderwijsgerelateerde hoofdrichting:,Please specify other education related major:,Please specify other education related major:
TeacherGradNonEd,teacher_survey_general,Bitte geben Sie das nicht-bildungsrelevante Hauptfach an:,Bitte geben Sie das nicht-bildungsrelevante Hauptfach an:,Especifique alguna especialidad no educativa:,Especifique alguna especialidad no educativa:,Especifique alguna especialidad no educativa:,Veuillez spécifier une spécialité non liée à l'éducation :,Specificeer niet-onderwijsgerelateerde hoofdrichting:,Please specify non-education major:,Please specify non-education major:
TeacherGradOther,teacher_survey_general,Bitte spezifizieren Sie ein anderes Hauptfach:,Bitte spezifizieren Sie ein anderes Hauptfach:,Especifique otra especialidad:,Especifique otra especialidad:,Especifique otra especialidad:,Veuillez spécifier une autre spécialité :,Specificeer andere hoofdrichting:,Please specify other major:,Please specify other major:
TeacherYears,teacher_survey_general,Wie lange sind Sie einschließlich dieses Schuljahres bereits als Lehrer tätig? (bitte auf das nächste Jahr aufrunden),Wie lange sind Sie einschließlich dieses Schuljahres bereits als Lehrer tätig? (bitte auf das nächste Jahr aufrunden),"Contando este año escolar, ¿durante cuántos años ha sido docente escolar? (por favor redondee hacia arriba al calcular al medio año )","Contando este año escolar, ¿durante cuántos años ha sido docente escolar? (por favor redondee hacia arriba al calcular al medio año)","Contando este año escolar, ¿durante cuántos años ha sido docente escolar? (por favor redondee hacia arriba al calcular al medio año)","En comptant cette année scolaire, combien d'années avez-vous été enseignant(e) scolaire ? (veuillez arrondir à l'année la plus proche)","Inclusief dit schooljaar, hoeveel jaar bent u al schooldocent? (afronden op het dichtstbijzijnde jaar)","Counting this school year, how many years have you been a schoolteacher? (please round to the nearest year)","Counting this school year, how many years have you been a schoolteacher? (please round to the nearest year)"
TeacherYears,teacher_survey_general,Weniger als ein Jahr,Weniger als ein Jahr,Menos de un año,Menos de un año,Menos de un año,Moins d'un an,Minder dan een jaar,Less than one year,Less than one year
TeacherYears,teacher_survey_general,1 bis 2 Jahre,1 bis 2 Jahre,1 a 2 años,1 a 2 años,1 a 2 años,1 à 2 ans,1 tot 2 jaar,1 to 2 years,1 to 2 years
TeacherYears,teacher_survey_general,3 bis 5 Jahre,3 bis 5 Jahre,3 a 5 años,3 a 5 años,3 a 5 años,3 à 5 ans,3 tot 5 jaar,3 to 5 years,3 to 5 years
TeacherYears,teacher_survey_general,6 bis 10 Jahre,6 bis 10 Jahre,6 a 10 años,6 a 10 años,6 a 10 años,6 à 10 ans,6 tot 10 jaar,6 to 10 years,6 to 10 years
TeacherYears,teacher_survey_general,Mehr als 10 Jahre,Über 10 Jahre,Más de 10 años,Más de 10 años,Más de 10 años,Plus de 10 ans,Meer dan 10 jaar,Over 10 years,Over 10 years
TeacherSchool,teacher_survey_general,"<b>Dieses Set von Fragen bezieht sich auf die Schule, an der Sie derzeit unterrichten.</b>","<b>Dieses Set von Fragen bezieht sich auf die Schule, an der Sie derzeit unterrichten.</b>",<b>Este grupo de preguntas indaga por el colegio en el que enseña actualmente.</b>,<b>Este grupo de preguntas indaga por el colegio en el que enseña actualmente.</b>,<b>Este grupo de preguntas indaga por el colegio en el que enseña actualmente.</b>,<b>Cet ensemble de questions porte sur l'école où vous enseignez actuellement.</b>,<b>Deze set van vragen richt zich op de school waar u momenteel lesgeeft.</b>,<b>This set of questions asks about the school where you currently teach.</b>,<b>This set of questions asks about the school where you currently teach.</b>
TeacherYearsSchool,teacher_survey_general,"Zählen Sie dieses Schuljahr mit, wie lange lehren Sie <b>an dieser Schule</b>? (bitte auf das nächste Jahr aufrunden)","Zählen Sie dieses Schuljahr mit, wie lange lehren Sie <b>an dieser Schule</b>? (bitte auf das nächste Jahr aufrunden)","Contando este año escolar, ¿durante cuántos años ha sido docente escolar <b>en este colegio</b>?","Contando este año escolar, ¿durante cuántos años ha sido docente escolar <b>en este colegio</b>?","Contando este año escolar, ¿durante cuántos años ha sido docente escolar <b>en este colegio</b>?","En comptant cette année scolaire, combien d'années avez-vous enseigné <b>dans cette école</b> ? (veuillez arrondir à l'année la plus proche)","Inclusief dit schooljaar, hoeveel jaar bent u docent <b>op deze school</b>? (afronden op het dichtstbijzijnde jaar)","Counting this school year, how many years have you been teaching <b>at this school</b>? (please round to the nearest year)","Counting this school year, how many years have you been teaching <b>at this school</b>? (please round to the nearest year)"
TeacherClimateItems,teacher_survey_general,"Bitte geben Sie an, wie sehr Sie den folgenden Aussagen über diese Schule zustimmen oder widersprechen.","Bitte geben Sie an, wie sehr Sie den folgenden Aussagen über diese Schule zustimmen oder widersprechen.","Por favor, indique en qué medida está de acuerdo o en desacuerdo con las siguientes afirmaciones sobre este colegio.","Por favor, indique en qué medida está de acuerdo o en desacuerdo con las siguientes afirmaciones sobre este colegio.","Por favor, indique en qué medida está de acuerdo o en desacuerdo con las siguientes afirmaciones sobre este colegio.",Veuillez indiquer dans quelle mesure vous êtes d'accord ou non avec les affirmations suivantes concernant cette école.,Gelieve aan te geven in hoeverre u het eens of oneens bent met de volgende uitspraken over deze school.,Please indicate how much you agree or disagree with the following statements about this school.,Please indicate how much you agree or disagree with the following statements about this school.
TeacherClimateItems,teacher_survey_general,Stark ablehnen,Stark ablehnen,Completamente en desacuerdo,Completamente en desacuerdo,Completamente en desacuerdo,Fortement en désaccord,Sterk mee oneens,Strongly Disagree,Strongly Disagree
TeacherClimateItems,teacher_survey_general,Nicht einverstanden,Nicht einverstanden,En desacuerdo,En desacuerdo,En desacuerdo,En désaccord,Oneens,Disagree,Disagree
TeacherClimateItems,teacher_survey_general,Einverstanden,Einverstanden,De acuerdo,De acuerdo,De acuerdo,D'accord,Eens,Agree,Agree
TeacherClimateItems,teacher_survey_general,Stark zustimmen,Stark zustimmen,Completamente de acuerdo,Completamente de acuerdo,Completamente de acuerdo,Fortement d'accord,Sterk mee eens,Strongly Agree,Strongly Agree
TeacherClimateItems,teacher_survey_general,Ich fühle mich von den meisten Mitarbeitern als Kollege akzeptiert und respektiert.,Ich fühle mich von den meisten Mitarbeitern als Kollege akzeptiert und respektiert.,Me siento aceptado y respetado como colega por la mayoría de los miembros del personal.,Me siento aceptado y respetado como colega por la mayoría de los miembros del personal.,Me siento aceptado y respetado como colega por la mayoría de los miembros del personal.,Je me sens accepté(e) et respecté(e) en tant que collègue par la plupart des membres du personnel.,Ik voel me geaccepteerd en gerespecteerd als collega door de meeste personeelsleden.,I feel accepted and respected as a colleague by most staff members.,I feel accepted and respected as a colleague by most staff members.
TeacherClimateItems,teacher_survey_general,Eltern unterstützen das Schulpersonal.,Eltern unterstützen das Schulpersonal.,Los padres apoyan al personal del colegio.,Los padres apoyan al personal del colegio.,Los padres apoyan al personal del colegio.,Les parents soutiennent le personnel de l'école.,Ouders steunen het schoolpersoneel.,Parents are supportive of school staff.,Parents are supportive of school staff.
